epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,63.01519,6238.50392,1.73292,0.65445332,0.0,383461.0,0.06124,0.96179,0.0,0.0,0.0,0.50018,2.58336,0.65463251,0.0,383461.0,0.02003,0.98006,0.0,0.0,0.0,0.45711,2.63411,0.65444784,0.0,383461.0,0.02042,0.96742,0.0,0.0,0.0,0.48945,
1,52.50453,5660.4664,1.57235,0.37472604,2e-05,383461.0,0.05102,0.96255,0.0,0.0,0.0,0.54573,1.94408,0.14649818,0.0,383461.0,0.01507,0.98031,0.0,0.0,0.0,0.5908,1.93435,0.17168252,0.0,383461.0,0.01499,0.96839,0.0,0.0,0.0,0.62257,
2,52.39218,5429.15164,1.5081,0.16099285,4e-05,383461.0,0.05092,0.96255,0.0,0.0,0.0,0.63131,1.95383,0.09350361,0.0,383461.0,0.01515,0.98031,0.0,0.0,0.0,0.6874,1.9957,0.12855971,0.0,383461.0,0.01547,0.96839,0.0,0.0,0.0,0.66856,
3,52.5879,5291.99545,1.47,0.1455455,6e-05,383461.0,0.05111,0.96255,0.0,0.0,0.0,0.71529,1.89575,0.08989644,0.0,383461.0,0.0147,0.98031,0.0,0.0,0.0,0.70845,1.88611,0.12238159,0.0,383461.0,0.01462,0.96839,0.0,0.0,0.0,0.72497,
4,52.14622,5180.27465,1.43897,0.13737481,8e-05,383461.0,0.05068,0.96255,0.0,0.0,0.0,0.75676,1.89179,0.08452302,0.0,383461.0,0.01467,0.98031,0.0,0.0,0.0,0.74863,1.94622,0.1204926,0.0,383461.0,0.01509,0.96839,0.0,0.0,0.0,0.75201,
5,51.95839,5085.46938,1.41263,0.13270244,0.0001,383461.0,0.05049,0.96255,0.0,0.0,0.0,0.77437,1.89276,0.08639213,0.0,383461.0,0.01467,0.98031,0.0,0.0,0.0,0.73396,1.94943,0.12130743,0.0,383461.0,0.01511,0.96839,0.0,0.0,0.0,0.73761,
6,52.23817,5006.62311,1.39073,0.12712782,9.997e-05,383461.0,0.05077,0.96255,0.0,0.0,0.0,0.79054,1.896,0.08513707,0.0,383461.0,0.0147,0.98031,0.0,0.0,0.0,0.72478,1.88283,0.12238883,0.0,383461.0,0.0146,0.96839,0.0,0.0,0.0,0.73126,
7,52.13398,4933.2307,1.37034,0.12238598,9.989e-05,383461.0,0.05066,0.9628,0.625,0.01623,0.03165,0.81544,1.8926,0.07929225,0.0,383461.0,0.01467,0.98104,0.71429,0.06173,0.11364,0.73952,1.94626,0.1185564,0.0,383461.0,0.01509,0.96815,0.33333,0.00769,0.01504,0.75238,
8,52.19404,4865.16966,1.35144,0.11910591,9.975e-05,383461.0,0.05072,0.96547,0.68182,0.1461,0.24064,0.82126,1.92198,0.07826202,0.0,383461.0,0.0149,0.98249,0.60976,0.30864,0.40984,0.77005,1.91496,0.11863495,0.0,383461.0,0.01484,0.96864,0.50794,0.24615,0.33161,0.74917,
9,52.24086,4800.7034,1.33353,0.11590846,9.956e-05,383461.0,0.05077,0.96663,0.65877,0.22565,0.33615,0.82933,1.92079,0.07875851,0.0,383461.0,0.01489,0.98177,0.58824,0.24691,0.34783,0.76713,1.91177,0.12106047,0.0,383461.0,0.01482,0.97009,0.56863,0.22308,0.32044,0.75268,
10,52.12531,4737.525,1.31598,0.11449877,9.932e-05,383461.0,0.05066,0.9672,0.66667,0.24838,0.36192,0.84305,1.92528,0.07577289,0.0,383461.0,0.01492,0.98225,0.63333,0.23457,0.34234,0.78107,1.89232,0.1185082,0.0,383461.0,0.01467,0.96888,0.51724,0.23077,0.31915,0.76852,
11,52.07022,4675.78479,1.29883,0.11184595,9.902e-05,383461.0,0.0506,0.96799,0.66362,0.29464,0.40809,0.85151,1.87257,0.08135106,0.0,383461.0,0.01452,0.97982,0.47917,0.28395,0.35659,0.77343,1.86182,0.11950453,0.0,383461.0,0.01443,0.9662,0.43836,0.24615,0.31527,0.78151,
12,52.2843,4616.96499,1.28249,0.10886186,9.867e-05,383461.0,0.05081,0.96866,0.68508,0.30195,0.41915,0.85862,1.92383,0.08391112,0.0,383461.0,0.01491,0.97739,0.38889,0.25926,0.31111,0.75329,1.91701,0.12912004,0.0,383461.0,0.01486,0.96304,0.37209,0.24615,0.2963,0.76098,
13,52.28479,4559.08183,1.26641,0.10768451,9.826e-05,383461.0,0.05081,0.9683,0.66044,0.31575,0.42724,0.86649,1.92148,0.0726143,0.0,383461.0,0.0149,0.98347,0.69697,0.28395,0.40351,0.78517,1.91372,0.11858316,0.0,383461.0,0.01484,0.97058,0.59574,0.21538,0.31638,0.76289,
14,52.29585,4502.00776,1.25056,0.10546356,9.78e-05,383461.0,0.05082,0.96985,0.70134,0.33929,0.45733,0.8677,1.92633,0.07801104,0.0,383461.0,0.01493,0.98104,0.53659,0.2716,0.36066,0.76978,1.91216,0.12139213,0.0,383461.0,0.01482,0.96645,0.45238,0.29231,0.35514,0.76152,
15,52.30392,4445.57337,1.23488,0.105445,9.729e-05,383461.0,0.05083,0.96979,0.69702,0.34172,0.45861,0.86767,1.92105,0.07642136,0.0,383461.0,0.01489,0.98201,0.58974,0.28395,0.38333,0.78836,1.98248,0.11467665,0.0,383461.0,0.01537,0.96985,0.54412,0.28462,0.37374,0.76795,
16,52.21149,4389.17364,1.21921,0.10395609,9.673e-05,383461.0,0.05074,0.96945,0.68637,0.33929,0.4541,0.87199,1.92784,0.07488391,0.0,383461.0,0.01494,0.98152,0.55814,0.2963,0.3871,0.80073,1.92117,0.12167821,0.0,383461.0,0.01489,0.96669,0.46067,0.31538,0.37443,0.77,
17,52.14304,4332.92741,1.20359,0.10197353,9.611e-05,383461.0,0.05067,0.97,0.69051,0.36039,0.4736,0.88304,1.92447,0.07461196,0.0,383461.0,0.01492,0.98274,0.75,0.18519,0.29703,0.79553,1.91474,0.12461972,0.0,383461.0,0.01484,0.96864,0.52632,0.07692,0.13423,0.74749,
18,52.37251,4278.09138,1.18836,0.10072615,9.545e-05,383461.0,0.0509,0.97106,0.72951,0.3612,0.48317,0.88199,1.92152,0.0758973,0.0,383461.0,0.0149,0.98274,0.64706,0.2716,0.38261,0.7869,1.91624,0.12549947,0.0,383461.0,0.01485,0.96766,0.4717,0.19231,0.27322,0.74679,
19,52.12547,4222.51354,1.17292,0.0992379,9.474e-05,383461.0,0.05066,0.97079,0.71073,0.37094,0.48747,0.8909,1.92174,0.07976126,0.0,383461.0,0.0149,0.98079,0.52381,0.2716,0.35772,0.7822,1.91251,0.1207747,0.0,383461.0,0.01483,0.96815,0.49296,0.26923,0.34826,0.77405,
