epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,141.38367,13996.98299,3.88805,0.75398492,0.0,383461.0,0.1374,0.03754,0.03745,1.0,0.07219,0.48606,4.35219,0.75910508,0.0,383461.0,0.03374,0.01969,0.01969,1.0,0.03863,0.53242,4.57579,0.76773597,0.0,383461.0,0.03547,0.03209,0.03162,1.0,0.06131,0.49328,
1,156.28197,14585.61609,4.05156,0.53034116,2e-05,383461.0,0.15188,0.70481,0.04073,0.30519,0.07187,0.52598,9.68007,0.27287365,0.0,383461.0,0.07504,0.98006,0.0,0.0,0.0,0.57471,9.65379,0.28057061,0.0,383461.0,0.07484,0.96766,0.0,0.0,0.0,0.57532,
2,188.78904,15728.7013,4.36908,0.18322742,4e-05,383461.0,0.18347,0.96249,0.25,0.00081,0.00162,0.61576,9.68193,0.1007147,0.0,383461.0,0.07505,0.98128,0.83333,0.06173,0.11494,0.6599,9.65608,0.12349641,0.0,383461.0,0.07485,0.96864,1.0,0.00769,0.01527,0.75466,
3,169.06768,15732.53667,4.37015,0.14277634,6e-05,383461.0,0.1643,0.96252,0.48148,0.01055,0.02065,0.73427,9.62851,0.08542021,0.0,383461.0,0.07464,0.98128,0.83333,0.06173,0.11494,0.75036,9.61214,0.12039132,0.0,383461.0,0.07451,0.96839,0.5,0.00769,0.01515,0.75761,
4,168.43832,15655.25286,4.34868,0.13678199,8e-05,383461.0,0.16369,0.96265,0.52632,0.02435,0.04655,0.75918,9.60613,0.0815813,0.0,383461.0,0.07447,0.98104,0.66667,0.07407,0.13333,0.78022,9.59064,0.11861973,0.0,383461.0,0.07435,0.96888,0.58333,0.05385,0.09859,0.76417,
5,168.48799,15548.36249,4.31899,0.1323954,0.0001,383461.0,0.16374,0.96344,0.59603,0.07305,0.13015,0.77164,9.60635,0.07681442,0.0,383461.0,0.07447,0.98274,0.77778,0.17284,0.28283,0.77015,9.59172,0.11652647,0.0,383461.0,0.07435,0.97009,0.73333,0.08462,0.15172,0.75797,
6,168.54704,15424.65722,4.28463,0.1274468,9.997e-05,383461.0,0.1638,0.96429,0.61728,0.12175,0.20339,0.79194,9.6093,0.07836262,0.0,383461.0,0.07449,0.98152,0.63158,0.14815,0.24,0.79937,9.59784,0.11395904,0.0,383461.0,0.0744,0.97253,0.75758,0.19231,0.30675,0.75933,
7,161.34789,15206.95138,4.22415,0.12388859,9.989e-05,383461.0,0.1568,0.96429,0.58407,0.16071,0.25207,0.80577,3.23018,0.07901439,0.0,383461.0,0.02504,0.98152,0.59259,0.19753,0.2963,0.79757,3.22018,0.12473405,0.0,383461.0,0.02496,0.96742,0.42308,0.08462,0.14103,0.74059,
8,74.48866,14123.52621,3.9232,0.12090697,9.975e-05,383461.0,0.07239,0.96584,0.64754,0.19237,0.29662,0.81561,3.2205,0.07516926,0.0,383461.0,0.02497,0.98177,0.60714,0.20988,0.31193,0.80088,3.21091,0.12182413,0.0,383461.0,0.02489,0.96791,0.47059,0.12308,0.19512,0.74295,
9,74.22405,13239.50681,3.67764,0.11794467,9.956e-05,383461.0,0.07213,0.96687,0.66667,0.23052,0.34258,0.82744,3.20774,0.07477837,0.0,383461.0,0.02487,0.98249,0.66667,0.22222,0.33333,0.80696,3.20224,0.11635455,0.0,383461.0,0.02482,0.96985,0.55556,0.23077,0.32609,0.75668,
