epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,40.64547,4023.90143,1.11775,0.64932409,0.0,383461.0,0.0395,0.92155,0.01649,0.01867,0.01751,0.44573,2.24069,0.63662701,0.0,383461.0,0.01737,0.96864,0.02,0.01235,0.01527,0.52016,2.4832,0.6405761,0.0,383461.0,0.01925,0.94919,0.0241,0.01538,0.01878,0.43763,
1,36.29241,3769.95594,1.04721,0.49674592,2e-05,383461.0,0.03527,0.9617,0.0,0.0,0.0,0.53641,1.79881,0.27273134,0.0,383461.0,0.01394,0.98031,0.0,0.0,0.0,0.63161,1.79266,0.27387467,0.0,383461.0,0.0139,0.96839,0.0,0.0,0.0,0.67047,
2,36.27714,3660.61872,1.01684,0.18630701,4e-05,383461.0,0.03525,0.96255,0.0,0.0,0.0,0.59854,1.75357,0.09626877,0.0,383461.0,0.01359,0.98031,0.0,0.0,0.0,0.68282,1.7429,0.12929549,0.0,383461.0,0.01351,0.96839,0.0,0.0,0.0,0.67753,
3,36.12141,3584.07404,0.99558,0.15131,6e-05,383461.0,0.0351,0.96255,0.0,0.0,0.0,0.68869,1.77721,0.09362499,0.0,383461.0,0.01378,0.98031,0.0,0.0,0.0,0.6467,1.7517,0.131249,0.0,383461.0,0.01358,0.96839,0.0,0.0,0.0,0.64558,
4,35.97941,3521.00071,0.97806,0.14313565,8e-05,383461.0,0.03497,0.96255,0.0,0.0,0.0,0.73343,1.76595,0.09162237,0.0,383461.0,0.01369,0.98031,0.0,0.0,0.0,0.71194,1.7678,0.12385351,0.0,383461.0,0.0137,0.96839,0.0,0.0,0.0,0.72251,
5,36.11165,3469.03043,0.96362,0.13714206,0.0001,383461.0,0.03509,0.96255,0.0,0.0,0.0,0.75632,1.7802,0.08833157,0.0,383461.0,0.0138,0.98031,0.0,0.0,0.0,0.7005,1.75013,0.12241968,0.0,383461.0,0.01357,0.96839,0.0,0.0,0.0,0.73239,
6,36.18551,3422.57247,0.95071,0.13163972,9.997e-05,383461.0,0.03517,0.96255,0.0,0.0,0.0,0.77817,1.76549,0.08406809,0.0,383461.0,0.01369,0.98031,0.0,0.0,0.0,0.71903,1.77385,0.12468148,0.0,383461.0,0.01375,0.96839,0.0,0.0,0.0,0.72371,
7,36.0749,3377.4106,0.93817,0.12613442,9.989e-05,383461.0,0.03506,0.96319,0.6,0.05114,0.09424,0.79814,1.79363,0.08091005,0.0,383461.0,0.0139,0.98079,0.75,0.03704,0.07059,0.73903,1.75527,0.12541802,0.0,383461.0,0.01361,0.96791,0.0,0.0,0.0,0.72355,
8,36.24048,3335.94232,0.92665,0.12244893,9.975e-05,383461.0,0.03522,0.96453,0.59259,0.16883,0.26279,0.80881,1.76133,0.08213781,0.0,383461.0,0.01365,0.98249,0.66667,0.22222,0.33333,0.73365,1.78268,0.12038998,0.0,383461.0,0.01382,0.96937,0.55556,0.15385,0.24096,0.74722,
9,36.11176,3294.3611,0.9151,0.119323,9.956e-05,383461.0,0.03509,0.96623,0.65087,0.21185,0.31966,0.82541,1.78313,0.08474356,0.0,383461.0,0.01382,0.98055,0.51282,0.24691,0.33333,0.71637,1.75672,0.12421803,0.0,383461.0,0.01362,0.96669,0.44928,0.23846,0.31156,0.73378,
