epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,49.53172,4903.63997,1.36212,0.58061809,0.0,383461.0,0.04814,0.96249,0.0,0.0,0.0,0.48514,2.18355,0.56358345,0.0,383461.0,0.01693,0.9786,0.0,0.0,0.0,0.50279,2.40926,0.57060188,0.0,383461.0,0.01868,0.9628,0.0,0.0,0.0,0.40388,
1,35.80035,4181.27128,1.16146,0.30872518,2e-05,383461.0,0.03479,0.96255,0.0,0.0,0.0,0.56397,1.81368,0.13628005,0.0,383461.0,0.01406,0.98031,0.0,0.0,0.0,0.63755,1.77028,0.15942487,0.0,383461.0,0.01372,0.96839,0.0,0.0,0.0,0.69046,
2,35.86451,3918.68925,1.08852,0.15707543,4e-05,383461.0,0.03485,0.96255,0.0,0.0,0.0,0.67042,1.77778,0.09496781,0.0,383461.0,0.01378,0.98031,0.0,0.0,0.0,0.67623,1.75649,0.129715,0.0,383461.0,0.01362,0.96839,0.0,0.0,0.0,0.69389,
3,35.64495,3764.1966,1.04561,0.14445987,6e-05,383461.0,0.03464,0.96255,0.0,0.0,0.0,0.72977,1.73926,0.08856493,0.0,383461.0,0.01348,0.98031,0.0,0.0,0.0,0.72129,1.73628,0.12647247,0.0,383461.0,0.01346,0.96839,0.0,0.0,0.0,0.72948,
4,35.6969,3658.23008,1.01618,0.13828359,8e-05,383461.0,0.03469,0.96255,0.0,0.0,0.0,0.76082,1.74716,0.08428432,0.0,383461.0,0.01354,0.98031,0.0,0.0,0.0,0.74521,1.73286,0.12483304,0.0,383461.0,0.01343,0.96839,0.0,0.0,0.0,0.73516,
5,35.62768,3574.6023,0.99295,0.13266601,0.0001,383461.0,0.03462,0.96255,0.0,0.0,0.0,0.78116,1.75117,0.08803835,0.0,383461.0,0.01357,0.98031,0.0,0.0,0.0,0.73172,1.73845,0.12300754,0.0,383461.0,0.01348,0.96839,0.0,0.0,0.0,0.74371,
6,35.60865,3504.43608,0.97345,0.12650564,9.997e-05,383461.0,0.03461,0.9631,0.69565,0.02597,0.05008,0.79893,1.74004,0.08250617,0.0,383461.0,0.01349,0.98104,0.8,0.04938,0.09302,0.72281,1.72818,0.12339535,0.0,383461.0,0.0134,0.96742,0.0,0.0,0.0,0.74048,
7,35.6895,3443.83903,0.95662,0.12196734,9.989e-05,383461.0,0.03468,0.96441,0.63927,0.11364,0.19297,0.81567,1.74221,0.07665916,0.0,383461.0,0.01351,0.98177,0.65,0.16049,0.25743,0.74185,1.74032,0.12033893,0.0,383461.0,0.01349,0.96888,0.57143,0.06154,0.11111,0.74773,
8,35.62401,3388.11479,0.94114,0.11890869,9.975e-05,383461.0,0.03462,0.96568,0.63239,0.19968,0.30352,0.82738,1.74786,0.08152507,0.0,383461.0,0.01355,0.98128,0.54348,0.30864,0.3937,0.76957,1.76362,0.12167433,0.0,383461.0,0.01367,0.96839,0.5,0.24615,0.3299,0.76047,
9,35.62159,3336.38882,0.92677,0.11672147,9.956e-05,383461.0,0.03462,0.96681,0.65837,0.2362,0.34767,0.83255,1.73459,0.07637694,0.0,383461.0,0.01345,0.98201,0.62963,0.20988,0.31481,0.76319,1.72926,0.12214531,0.0,383461.0,0.01341,0.96985,0.58824,0.15385,0.2439,0.71632,
