epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,56.34111,5577.76965,1.54938,0.84046538,0.0,383461.0,0.05475,0.03745,0.03745,1.0,0.07219,0.52358,2.23089,0.84784455,0.0,383461.0,0.01729,0.01969,0.01969,1.0,0.03863,0.5841,2.45348,0.84476637,0.0,383461.0,0.01902,0.03161,0.03161,1.0,0.06128,0.55747,
1,36.04358,4526.84987,1.25746,0.62708629,2e-05,383461.0,0.03503,0.56077,0.03776,0.43831,0.06954,0.5079,1.78498,0.34849301,0.0,383461.0,0.01384,0.96645,0.0,0.0,0.0,0.51572,1.78991,0.3461206,0.0,383461.0,0.01388,0.95672,0.02,0.00769,0.01111,0.57341,
2,36.57946,4169.84083,1.15829,0.21464582,4e-05,383461.0,0.03555,0.95948,0.00971,0.00081,0.0015,0.58824,1.77096,0.10517488,0.0,383461.0,0.01373,0.98031,0.0,0.0,0.0,0.67253,1.76753,0.13322647,0.0,383461.0,0.0137,0.96839,0.0,0.0,0.0,0.69397,
3,35.72236,3952.47633,1.09791,0.15072139,6e-05,383461.0,0.03472,0.96252,0.0,0.0,0.0,0.69372,1.75583,0.08702926,0.0,383461.0,0.01361,0.98031,0.0,0.0,0.0,0.7198,1.75967,0.1228642,0.0,383461.0,0.01364,0.96839,0.0,0.0,0.0,0.72969,
4,35.79062,3809.06548,1.05807,0.14187975,8e-05,383461.0,0.03478,0.96274,0.6875,0.00893,0.01763,0.73893,1.76686,0.08798336,0.0,383461.0,0.0137,0.98152,0.77778,0.08642,0.15556,0.74438,1.75711,0.12226483,0.0,383461.0,0.01362,0.96912,0.8,0.03077,0.05926,0.73681,
5,35.82092,3702.00286,1.02833,0.13694929,0.0001,383461.0,0.03481,0.96304,0.59302,0.0414,0.07739,0.75816,1.80289,0.08492851,0.0,383461.0,0.01398,0.98079,0.66667,0.04938,0.09195,0.74001,1.7935,0.12073984,0.0,383461.0,0.0139,0.96864,0.57143,0.03077,0.05839,0.74934,
6,36.09137,3618.88804,1.00525,0.1331598,9.997e-05,383461.0,0.03507,0.96319,0.57343,0.06656,0.11927,0.76866,1.78679,0.08728732,0.0,383461.0,0.01385,0.97958,0.44828,0.16049,0.23636,0.7484,1.77717,0.12503568,0.0,383461.0,0.01378,0.96912,0.53191,0.19231,0.28249,0.74716,
7,36.17617,3548.50435,0.9857,0.12768547,9.989e-05,383461.0,0.03516,0.96508,0.69856,0.11851,0.20264,0.79405,1.79375,0.08703578,0.0,383461.0,0.01391,0.97885,0.38462,0.12346,0.18692,0.73333,1.78753,0.12924559,0.0,383461.0,0.01386,0.96742,0.45238,0.14615,0.22093,0.71927,
8,36.08222,3484.77234,0.96799,0.12609443,9.975e-05,383461.0,0.03507,0.96489,0.62791,0.15341,0.24658,0.79466,1.79743,0.07933647,0.0,383461.0,0.01393,0.98152,0.5641,0.2716,0.36667,0.75695,1.83752,0.11909867,0.0,383461.0,0.01424,0.96912,0.52459,0.24615,0.33508,0.75077,
9,36.10684,3426.79185,0.95189,0.12183762,9.956e-05,383461.0,0.03509,0.96629,0.68358,0.18588,0.29228,0.81574,1.78543,0.08386119,0.0,383461.0,0.01384,0.98104,0.55172,0.19753,0.29091,0.74137,1.77666,0.12466332,0.0,383461.0,0.01377,0.96718,0.44681,0.16154,0.23729,0.74691,
