epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,58.96073,5837.11183,1.62142,0.64873433,0.0,383461.0,0.0573,0.96207,0.0,0.0,0.0,0.40645,2.36062,0.65794148,0.0,383461.0,0.0183,0.97447,0.03846,0.01235,0.01869,0.42184,2.58907,0.65936515,0.0,383461.0,0.02007,0.95259,0.01493,0.00769,0.01015,0.37796,
1,52.39005,5456.18799,1.51561,0.42770854,2e-05,383461.0,0.05091,0.96255,0.0,0.0,0.0,0.52321,1.87759,0.17578448,0.0,383461.0,0.01455,0.98031,0.0,0.0,0.0,0.59421,1.87002,0.19880958,0.0,383461.0,0.0145,0.96839,0.0,0.0,0.0,0.59711,
2,52.41699,5295.15783,1.47088,0.17196695,4e-05,383461.0,0.05094,0.96255,0.0,0.0,0.0,0.6162,1.87659,0.0979929,0.0,383461.0,0.01455,0.98031,0.0,0.0,0.0,0.68918,1.92334,0.13762426,0.0,383461.0,0.01491,0.96839,0.0,0.0,0.0,0.69165,
3,52.11505,5181.18771,1.43922,0.14748193,6e-05,383461.0,0.05065,0.96255,0.0,0.0,0.0,0.71549,1.88189,0.09002823,0.0,383461.0,0.01459,0.98031,0.0,0.0,0.0,0.7177,1.86743,0.12685867,0.0,383461.0,0.01448,0.96839,0.0,0.0,0.0,0.73621,
4,52.24417,5094.41291,1.41511,0.14011625,8e-05,383461.0,0.05077,0.96255,0.0,0.0,0.0,0.74483,1.89723,0.08377736,0.0,383461.0,0.01471,0.98031,0.0,0.0,0.0,0.74355,1.89479,0.12383518,0.0,383461.0,0.01469,0.96839,0.0,0.0,0.0,0.73015,
5,52.09422,5016.79905,1.39356,0.13382891,0.0001,383461.0,0.05063,0.96255,0.0,0.0,0.0,0.77582,1.88418,0.1053223,0.0,383461.0,0.01461,0.98031,0.0,0.0,0.0,0.72651,1.87542,0.13306829,0.0,383461.0,0.01454,0.96839,0.0,0.0,0.0,0.75399,
6,52.32455,4949.53657,1.37487,0.12839381,9.997e-05,383461.0,0.05085,0.96344,0.69333,0.04221,0.07957,0.78963,1.87652,0.08242005,0.0,383461.0,0.01455,0.98177,0.71429,0.12346,0.21053,0.71733,1.87422,0.12338629,0.0,383461.0,0.01453,0.96839,0.5,0.00769,0.01515,0.73726,
7,52.58161,4888.96476,1.35805,0.12475393,9.989e-05,383461.0,0.0511,0.96486,0.652,0.13231,0.21997,0.80147,1.87814,0.07913619,0.0,383461.0,0.01456,0.98225,0.64286,0.22222,0.33028,0.76395,1.92443,0.1213268,0.0,383461.0,0.01492,0.9718,0.66667,0.21538,0.32558,0.75212,
8,52.43379,4828.67397,1.3413,0.12094227,9.975e-05,383461.0,0.05096,0.96584,0.66265,0.17857,0.28133,0.81963,1.87507,0.08109262,0.0,383461.0,0.01454,0.98152,0.61905,0.16049,0.2549,0.73885,1.87155,0.11895404,0.0,383461.0,0.01451,0.97155,0.68571,0.18462,0.29091,0.74642,
9,52.22211,4768.04949,1.32446,0.11852291,9.956e-05,383461.0,0.05075,0.96681,0.68617,0.20942,0.3209,0.8238,1.87528,0.07941143,0.0,383461.0,0.01454,0.98104,0.58824,0.12346,0.20408,0.76795,1.86905,0.11855197,0.0,383461.0,0.01449,0.96961,0.64706,0.08462,0.14966,0.74592,
10,54.04654,4723.71396,1.31214,0.11490218,9.932e-05,383461.0,0.05252,0.96766,0.68261,0.25487,0.37116,0.83896,1.87244,0.07659696,0.0,383461.0,0.01452,0.98177,0.6,0.22222,0.32432,0.78329,1.82406,0.12321403,0.0,383461.0,0.01414,0.96742,0.46667,0.21538,0.29474,0.75429,
11,54.13893,4678.43748,1.29957,0.11218466,9.902e-05,383461.0,0.05261,0.96842,0.70146,0.27273,0.39275,0.84645,1.82836,0.07474379,0.0,383461.0,0.01417,0.98177,0.6875,0.1358,0.2268,0.7796,1.84947,0.11703642,0.0,383461.0,0.01434,0.96937,0.61111,0.08462,0.14865,0.76508,
12,53.14859,4625.16984,1.28477,0.10964315,9.867e-05,383461.0,0.05165,0.96866,0.6998,0.28571,0.40576,0.85595,1.88272,0.07436258,0.0,383461.0,0.01459,0.98274,0.63158,0.2963,0.40336,0.78864,1.86535,0.11501569,0.0,383461.0,0.01446,0.96864,0.50704,0.27692,0.35821,0.77858,
13,52.26545,4566.49425,1.26847,0.1090759,9.826e-05,383461.0,0.05079,0.96885,0.68852,0.30682,0.42448,0.85455,1.87533,0.07706731,0.0,383461.0,0.01454,0.98201,0.70588,0.14815,0.2449,0.7714,1.92593,0.12174235,0.0,383461.0,0.01493,0.96839,0.5,0.03846,0.07143,0.75268,
14,52.52018,4510.11681,1.25281,0.10726645,9.78e-05,383461.0,0.05104,0.96958,0.72169,0.30519,0.42898,0.86203,1.8823,0.07319683,0.0,383461.0,0.01459,0.98298,0.66667,0.2716,0.38596,0.80071,1.86793,0.11830585,0.0,383461.0,0.01448,0.96961,0.54237,0.24615,0.33862,0.77385,
15,51.2056,4447.31999,1.23537,0.10613285,9.729e-05,383461.0,0.04976,0.97006,0.71705,0.33117,0.45308,0.86364,1.87918,0.0797607,0.0,383461.0,0.01457,0.98152,0.56757,0.25926,0.35593,0.78856,1.94005,0.11818318,0.0,383461.0,0.01504,0.97034,0.58333,0.21538,0.31461,0.76376,
16,52.56397,4392.51886,1.22014,0.10293772,9.673e-05,383461.0,0.05108,0.9704,0.72241,0.3401,0.46247,0.87537,1.88022,0.07583614,0.0,383461.0,0.01458,0.98177,0.58824,0.24691,0.34783,0.79441,1.86771,0.11542014,0.0,383461.0,0.01448,0.96961,0.55556,0.19231,0.28571,0.77851,
17,52.25786,4336.57181,1.2046,0.10303977,9.611e-05,383461.0,0.05079,0.97009,0.71017,0.3401,0.45993,0.87417,1.87971,0.08329131,0.0,383461.0,0.01457,0.97763,0.4,0.2716,0.32353,0.80567,1.92916,0.12444519,0.0,383461.0,0.01495,0.96572,0.42667,0.24615,0.3122,0.77643,
18,53.08727,4284.549,1.19015,0.10129864,9.545e-05,383461.0,0.05159,0.97067,0.72066,0.3539,0.47469,0.88244,1.87813,0.07319057,0.0,383461.0,0.01456,0.98201,0.6129,0.23457,0.33929,0.80954,1.87303,0.11247644,0.0,383461.0,0.01452,0.97034,0.58,0.22308,0.32222,0.7832,
19,52.73313,4231.00319,1.17528,0.09886678,9.474e-05,383461.0,0.05125,0.97146,0.74457,0.36201,0.48717,0.88939,1.87651,0.07295171,0.0,383461.0,0.01455,0.98152,0.58065,0.22222,0.32143,0.80887,1.86961,0.1217835,0.0,383461.0,0.01449,0.97058,0.59184,0.22308,0.32402,0.7516,
20,53.92109,4182.00377,1.16167,0.09854533,9.397e-05,383461.0,0.0524,0.97122,0.72873,0.36851,0.48949,0.89209,1.89241,0.07498025,0.0,383461.0,0.01467,0.98274,0.61364,0.33333,0.432,0.81376,1.88105,0.12096799,0.0,383461.0,0.01458,0.96937,0.52778,0.29231,0.37624,0.77509,
21,54.41353,4134.30285,1.14842,0.09703698,9.316e-05,383461.0,0.05288,0.97164,0.73997,0.37419,0.49704,0.89629,1.87884,0.07490427,0.0,383461.0,0.01456,0.98298,0.64103,0.30864,0.41667,0.81027,1.84975,0.12273112,0.0,383461.0,0.01434,0.96839,0.5,0.20769,0.29348,0.76385,
22,52.33382,4079.05573,1.13307,0.09622185,9.23e-05,383461.0,0.05086,0.97155,0.73053,0.38068,0.50053,0.89626,1.88147,0.07394738,0.0,383461.0,0.01459,0.98177,0.56522,0.32099,0.40945,0.81798,1.86764,0.12660916,0.0,383461.0,0.01448,0.96596,0.43902,0.27692,0.33962,0.76359,
23,52.33802,4024.06465,1.1178,0.09475526,9.14e-05,383461.0,0.05086,0.97207,0.74646,0.38474,0.50777,0.90604,1.88512,0.06947995,0.0,383461.0,0.01461,0.98371,0.675,0.33333,0.44628,0.82792,1.86304,0.13019003,0.0,383461.0,0.01444,0.96839,0.5,0.16154,0.24419,0.75155,
24,52.75715,3970.54322,1.10293,0.09281159,9.045e-05,383461.0,0.05127,0.9728,0.75569,0.40422,0.52671,0.91025,1.88311,0.07658766,0.0,383461.0,0.0146,0.98347,0.68571,0.2963,0.41379,0.81582,1.862,0.13690446,0.0,383461.0,0.01443,0.96815,0.49091,0.20769,0.29189,0.73243,
25,52.05662,3915.08678,1.08752,0.09039834,8.946e-05,383461.0,0.05059,0.97243,0.74584,0.40016,0.52087,0.92005,1.87694,0.07214636,0.0,383461.0,0.01455,0.98249,0.61538,0.2963,0.4,0.83506,1.86256,0.12987995,0.0,383461.0,0.01444,0.96839,0.5,0.27692,0.35644,0.76004,
26,52.32654,3860.61194,1.07239,0.09038163,8.842e-05,383461.0,0.05085,0.97344,0.76479,0.41964,0.54193,0.91464,1.87905,0.07355923,0.0,383461.0,0.01457,0.98347,0.69697,0.28395,0.40351,0.82969,1.8669,0.12978111,0.0,383461.0,0.01447,0.96864,0.50725,0.26923,0.35176,0.75459,
27,52.18838,3805.93529,1.0572,0.09002806,8.734e-05,383461.0,0.05072,0.97392,0.77663,0.42614,0.55031,0.92131,1.87651,0.07180205,0.0,383461.0,0.01455,0.98249,0.62162,0.28395,0.38983,0.84259,1.86459,0.12483624,0.0,383461.0,0.01445,0.96937,0.52857,0.28462,0.37,0.75513,
