epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
18,50.59479,3921.02523,1.08917,0.10359873,9.545e-05,383461.0,0.04917,0.96994,0.70558,0.33847,0.45749,0.87787,1.8543,0.07272767,0.0,383461.0,0.01437,0.98322,0.67647,0.28395,0.4,0.78774,1.83961,0.10874943,0.0,383461.0,0.01426,0.97253,0.66038,0.26923,0.38251,0.79919,
19,52.43578,3888.72977,1.0802,0.10073306,9.474e-05,383461.0,0.05096,0.97076,0.72351,0.35471,0.47603,0.88527,1.84491,0.07613727,0.0,383461.0,0.0143,0.98201,0.58537,0.2963,0.39344,0.79243,1.83842,0.11199935,0.0,383461.0,0.01425,0.97034,0.58,0.22308,0.32222,0.78418,
20,53.01054,3856.67837,1.0713,0.09987344,9.397e-05,383461.0,0.05152,0.97055,0.70644,0.36526,0.48154,0.89083,1.84545,0.08067513,0.0,383461.0,0.01431,0.98201,0.58537,0.2963,0.39344,0.74428,1.88721,0.12452716,0.0,383461.0,0.01463,0.96402,0.38462,0.23077,0.28846,0.7607,
21,52.64188,3821.41454,1.0615,0.09887925,9.316e-05,383461.0,0.05116,0.97137,0.72727,0.37662,0.49626,0.89124,1.84537,0.08009596,0.0,383461.0,0.01431,0.98079,0.52,0.32099,0.39695,0.77712,1.84046,0.11313287,0.0,383461.0,0.01427,0.97034,0.54762,0.35385,0.42991,0.78915,
22,52.41219,3783.87057,1.05108,0.09777347,9.23e-05,383461.0,0.05094,0.97113,0.7224,0.37175,0.49089,0.89988,1.85065,0.07451861,0.0,383461.0,0.01435,0.98152,0.55319,0.32099,0.40625,0.81607,1.83994,0.11442014,0.0,383461.0,0.01426,0.96912,0.51807,0.33077,0.40376,0.78405,
23,52.66602,3745.89139,1.04053,0.09541599,9.14e-05,383461.0,0.05118,0.97216,0.74159,0.39367,0.51432,0.90201,1.86305,0.07666881,0.0,383461.0,0.01444,0.98322,0.65,0.32099,0.42975,0.80122,1.84278,0.11653237,0.0,383461.0,0.01429,0.97058,0.55556,0.34615,0.42654,0.7849,
24,52.8859,3707.39691,1.02983,0.09531349,9.045e-05,383461.0,0.0514,0.97204,0.73565,0.39529,0.51426,0.90611,1.84714,0.07893849,0.0,383461.0,0.01432,0.98079,0.51852,0.34568,0.41481,0.81004,1.8395,0.1221693,0.0,383461.0,0.01426,0.96499,0.4386,0.38462,0.40984,0.788,
25,52.75049,3667.41,1.01872,0.09423256,8.946e-05,383461.0,0.05126,0.97222,0.73314,0.40584,0.52247,0.90557,1.85261,0.0770359,0.0,383461.0,0.01436,0.98006,0.4898,0.2963,0.36923,0.80516,1.84652,0.1158283,0.0,383461.0,0.01431,0.96937,0.52326,0.34615,0.41667,0.78435,
26,38.82007,3588.81392,0.99689,0.09379464,8.842e-05,383461.0,0.03773,0.97219,0.73206,0.40584,0.52219,0.90933,1.87379,0.07330104,0.0,383461.0,0.01453,0.98104,0.53659,0.2716,0.36066,0.81671,1.85255,0.11772094,0.0,383461.0,0.01436,0.96839,0.5,0.26923,0.35,0.79153,
27,38.71458,3512.78772,0.97577,0.09130458,8.734e-05,383461.0,0.03762,0.97234,0.73199,0.41234,0.52752,0.91787,1.86257,0.07742429,0.0,383461.0,0.01444,0.98371,0.73333,0.2716,0.3964,0.78709,1.84918,0.12195417,0.0,383461.0,0.01433,0.97034,0.55556,0.30769,0.39604,0.76641,
28,38.93357,3439.87088,0.95552,0.09022629,8.622e-05,383461.0,0.03784,0.97337,0.75948,0.42289,0.54327,0.91804,1.86734,0.07519496,0.0,383461.0,0.01448,0.98177,0.56522,0.32099,0.40945,0.82103,1.84909,0.1181761,0.0,383461.0,0.01433,0.97034,0.55263,0.32308,0.40777,0.78196,
29,38.9385,3369.2311,0.9359,0.08893052,8.506e-05,383461.0,0.03784,0.97377,0.77496,0.42208,0.54651,0.92422,1.85378,0.07561718,0.0,383461.0,0.01437,0.98177,0.57143,0.2963,0.39024,0.80608,1.84753,0.12014968,0.0,383461.0,0.01432,0.97034,0.57407,0.23846,0.33696,0.78322,
30,38.65448,3300.00439,0.91667,0.08700179,8.386e-05,383461.0,0.03757,0.9742,0.77396,0.43912,0.56033,0.92857,1.85562,0.07375165,0.0,383461.0,0.01438,0.98298,0.63415,0.32099,0.42623,0.82893,1.84315,0.12315376,0.0,383461.0,0.01429,0.9718,0.59211,0.34615,0.43689,0.78531,
31,38.64596,3232.67034,0.89796,0.08550751,8.263e-05,383461.0,0.03756,0.97371,0.74697,0.45049,0.56203,0.93536,1.85304,0.07712927,0.0,383461.0,0.01436,0.97982,0.48077,0.30864,0.37594,0.82564,1.84377,0.12641657,0.0,383461.0,0.01429,0.96985,0.53409,0.36154,0.43119,0.77763,
32,38.70409,3167.19298,0.87978,0.0870451,8.136e-05,383461.0,0.03761,0.97389,0.75305,0.45049,0.56374,0.92922,1.86281,0.07759161,0.0,383461.0,0.01444,0.98274,0.61364,0.33333,0.432,0.81189,1.84441,0.12369653,0.0,383461.0,0.0143,0.96985,0.54054,0.30769,0.39216,0.79824,
