epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,213.72959,21159.22945,5.87756,0.69813964,0.0,6489318.0,0.31201,0.49401,0.49007,0.01963,14.00881,0.69954618,0.0,6489318.0,0.16289,0.48702,0.48401,0.02371,12.55566,0.70093158,0.0,6489318.0,0.146,0.48676,0.48816,0.02553,
1,145.60656,17607.47119,4.89096,0.33170073,0.0001,6489318.0,0.21256,0.91067,0.54151,0.02974,7.82067,0.14396507,0.0,6489318.0,0.09094,0.9622,0.60056,0.0422,8.06048,0.14222329,0.0,6489318.0,0.09373,0.9624,0.59585,0.04301,
2,144.24003,16282.2964,4.52286,0.06362499,0.0002,6489318.0,0.21057,0.97978,0.64004,0.04716,7.73806,0.07807727,0.0,6489318.0,0.08998,0.97494,0.72949,0.07517,9.77207,0.07406323,0.0,6489318.0,0.11363,0.9736,0.73047,0.07628,
3,143.98814,15541.54353,4.3171,0.04793032,0.0003,6489318.0,0.2102,0.98121,0.74493,0.08494,7.83924,0.05629945,0.0,6489318.0,0.09115,0.97608,0.76705,0.11392,8.13719,0.05869545,0.0,6489318.0,0.09462,0.97469,0.77083,0.1225,
4,145.48625,15067.96063,4.18554,0.04456045,0.0004,6489318.0,0.21239,0.98208,0.79971,0.11319,7.85654,0.05277426,0.0,6489318.0,0.09136,0.97764,0.81234,0.14561,8.06737,0.0553519,0.0,6489318.0,0.09381,0.97636,0.81036,0.14185,
5,144.43017,14687.19806,4.07978,0.0428063,0.0005,6489318.0,0.21085,0.98275,0.82701,0.13594,7.96748,0.05091356,0.0,6489318.0,0.09265,0.97806,0.83192,0.16473,8.2022,0.0533948,0.0,6489318.0,0.09537,0.97684,0.83182,0.15874,
6,146.26927,14398.39279,3.99955,0.04131103,0.00049986,6489318.0,0.21353,0.98328,0.84657,0.15707,7.95858,0.04995616,0.0,6489318.0,0.09254,0.97929,0.84126,0.18565,8.21176,0.0525014,0.0,6489318.0,0.09549,0.97792,0.84194,0.17618,
7,144.52056,14125.1114,3.92364,0.04020677,0.00049945,6489318.0,0.21098,0.98362,0.8565,0.17461,9.56782,0.0511891,0.0,6489318.0,0.11125,0.97792,0.84558,0.18728,8.11943,0.05354807,0.0,6489318.0,0.09441,0.97652,0.84369,0.18153,
8,143.87678,13873.93418,3.85387,0.03926367,0.00049877,6489318.0,0.21004,0.98387,0.86447,0.19327,7.89799,0.04838463,0.0,6489318.0,0.09184,0.97959,0.85413,0.20138,8.11053,0.05087821,0.0,6489318.0,0.09431,0.97824,0.84972,0.19847,
9,145.50228,13658.84651,3.79412,0.03847961,0.00049782,6489318.0,0.21241,0.98424,0.87136,0.20467,7.95843,0.04852193,0.0,6489318.0,0.09254,0.97891,0.86193,0.21522,8.19948,0.05052728,0.0,6489318.0,0.09534,0.97771,0.85885,0.215,
