epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,196.25841,19429.58219,5.39711,0.70063619,0.0,6489318.0,0.28651,0.48159,0.49643,0.02006,14.06641,0.69936235,0.0,6489318.0,0.16356,0.48528,0.48102,0.02388,15.41195,0.69968063,0.0,6489318.0,0.17921,0.48895,0.49211,0.02627,
1,111.97047,15103.21506,4.19534,0.33281808,0.0001,6489318.0,0.16346,0.90932,0.54082,0.02999,8.75424,0.19315503,0.0,6489318.0,0.10179,0.95216,0.58585,0.0396,7.46241,0.19735741,0.0,6489318.0,0.08677,0.95223,0.58376,0.04048,
2,118.89327,13810.28278,3.83619,0.06464174,0.0002,6489318.0,0.17357,0.97967,0.63337,0.04667,7.10178,0.06550171,0.0,6489318.0,0.08258,0.97471,0.7194,0.07078,7.48298,0.06594951,0.0,6489318.0,0.08701,0.97347,0.71881,0.07623,
3,121.84815,13175.28718,3.6598,0.04790983,0.0003,6489318.0,0.17788,0.98111,0.74651,0.084,6.48002,0.05691598,0.0,6489318.0,0.07535,0.97618,0.78303,0.11143,6.67487,0.05929135,0.0,6489318.0,0.07761,0.97486,0.78133,0.11512,
4,116.50484,12644.02772,3.51223,0.04472968,0.0004,6489318.0,0.17008,0.98195,0.79724,0.11174,6.65454,0.05417762,0.0,6489318.0,0.07738,0.97723,0.80995,0.13543,6.83756,0.05641579,0.0,6489318.0,0.07951,0.97596,0.80826,0.13555,
5,118.22082,12277.90336,3.41053,0.04289321,0.0005,6489318.0,0.17259,0.98262,0.82565,0.13345,6.29252,0.05258445,0.0,6489318.0,0.07317,0.9776,0.8233,0.15277,6.73917,0.05466463,0.0,6489318.0,0.07836,0.9765,0.82038,0.15302,
6,122.36427,12037.65735,3.34379,0.04139537,0.00049986,6489318.0,0.17863,0.98316,0.84347,0.15511,7.08625,0.05120461,0.0,6489318.0,0.0824,0.97825,0.84015,0.17453,7.43683,0.05379013,0.0,6489318.0,0.08647,0.97718,0.83929,0.16638,
7,115.76374,11750.97563,3.26416,0.04045184,0.00049945,6489318.0,0.169,0.98349,0.85335,0.1681,6.96388,0.05037385,0.0,6489318.0,0.08098,0.97839,0.84917,0.19267,7.34067,0.05256343,0.0,6489318.0,0.08536,0.9772,0.84491,0.18512,
8,113.65018,11480.90528,3.18914,0.03944649,0.00049877,6489318.0,0.16591,0.98376,0.86365,0.18712,6.45118,0.04818546,0.0,6489318.0,0.07501,0.97928,0.85783,0.20225,6.73036,0.05061994,0.0,6489318.0,0.07826,0.97775,0.85205,0.19694,
9,111.64858,11224.10452,3.11781,0.03861539,0.00049782,6489318.0,0.16299,0.9841,0.86982,0.20277,6.85651,0.04768336,0.0,6489318.0,0.07973,0.9796,0.86631,0.20818,7.16684,0.04987085,0.0,6489318.0,0.08334,0.97826,0.86198,0.21072,
10,115.82687,11027.50126,3.06319,0.03788566,0.00049659,6489318.0,0.16909,0.98439,0.87557,0.21802,6.68795,0.0472561,0.0,6489318.0,0.07777,0.97986,0.86471,0.21623,6.95186,0.04966378,0.0,6489318.0,0.08084,0.97851,0.8612,0.21603,
11,115.63011,10842.91786,3.01192,0.03716482,0.00049509,6489318.0,0.1688,0.98464,0.88072,0.23029,6.88821,0.04822374,0.0,6489318.0,0.0801,0.97913,0.86203,0.22595,6.99219,0.05035774,0.0,6489318.0,0.0813,0.97772,0.85998,0.22896,
12,111.66331,10642.39556,2.95622,0.03655234,0.00049333,6489318.0,0.16301,0.98489,0.88643,0.24411,6.54656,0.04789624,0.0,6489318.0,0.07612,0.97929,0.86668,0.22387,6.84836,0.05004953,0.0,6489318.0,0.07963,0.97788,0.86162,0.22665,
13,123.15923,10525.18524,2.92366,0.03593502,0.0004913,6489318.0,0.17979,0.98509,0.88949,0.25523,6.83256,0.04595965,0.0,6489318.0,0.07945,0.98034,0.87144,0.23896,6.94422,0.04836181,0.0,6489318.0,0.08075,0.97907,0.86861,0.24161,
14,116.24325,10367.99114,2.88,0.03533893,0.00048901,6489318.0,0.1697,0.98536,0.89414,0.27166,6.33889,0.04648896,0.0,6489318.0,0.07371,0.97981,0.87345,0.2421,6.58391,0.04874261,0.0,6489318.0,0.07656,0.97838,0.86997,0.2419,
15,116.9031,10219.38011,2.83872,0.03484239,0.00048645,6489318.0,0.17066,0.98552,0.89761,0.28164,6.38897,0.04482772,0.0,6489318.0,0.07429,0.9807,0.87706,0.25576,6.5676,0.04710335,0.0,6489318.0,0.07637,0.97968,0.87181,0.25714,
16,115.35239,10066.92831,2.79637,0.03428405,0.00048364,6489318.0,0.1684,0.98569,0.90146,0.29413,6.63906,0.04505673,0.0,6489318.0,0.0772,0.98072,0.87903,0.25659,6.71378,0.04722998,0.0,6489318.0,0.07807,0.97956,0.87289,0.25561,
17,111.65349,9901.74813,2.75049,0.0338258,0.00048057,6489318.0,0.163,0.98589,0.90455,0.30452,6.30946,0.04515435,0.0,6489318.0,0.07337,0.98055,0.88175,0.25832,6.69862,0.04719436,0.0,6489318.0,0.07789,0.97924,0.8754,0.25559,
18,112.2835,9744.88817,2.70691,0.03337138,0.00047725,6489318.0,0.16392,0.98618,0.90739,0.31774,6.25573,0.04579841,0.0,6489318.0,0.07274,0.9801,0.88198,0.25898,6.42093,0.0481423,0.0,6489318.0,0.07466,0.97853,0.87426,0.24955,
19,109.31156,9580.59809,2.66128,0.03300956,0.00047368,6489318.0,0.15958,0.98628,0.91028,0.32348,6.64029,0.04475028,0.0,6489318.0,0.07721,0.98087,0.88241,0.27076,9.87732,0.04700366,0.0,6489318.0,0.11485,0.97937,0.87647,0.26668,
20,117.87193,9453.74736,2.62604,0.03263111,0.00046987,6489318.0,0.17208,0.98646,0.91273,0.33038,6.45686,0.04432593,0.0,6489318.0,0.07508,0.98072,0.88419,0.27033,6.638,0.04636062,0.0,6489318.0,0.07719,0.97943,0.87917,0.27168,
21,118.59152,9330.26416,2.59174,0.03221168,0.00046581,6489318.0,0.17313,0.98663,0.91675,0.34246,6.62226,0.04468797,0.0,6489318.0,0.077,0.981,0.88359,0.27218,6.976,0.04684194,0.0,6489318.0,0.08112,0.9795,0.87379,0.26775,
22,111.07534,9182.04346,2.55057,0.03186429,0.00046152,6489318.0,0.16215,0.98672,0.91874,0.35022,6.49358,0.04540395,0.0,6489318.0,0.07551,0.98066,0.88462,0.27385,6.64875,0.04733786,0.0,6489318.0,0.07731,0.97922,0.87653,0.26612,
23,111.68137,9038.8373,2.51079,0.03153291,0.000457,6489318.0,0.16304,0.98683,0.92052,0.35884,7.00879,0.04464602,0.0,6489318.0,0.0815,0.98076,0.88637,0.27502,7.27913,0.04676879,0.0,6489318.0,0.08464,0.97943,0.87886,0.26445,
24,118.98632,8920.06799,2.4778,0.0312184,0.00045225,6489318.0,0.1737,0.98702,0.92278,0.36657,6.71008,0.04503212,0.0,6489318.0,0.07802,0.98086,0.88763,0.27646,8.82568,0.0472731,0.0,6489318.0,0.10262,0.97944,0.87613,0.27191,
25,109.75157,8774.99847,2.4375,0.03090824,0.00044729,6489318.0,0.16022,0.98715,0.92528,0.37488,6.1574,0.04482384,0.0,6489318.0,0.0716,0.98083,0.88417,0.27914,6.35987,0.04677399,0.0,6489318.0,0.07395,0.97974,0.87554,0.2795,
26,109.20858,8631.07699,2.39752,0.03063461,0.0004421,6489318.0,0.15943,0.98719,0.92708,0.38303,6.07089,0.04511323,0.0,6489318.0,0.07059,0.98027,0.88481,0.27689,6.2896,0.04715328,0.0,6489318.0,0.07313,0.9797,0.87381,0.27738,
27,108.36727,8487.47164,2.35763,0.03031444,0.00043671,6489318.0,0.1582,0.98742,0.92929,0.39323,6.46071,0.04450783,0.0,6489318.0,0.07512,0.98084,0.88647,0.28313,6.5676,0.04663364,0.0,6489318.0,0.07637,0.97957,0.8789,0.27981,
28,113.34107,8358.47374,2.3218,0.03003239,0.00043111,6489318.0,0.16546,0.98744,0.93072,0.39757,6.2658,0.04445558,0.0,6489318.0,0.07286,0.98113,0.88711,0.28341,6.47776,0.04651462,0.0,6489318.0,0.07532,0.97987,0.87655,0.28096,
29,110.94814,8224.93612,2.2847,0.02979308,0.00042531,6489318.0,0.16197,0.98757,0.93228,0.40316,7.81415,0.04452623,0.0,6489318.0,0.09086,0.98081,0.88563,0.2836,6.39887,0.04664491,0.0,6489318.0,0.07441,0.97974,0.87503,0.27908,
30,113.60872,8098.77782,2.24966,0.0295058,0.00041932,6489318.0,0.16585,0.98768,0.93447,0.40887,6.82668,0.044847,0.0,6489318.0,0.07938,0.98117,0.88537,0.28181,7.04669,0.04683412,0.0,6489318.0,0.08194,0.98005,0.87566,0.28355,
31,114.73041,7975.78748,2.2155,0.02923223,0.00041315,6489318.0,0.16749,0.98785,0.93597,0.41941,6.40033,0.04487429,0.0,6489318.0,0.07442,0.98124,0.88644,0.28857,6.59718,0.04704652,0.0,6489318.0,0.07671,0.97989,0.87796,0.2882,
32,111.14673,7846.02178,2.17945,0.02901287,0.00040679,6489318.0,0.16226,0.98792,0.93773,0.4243,6.55714,0.04480813,0.0,6489318.0,0.07625,0.98054,0.88399,0.28073,6.61653,0.04693233,0.0,6489318.0,0.07694,0.97928,0.87587,0.27886,
33,112.24916,7719.49132,2.1443,0.02873821,0.00040027,6489318.0,0.16387,0.98801,0.9397,0.43302,6.21516,0.04448135,0.0,6489318.0,0.07227,0.98131,0.88585,0.28546,6.42056,0.04641913,0.0,6489318.0,0.07466,0.98003,0.87804,0.2866,
34,111.29061,7591.99677,2.10889,0.02851496,0.00039358,6489318.0,0.16247,0.98816,0.94123,0.43846,9.15877,0.04488323,0.0,6489318.0,0.1065,0.98154,0.88701,0.28793,7.17796,0.04709841,0.0,6489318.0,0.08346,0.98025,0.87668,0.28806,
35,114.73772,7471.53063,2.07543,0.02828413,0.00038674,6489318.0,0.1675,0.98828,0.94292,0.44366,6.75033,0.04470241,0.0,6489318.0,0.07849,0.9811,0.8865,0.28669,6.87926,0.0469531,0.0,6489318.0,0.07999,0.97973,0.87735,0.28142,
36,118.03778,7356.99317,2.04361,0.02802081,0.00037974,6489318.0,0.17232,0.98838,0.94376,0.45025,6.92267,0.04530152,0.0,6489318.0,0.0805,0.98081,0.88615,0.28616,7.18834,0.04747139,0.0,6489318.0,0.08359,0.97914,0.87628,0.28114,
37,111.75356,7232.01827,2.00889,0.02780523,0.00037261,6489318.0,0.16314,0.98847,0.94575,0.45739,6.57923,0.04524248,0.0,6489318.0,0.0765,0.98085,0.8854,0.28842,7.35165,0.04742682,0.0,6489318.0,0.08548,0.97949,0.87488,0.28566,
38,116.80924,7115.62898,1.97656,0.02762831,0.00036534,6489318.0,0.17052,0.98852,0.94678,0.46231,7.34543,0.04544603,0.0,6489318.0,0.08541,0.98106,0.88482,0.28861,7.27709,0.0475577,0.0,6489318.0,0.08462,0.97974,0.8761,0.29143,
39,115.58053,6997.37564,1.94372,0.02735578,0.00035794,6489318.0,0.16873,0.98858,0.94856,0.47017,8.40841,0.04530824,0.0,6489318.0,0.09777,0.98121,0.8826,0.29094,7.15371,0.04760712,0.0,6489318.0,0.08318,0.97979,0.87472,0.28239,
40,114.42913,6877.59579,1.91044,0.02713078,0.00035042,6489318.0,0.16705,0.98875,0.95016,0.47689,6.69649,0.04567522,0.0,6489318.0,0.07787,0.981,0.88162,0.28923,7.19186,0.04776625,0.0,6489318.0,0.08363,0.97972,0.87618,0.28299,
41,117.48488,6762.29058,1.87841,0.02693436,0.0003428,6489318.0,0.17151,0.98886,0.95123,0.47934,7.08494,0.04505583,0.0,6489318.0,0.08238,0.98101,0.8836,0.29292,7.275,0.04727422,0.0,6489318.0,0.08459,0.97969,0.87483,0.28729,
42,114.80195,6643.32755,1.84537,0.02674402,0.00033507,6489318.0,0.16759,0.98883,0.95259,0.48742,7.13119,0.04500681,0.0,6489318.0,0.08292,0.98122,0.88532,0.29366,7.14668,0.04727612,0.0,6489318.0,0.0831,0.9797,0.87463,0.28712,
43,112.13545,6521.15992,1.81143,0.02652086,0.00032725,6489318.0,0.1637,0.98899,0.95359,0.49229,6.29863,0.04575876,0.0,6489318.0,0.07324,0.98112,0.88278,0.29481,6.53791,0.04799692,0.0,6489318.0,0.07602,0.97944,0.87471,0.29125,
44,111.55606,6398.73003,1.77743,0.02628085,0.00031935,6489318.0,0.16286,0.98908,0.95532,0.50062,6.40506,0.04593402,0.0,6489318.0,0.07448,0.98088,0.88136,0.29367,6.63675,0.0481526,0.0,6489318.0,0.07717,0.97943,0.8713,0.28617,
45,110.67823,6275.74242,1.74326,0.02609244,0.00031137,6489318.0,0.16157,0.98928,0.95599,0.50434,6.5003,0.04603514,0.0,6489318.0,0.07558,0.98077,0.88195,0.29136,6.77568,0.04812557,0.0,6489318.0,0.07879,0.97959,0.87546,0.28878,
46,113.02677,6155.92696,1.70998,0.02591466,0.00030332,6489318.0,0.165,0.98922,0.95712,0.50862,6.97613,0.04555025,0.0,6489318.0,0.08112,0.98098,0.88224,0.29195,7.15683,0.04787249,0.0,6489318.0,0.08322,0.97955,0.87314,0.28701,
47,113.46285,6036.86678,1.67691,0.02568617,0.00029522,6489318.0,0.16564,0.98932,0.95807,0.51394,6.89933,0.04629415,0.0,6489318.0,0.08022,0.9811,0.87975,0.2942,7.05185,0.04866544,0.0,6489318.0,0.082,0.97942,0.87108,0.28664,
48,115.56928,5920.22747,1.64451,0.02551117,0.00028707,6489318.0,0.16871,0.98943,0.95932,0.5217,6.68991,0.04587756,0.0,6489318.0,0.07779,0.98106,0.87934,0.29307,6.88137,0.04832421,0.0,6489318.0,0.08002,0.97975,0.86995,0.28761,
49,113.19371,5801.2554,1.61146,0.02533863,0.00027887,6489318.0,0.16525,0.9895,0.96027,0.5251,6.4184,0.04615457,0.0,6489318.0,0.07463,0.98093,0.87789,0.29296,6.58379,0.04847701,0.0,6489318.0,0.07656,0.97958,0.86981,0.28821,
50,110.72645,5680.13943,1.57782,0.02509751,0.00027064,6489318.0,0.16164,0.98967,0.96172,0.53325,6.39216,0.04632774,0.0,6489318.0,0.07433,0.98084,0.87824,0.29316,6.68967,0.04886202,0.0,6489318.0,0.07779,0.9793,0.87078,0.28573,
51,114.49892,5562.90533,1.54525,0.02494977,0.0002624,6489318.0,0.16715,0.98972,0.96225,0.53776,6.72766,0.04630068,0.0,6489318.0,0.07823,0.98111,0.87974,0.2935,6.91561,0.04887891,0.0,6489318.0,0.08041,0.97943,0.87095,0.28262,
52,110.75638,5442.45559,1.51179,0.02475875,0.00025413,6489318.0,0.16169,0.98977,0.96329,0.54135,6.03529,0.04732432,0.0,6489318.0,0.07018,0.98046,0.87693,0.29585,6.30064,0.04980756,0.0,6489318.0,0.07326,0.97915,0.8714,0.28602,
