epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,196.55542,19458.98643,5.40527,0.69844833,0.0,6489318.0,0.28694,0.49957,0.49398,0.01903,13.54317,0.69265866,0.0,6489318.0,0.15748,0.52571,0.49455,0.02315,15.42854,0.69412941,0.0,6489318.0,0.1794,0.5236,0.4896,0.02436,
1,149.34452,16949.0968,4.70808,0.33855948,0.0001,6489318.0,0.21802,0.90805,0.54026,0.02944,10.4145,0.15493867,0.0,6489318.0,0.1211,0.96972,0.59424,0.04269,8.58903,0.1705093,0.0,6489318.0,0.09987,0.96803,0.59053,0.04289,
2,148.78254,15994.73319,4.44298,0.06449219,0.0002,6489318.0,0.2172,0.97968,0.63321,0.04569,8.24302,0.06737356,0.0,6489318.0,0.09585,0.9751,0.72369,0.07212,8.49134,0.07061543,0.0,6489318.0,0.09874,0.97335,0.72207,0.07295,
3,156.65197,15632.02646,4.34223,0.04813433,0.0003,6489318.0,0.22869,0.98118,0.7424,0.08508,8.47824,0.05683538,0.0,6489318.0,0.09858,0.97564,0.78292,0.11641,8.84644,0.05920135,0.0,6489318.0,0.10287,0.97434,0.78387,0.11729,
4,148.73143,15201.25149,4.22257,0.04454429,0.0004,6489318.0,0.21713,0.98203,0.8023,0.1135,7.94316,0.05306393,0.0,6489318.0,0.09236,0.97718,0.81874,0.14768,8.28499,0.05543218,0.0,6489318.0,0.09634,0.97622,0.81907,0.15039,
5,148.83688,14866.14308,4.12948,0.04268218,0.0005,6489318.0,0.21728,0.98265,0.82779,0.13744,7.96328,0.05216534,0.0,6489318.0,0.0926,0.97752,0.82962,0.16199,8.33485,0.05446465,0.0,6489318.0,0.09692,0.97602,0.82787,0.15905,
6,149.07563,14587.42706,4.05206,0.04121713,0.00049986,6489318.0,0.21763,0.98323,0.8462,0.15863,8.88289,0.05125536,0.0,6489318.0,0.10329,0.97863,0.84413,0.17959,9.20252,0.05400955,0.0,6489318.0,0.10701,0.97737,0.84181,0.17516,
7,149.60939,14347.25939,3.98535,0.04015684,0.00049945,6489318.0,0.21841,0.98357,0.8577,0.17585,8.06824,0.04933868,0.0,6489318.0,0.09382,0.97888,0.85425,0.19798,8.39145,0.05168041,0.0,6489318.0,0.09757,0.97764,0.84946,0.19367,
8,149.97564,14130.91896,3.92526,0.03925245,0.00049877,6489318.0,0.21894,0.98389,0.86422,0.19406,8.29503,0.04807462,0.0,6489318.0,0.09645,0.97949,0.8605,0.19879,8.52763,0.05025413,0.0,6489318.0,0.09916,0.97805,0.85619,0.19985,
9,146.86861,13899.88823,3.86108,0.03842216,0.00049782,6489318.0,0.21441,0.98418,0.8707,0.21011,8.42726,0.04882057,0.0,6489318.0,0.09799,0.97836,0.85584,0.2034,8.58457,0.05098866,0.0,6489318.0,0.09982,0.97705,0.85269,0.20482,
10,150.12243,13710.48601,3.80847,0.03768923,0.00049659,6489318.0,0.21916,0.98451,0.87707,0.22219,7.96902,0.04707389,0.0,6489318.0,0.09266,0.97932,0.86637,0.22342,8.26118,0.04925329,0.0,6489318.0,0.09606,0.97827,0.86359,0.227,
11,146.83392,13503.5147,3.75098,0.03699757,0.00049509,6489318.0,0.21436,0.98475,0.88244,0.23467,7.96533,0.04664867,0.0,6489318.0,0.09262,0.97969,0.86965,0.23098,8.72202,0.04892926,0.0,6489318.0,0.10142,0.97844,0.86319,0.23409,
12,149.1497,13321.29326,3.70036,0.03634263,0.00049333,6489318.0,0.21774,0.98494,0.88732,0.25072,8.32276,0.04594323,0.0,6489318.0,0.09678,0.98042,0.87259,0.24645,8.55985,0.04831035,0.0,6489318.0,0.09953,0.97869,0.86894,0.24218,
13,152.73926,13165.84647,3.65718,0.03575455,0.0004913,6489318.0,0.22298,0.98526,0.8913,0.26504,8.3297,0.04544688,0.0,6489318.0,0.09686,0.98041,0.87524,0.24827,8.64899,0.04747282,0.0,6489318.0,0.10057,0.97933,0.87221,0.24751,
14,150.22444,12996.51007,3.61014,0.03518586,0.00048901,6489318.0,0.21931,0.98547,0.89529,0.27669,8.14244,0.04608077,0.0,6489318.0,0.09468,0.98016,0.87343,0.25022,8.42799,0.04826953,0.0,6489318.0,0.098,0.97894,0.87104,0.24663,
