epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,194.81529,19286.71368,5.35742,0.69606941,0.0,6489318.0,0.2844,0.51115,0.50048,0.02129,13.86679,0.69415257,0.0,6489318.0,0.16124,0.51762,0.50863,0.02793,12.7361,0.6948622,0.0,6489318.0,0.14809,0.51639,0.51229,0.02813,
1,145.95253,16697.62341,4.63823,0.33094357,0.0001,6489318.0,0.21307,0.91141,0.53981,0.03014,7.73971,0.13107852,0.0,6489318.0,0.09,0.97077,0.63511,0.045,8.03202,0.13964441,0.0,6489318.0,0.0934,0.96923,0.62889,0.04606,
2,143.18052,15647.66328,4.34657,0.06412047,0.0002,6489318.0,0.20902,0.97987,0.63504,0.04685,7.78282,0.07050622,0.0,6489318.0,0.0905,0.97544,0.72777,0.07894,9.485,0.07353252,0.0,6489318.0,0.11029,0.97395,0.72743,0.07677,
3,143.76196,15065.0475,4.18474,0.04787141,0.0003,6489318.0,0.20987,0.98138,0.74553,0.08837,7.77627,0.05447337,0.0,6489318.0,0.09042,0.97719,0.78387,0.12341,8.06387,0.05703122,0.0,6489318.0,0.09377,0.97585,0.78299,0.12121,
4,145.14962,14684.33873,4.07898,0.04441335,0.0004,6489318.0,0.2119,0.9821,0.80075,0.11567,7.75792,0.05294681,0.0,6489318.0,0.09021,0.97744,0.80891,0.14528,8.05543,0.05529716,0.0,6489318.0,0.09367,0.97611,0.80881,0.14493,
5,143.44176,14355.39326,3.98761,0.04265675,0.0005,6489318.0,0.2094,0.98273,0.82618,0.13862,7.79239,0.05463832,0.0,6489318.0,0.09061,0.97772,0.81787,0.15688,8.07414,0.05664621,0.0,6489318.0,0.09389,0.9763,0.8123,0.15501,
6,145.88094,14111.85508,3.91996,0.04113109,0.00049986,6489318.0,0.21296,0.98323,0.84627,0.15909,7.91307,0.05331816,0.0,6489318.0,0.09201,0.97593,0.84219,0.17504,8.08572,0.05545806,0.0,6489318.0,0.09402,0.97491,0.83929,0.16964,
7,144.78983,13880.18343,3.85561,0.04006382,0.00049945,6489318.0,0.21137,0.9836,0.85673,0.17675,9.39573,0.05019195,0.0,6489318.0,0.10925,0.97873,0.84462,0.18463,8.04062,0.05231537,0.0,6489318.0,0.0935,0.97732,0.84375,0.18761,
8,143.95866,13659.41473,3.79428,0.03917525,0.00049877,6489318.0,0.21016,0.98385,0.8649,0.19344,7.83396,0.04930637,0.0,6489318.0,0.09109,0.97855,0.85395,0.20195,8.12324,0.0515792,0.0,6489318.0,0.09446,0.9772,0.85339,0.20418,
9,145.38475,13466.84288,3.74079,0.03841201,0.00049782,6489318.0,0.21224,0.98424,0.8711,0.2072,7.78973,0.0486213,0.0,6489318.0,0.09058,0.97882,0.85714,0.20352,8.08369,0.05081573,0.0,6489318.0,0.094,0.97767,0.85515,0.20118,
10,145.09539,13280.50932,3.68903,0.03759263,0.00049659,6489318.0,0.21182,0.98452,0.87733,0.22328,7.76321,0.0474945,0.0,6489318.0,0.09027,0.97938,0.86448,0.22276,8.06578,0.04973626,0.0,6489318.0,0.09379,0.97795,0.86134,0.22305,
11,145.36813,13103.04888,3.63974,0.0369225,0.00049509,6489318.0,0.21222,0.98477,0.88259,0.23476,7.77899,0.04662599,0.0,6489318.0,0.09045,0.98016,0.87034,0.22881,8.08345,0.04871078,0.0,6489318.0,0.09399,0.97869,0.86552,0.22975,
12,143.69865,12919.35304,3.58871,0.03630257,0.00049333,6489318.0,0.20978,0.98499,0.88728,0.25063,9.19274,0.04775269,0.0,6489318.0,0.10689,0.97908,0.87131,0.23313,8.08827,0.04997997,0.0,6489318.0,0.09405,0.97792,0.86844,0.23146,
13,145.33575,12751.42756,3.54206,0.03565267,0.0004913,6489318.0,0.21217,0.98525,0.89124,0.26494,7.83829,0.04582935,0.0,6489318.0,0.09114,0.98036,0.87178,0.24049,8.15131,0.04769964,0.0,6489318.0,0.09478,0.9791,0.87011,0.24532,
14,145.23825,12585.96156,3.4961,0.03508654,0.00048901,6489318.0,0.21203,0.98547,0.89517,0.27641,7.85479,0.04582573,0.0,6489318.0,0.09133,0.98011,0.87665,0.24808,8.33808,0.0477857,0.0,6489318.0,0.09695,0.97862,0.87362,0.24584,
15,144.88118,12421.14939,3.45032,0.03460291,0.00048645,6489318.0,0.21151,0.98563,0.8992,0.28507,7.7906,0.04628231,0.0,6489318.0,0.09059,0.97967,0.87676,0.25084,8.07024,0.04849205,0.0,6489318.0,0.09384,0.97808,0.87253,0.25027,
16,144.90419,12258.79441,3.40522,0.03405767,0.00048364,6489318.0,0.21154,0.98589,0.90218,0.29755,7.77752,0.04493791,0.0,6489318.0,0.09044,0.9804,0.87964,0.25633,8.04008,0.04706543,0.0,6489318.0,0.09349,0.97901,0.87645,0.25167,
17,145.42786,12100.76399,3.36132,0.03366449,0.00048057,6489318.0,0.2123,0.98599,0.90575,0.30644,7.77245,0.04502748,0.0,6489318.0,0.09038,0.98039,0.87853,0.2616,8.46339,0.04729259,0.0,6489318.0,0.09841,0.97924,0.87234,0.26092,
18,145.88239,11945.99791,3.31833,0.03318867,0.00047725,6489318.0,0.21297,0.98627,0.90822,0.32075,7.90201,0.04479549,0.0,6489318.0,0.09188,0.98101,0.88097,0.26106,8.2104,0.04715957,0.0,6489318.0,0.09547,0.97978,0.87575,0.25742,
19,148.36173,11802.03757,3.27834,0.03280015,0.00047368,6489318.0,0.21659,0.98636,0.9119,0.32856,7.92678,0.04432595,0.0,6489318.0,0.09217,0.98124,0.88226,0.26972,8.26161,0.04641716,0.0,6489318.0,0.09607,0.97994,0.87686,0.26753,
20,145.0812,11645.31699,3.23481,0.03237978,0.00046987,6489318.0,0.2118,0.98651,0.91492,0.33739,7.87468,0.04482919,0.0,6489318.0,0.09157,0.98065,0.88207,0.26686,8.13442,0.04702398,0.0,6489318.0,0.09459,0.97939,0.87611,0.26633,
21,145.46485,11491.01476,3.19195,0.03200288,0.00046581,6489318.0,0.21236,0.98662,0.9168,0.3494,7.81938,0.04463972,0.0,6489318.0,0.09092,0.98047,0.88243,0.27536,8.09694,0.04701143,0.0,6489318.0,0.09415,0.97909,0.87638,0.26613,
22,145.2945,11336.91069,3.14914,0.03167449,0.00046152,6489318.0,0.21211,0.98679,0.91936,0.35632,7.81939,0.04429556,0.0,6489318.0,0.09092,0.98095,0.88147,0.27324,8.15196,0.04646102,0.0,6489318.0,0.09479,0.97981,0.8767,0.27043,
23,144.50219,11181.03177,3.10584,0.03133599,0.000457,6489318.0,0.21095,0.98697,0.92209,0.36603,7.7711,0.04425683,0.0,6489318.0,0.09036,0.98095,0.88343,0.27339,8.08591,0.04650311,0.0,6489318.0,0.09402,0.97975,0.87626,0.27235,
24,146.37317,11031.67592,3.06435,0.03102345,0.00045225,6489318.0,0.21368,0.98705,0.92379,0.36997,7.98171,0.04507732,0.0,6489318.0,0.09281,0.98077,0.88357,0.27628,8.22768,0.04740121,0.0,6489318.0,0.09567,0.97916,0.87854,0.27223,
25,147.33733,10885.29367,3.02369,0.0306633,0.00044729,6489318.0,0.21509,0.9873,0.92601,0.38254,7.93608,0.04629935,0.0,6489318.0,0.09228,0.97992,0.88092,0.27192,8.19141,0.04845892,0.0,6489318.0,0.09525,0.97839,0.87286,0.26301,
26,145.71672,10734.45901,2.98179,0.03037958,0.0004421,6489318.0,0.21273,0.98737,0.92776,0.38869,7.96277,0.04415052,0.0,6489318.0,0.09259,0.98106,0.88265,0.28203,8.23837,0.04644893,0.0,6489318.0,0.0958,0.97975,0.87661,0.27444,
27,145.33913,10583.01897,2.93973,0.03014842,0.00043671,6489318.0,0.21217,0.98752,0.93013,0.39614,7.76999,0.04414567,0.0,6489318.0,0.09035,0.98087,0.88492,0.2844,8.07246,0.04640005,0.0,6489318.0,0.09387,0.97997,0.87579,0.27563,
28,144.14643,10429.07962,2.89697,0.02983973,0.00043111,6489318.0,0.21043,0.9876,0.93148,0.40486,7.99472,0.04450001,0.0,6489318.0,0.09296,0.98093,0.88551,0.28343,8.24402,0.04690434,0.0,6489318.0,0.09586,0.97952,0.87687,0.2735,
29,146.98382,10282.41372,2.85623,0.02960147,0.00042531,6489318.0,0.21457,0.98767,0.93368,0.40699,7.91556,0.04397178,0.0,6489318.0,0.09204,0.98139,0.8837,0.28837,8.17014,0.0462993,0.0,6489318.0,0.095,0.98021,0.87635,0.28451,
30,143.88492,10128.82976,2.81356,0.02933286,0.00041932,6489318.0,0.21005,0.98779,0.93545,0.41344,7.77428,0.04467767,0.0,6489318.0,0.0904,0.98097,0.88379,0.28797,9.49331,0.04699145,0.0,6489318.0,0.11039,0.97957,0.87883,0.27851,
31,145.57109,9979.43509,2.77207,0.02903943,0.00041315,6489318.0,0.21251,0.98796,0.93713,0.42496,7.76456,0.04462473,0.0,6489318.0,0.09029,0.98074,0.88571,0.2859,8.07792,0.04710789,0.0,6489318.0,0.09393,0.97959,0.87869,0.28052,
32,145.4219,9829.96925,2.73055,0.02883013,0.00040679,6489318.0,0.21229,0.98798,0.93838,0.42968,7.75359,0.04471545,0.0,6489318.0,0.09016,0.98096,0.88512,0.28245,8.05509,0.04703617,0.0,6489318.0,0.09366,0.97963,0.87968,0.27854,
33,143.90771,9677.80198,2.68828,0.02858887,0.00040027,6489318.0,0.21008,0.98804,0.94015,0.43605,7.75975,0.04486859,0.0,6489318.0,0.09023,0.98082,0.88675,0.2914,8.068,0.04724406,0.0,6489318.0,0.09381,0.97958,0.8803,0.28831,
34,145.41166,9528.89974,2.64692,0.02831391,0.00039358,6489318.0,0.21228,0.98819,0.94244,0.44362,7.7844,0.04455894,0.0,6489318.0,0.09052,0.98087,0.88265,0.29434,8.06561,0.04697273,0.0,6489318.0,0.09379,0.97921,0.87773,0.28381,
35,143.47669,9376.75147,2.60465,0.02809214,0.00038674,6489318.0,0.20946,0.98828,0.94326,0.45266,7.76462,0.04420566,0.0,6489318.0,0.09029,0.98118,0.883,0.29112,9.45558,0.04663833,0.0,6489318.0,0.10995,0.97984,0.87638,0.28293,
36,143.66261,9225.3885,2.56261,0.02784084,0.00037974,6489318.0,0.20973,0.98845,0.9451,0.45731,7.78512,0.04494236,0.0,6489318.0,0.09052,0.98104,0.88267,0.29524,8.05732,0.04708169,0.0,6489318.0,0.09369,0.97953,0.87661,0.28498,
37,144.86855,9076.39841,2.52122,0.02761812,0.00037261,6489318.0,0.21149,0.98856,0.94679,0.4642,7.7665,0.04512471,0.0,6489318.0,0.09031,0.98089,0.88353,0.29316,8.07103,0.04737549,0.0,6489318.0,0.09385,0.97955,0.87462,0.2821,
38,144.23502,8926.62877,2.47962,0.02742693,0.00036534,6489318.0,0.21056,0.98864,0.94799,0.46624,7.84209,0.04476114,0.0,6489318.0,0.09119,0.98111,0.8843,0.29266,8.10463,0.04710387,0.0,6489318.0,0.09424,0.97982,0.87493,0.2849,
