epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
21,148.40033,11552.48319,3.20902,0.03200158,0.00046581,6489318.0,0.21664,0.98667,0.91795,0.3452,8.02678,0.04453361,0.0,6489318.0,0.09333,0.98056,0.88391,0.27479,8.38508,0.04684005,0.0,6489318.0,0.0975,0.97937,0.87846,0.26882,
22,146.37592,11398.57319,3.16627,0.03168184,0.00046152,6489318.0,0.21369,0.98677,0.92001,0.35557,7.90735,0.04373266,0.0,6489318.0,0.09195,0.98133,0.88424,0.28402,8.197,0.04592821,0.0,6489318.0,0.09531,0.97975,0.87973,0.2746,
23,146.32378,11245.12592,3.12365,0.03133723,0.000457,6489318.0,0.21361,0.98695,0.92235,0.36396,7.77854,0.04436272,0.0,6489318.0,0.09045,0.98108,0.88564,0.28158,8.07246,0.04655043,0.0,6489318.0,0.09387,0.97977,0.87834,0.27375,
24,143.92558,11085.05392,3.07918,0.03101439,0.00045225,6489318.0,0.21011,0.98703,0.92331,0.3746,7.77317,0.04408912,0.0,6489318.0,0.09039,0.98107,0.88603,0.28702,9.47471,0.04644099,0.0,6489318.0,0.11017,0.97966,0.88161,0.27422,
25,143.47555,10924.9431,3.03471,0.03070138,0.00044729,6489318.0,0.20945,0.98726,0.92658,0.37928,7.76388,0.04380026,0.0,6489318.0,0.09028,0.98147,0.88411,0.28809,8.07235,0.04602691,0.0,6489318.0,0.09386,0.97981,0.88006,0.28062,
26,145.91031,10772.6474,2.9924,0.03046183,0.0004421,6489318.0,0.21301,0.98731,0.92806,0.38672,7.78032,0.04401414,0.0,6489318.0,0.09047,0.98126,0.88708,0.2856,8.07222,0.04607728,0.0,6489318.0,0.09386,0.97987,0.88163,0.27696,
27,144.78148,10617.90509,2.94942,0.03011238,0.00043671,6489318.0,0.21136,0.98752,0.92991,0.39693,8.11233,0.04392076,0.0,6489318.0,0.09433,0.98111,0.88787,0.29386,8.37752,0.04611211,0.0,6489318.0,0.09741,0.97997,0.88206,0.27999,
28,147.09998,10469.52606,2.9082,0.02985595,0.00043111,6489318.0,0.21474,0.98763,0.93185,0.40313,7.83944,0.04427316,0.0,6489318.0,0.09116,0.98108,0.88537,0.28643,8.22237,0.04620997,0.0,6489318.0,0.09561,0.9796,0.88051,0.2817,
29,145.8501,10318.31592,2.8662,0.02961608,0.00042531,6489318.0,0.21292,0.98766,0.934,0.40822,9.7692,0.04400188,0.0,6489318.0,0.1136,0.98109,0.88555,0.2919,8.25978,0.04608682,0.0,6489318.0,0.09604,0.9797,0.88269,0.28532,
30,145.13551,10165.86104,2.82385,0.02933739,0.00041932,6489318.0,0.21188,0.98774,0.93618,0.4174,7.81168,0.04424418,0.0,6489318.0,0.09083,0.98117,0.88467,0.29063,8.06082,0.04644086,0.0,6489318.0,0.09373,0.97974,0.88188,0.28338,
31,145.25449,10014.11645,2.7817,0.02907434,0.00041315,6489318.0,0.21205,0.98788,0.93783,0.42393,7.77035,0.04456555,0.0,6489318.0,0.09035,0.9808,0.88578,0.28857,8.06262,0.04684338,0.0,6489318.0,0.09375,0.9793,0.88072,0.2786,
32,143.64658,9859.50065,2.73875,0.02882517,0.00040679,6489318.0,0.2097,0.98804,0.93912,0.42993,7.78279,0.04470042,0.0,6489318.0,0.0905,0.98103,0.88528,0.29079,8.09306,0.04690494,0.0,6489318.0,0.09411,0.97941,0.87891,0.28077,
33,145.26973,9708.68094,2.69686,0.02864139,0.00040027,6489318.0,0.21207,0.98812,0.94003,0.43618,7.7918,0.04437207,0.0,6489318.0,0.0906,0.98153,0.88447,0.28915,8.10158,0.04662636,0.0,6489318.0,0.0942,0.98005,0.88015,0.28329,
34,144.06772,9555.94606,2.65443,0.02834635,0.00039358,6489318.0,0.21032,0.98819,0.94262,0.43963,9.18965,0.04453219,0.0,6489318.0,0.10686,0.98118,0.88669,0.2954,8.07717,0.04671357,0.0,6489318.0,0.09392,0.97935,0.88113,0.28677,
