epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,200.63312,19862.67879,5.51741,0.69711088,0.0,6489318.0,0.2929,0.49703,0.50148,0.02015,15.91102,0.69411149,0.0,6489318.0,0.18501,0.51733,0.4915,0.02404,16.50917,0.69489871,0.0,6489318.0,0.19197,0.51701,0.50188,0.02513,
1,143.70053,16872.34884,4.68676,0.32261462,0.0001,6489318.0,0.20978,0.91289,0.54386,0.02957,7.67548,0.20042233,0.0,6489318.0,0.08925,0.97005,0.61141,0.04212,7.97456,0.20658898,0.0,6489318.0,0.09273,0.9677,0.60959,0.0424,
2,144.56018,15807.56705,4.39099,0.06469036,0.0002,6489318.0,0.21104,0.97975,0.64071,0.0463,7.70626,0.06627466,0.0,6489318.0,0.08961,0.97561,0.73695,0.07513,7.96328,0.06831943,0.0,6489318.0,0.0926,0.97442,0.73673,0.07528,
3,143.22199,15170.77957,4.21411,0.04832672,0.0003,6489318.0,0.20908,0.98133,0.73956,0.08393,7.67198,0.05603917,0.0,6489318.0,0.08921,0.9757,0.77312,0.11416,7.97328,0.05862862,0.0,6489318.0,0.09271,0.97466,0.77419,0.11871,
4,145.01652,14765.51431,4.10153,0.04471636,0.0004,6489318.0,0.2117,0.98219,0.79777,0.11234,7.68201,0.05307195,0.0,6489318.0,0.08933,0.9773,0.81309,0.14402,7.98745,0.05571989,0.0,6489318.0,0.09288,0.97596,0.81358,0.14275,
5,144.47299,14438.48335,4.01069,0.04292604,0.0005,6489318.0,0.21091,0.98273,0.82607,0.13424,7.68041,0.05349548,0.0,6489318.0,0.08931,0.97662,0.82443,0.14897,7.97496,0.05546005,0.0,6489318.0,0.09273,0.97571,0.82494,0.14786,
6,143.22411,14147.01951,3.92973,0.04143515,0.00049986,6489318.0,0.20909,0.98319,0.84486,0.15608,7.71526,0.05035166,0.0,6489318.0,0.08971,0.97844,0.84269,0.17952,7.99634,0.05285466,0.0,6489318.0,0.09298,0.97717,0.83998,0.16857,
7,147.47961,13941.55393,3.87265,0.04031519,0.00049945,6489318.0,0.2153,0.98354,0.85551,0.17291,8.43938,0.05113751,0.0,6489318.0,0.09813,0.97822,0.8465,0.1883,8.66892,0.05346623,0.0,6489318.0,0.1008,0.977,0.84055,0.18492,
8,147.66009,13750.79898,3.81967,0.03940142,0.00049877,6489318.0,0.21556,0.98386,0.86337,0.18805,7.76038,0.04824518,0.0,6489318.0,0.09024,0.97962,0.85943,0.20832,8.06604,0.05084446,0.0,6489318.0,0.09379,0.97833,0.85468,0.20321,
9,144.91145,13543.9252,3.7622,0.03862857,0.00049782,6489318.0,0.21155,0.98409,0.87062,0.20281,7.89128,0.04809516,0.0,6489318.0,0.09176,0.97965,0.86193,0.21776,8.1595,0.05047625,0.0,6489318.0,0.09488,0.9783,0.85866,0.2157,
10,145.61067,13353.97467,3.70944,0.03784752,0.00049659,6489318.0,0.21257,0.98438,0.87618,0.21896,7.85305,0.04737674,0.0,6489318.0,0.09131,0.97938,0.86382,0.22094,8.21531,0.04947774,0.0,6489318.0,0.09553,0.97803,0.86166,0.22169,
11,144.20658,13161.11743,3.65587,0.03716183,0.00049509,6489318.0,0.21052,0.98464,0.88119,0.23379,7.72393,0.04737125,0.0,6489318.0,0.08981,0.97918,0.86562,0.23258,8.02741,0.04963596,0.0,6489318.0,0.09334,0.97768,0.86429,0.23034,
12,144.53927,12977.97139,3.60499,0.03653177,0.00049333,6489318.0,0.21101,0.98489,0.88599,0.24464,7.82257,0.04623121,0.0,6489318.0,0.09096,0.97985,0.87059,0.2374,8.09927,0.04833851,0.0,6489318.0,0.09418,0.97852,0.86888,0.23791,
