epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,195.81965,19386.14549,5.38504,0.69770836,0.0,6489318.0,0.28587,0.49978,0.50827,0.02087,14.10612,0.69427059,0.0,6489318.0,0.16402,0.51661,0.51411,0.02607,16.42261,0.69454417,0.0,6489318.0,0.19096,0.51832,0.51505,0.02712,
1,150.47721,16968.54616,4.71349,0.33176886,0.0001,6489318.0,0.21967,0.91055,0.54135,0.02971,10.9023,0.16529141,0.0,6489318.0,0.12677,0.96381,0.62283,0.04309,8.62647,0.19165449,0.0,6489318.0,0.10031,0.96305,0.61697,0.0441,
2,150.75714,16071.4127,4.46428,0.06536823,0.0002,6489318.0,0.22008,0.97957,0.63373,0.04519,8.68898,0.06814315,0.0,6489318.0,0.10103,0.97523,0.73795,0.07581,8.51838,0.07132935,0.0,6489318.0,0.09905,0.97364,0.73377,0.07613,
3,154.66336,15641.21669,4.34478,0.04817162,0.0003,6489318.0,0.22579,0.98121,0.74053,0.08328,8.56753,0.05598914,0.0,6489318.0,0.09962,0.97636,0.77512,0.10961,8.7841,0.05856694,0.0,6489318.0,0.10214,0.975,0.77499,0.11569,
4,148.39113,15202.06133,4.22279,0.04499744,0.0004,6489318.0,0.21663,0.98197,0.7915,0.10898,7.89081,0.05411567,0.0,6489318.0,0.09175,0.97665,0.80414,0.13946,8.15917,0.05661151,0.0,6489318.0,0.09487,0.97535,0.80467,0.13825,
5,148.90178,14867.82755,4.12995,0.04317776,0.0005,6489318.0,0.21737,0.98262,0.82235,0.12997,8.07064,0.05148191,0.0,6489318.0,0.09384,0.97829,0.82878,0.16511,8.40041,0.0540124,0.0,6489318.0,0.09768,0.97711,0.82425,0.15472,
6,150.98458,14614.21733,4.0595,0.0416419,0.00049986,6489318.0,0.22042,0.98308,0.83962,0.15269,8.26778,0.05037028,0.0,6489318.0,0.09614,0.97845,0.84503,0.18345,8.47103,0.05286095,0.0,6489318.0,0.0985,0.9771,0.84306,0.17536,
7,147.90332,14350.82895,3.98634,0.04042325,0.00049945,6489318.0,0.21592,0.98347,0.85415,0.17211,8.28578,0.04981082,0.0,6489318.0,0.09635,0.97912,0.8518,0.19071,8.42796,0.05221069,0.0,6489318.0,0.098,0.97756,0.84934,0.18695,
8,151.7131,14151.6251,3.93101,0.03944307,0.00049877,6489318.0,0.22148,0.98382,0.86246,0.18917,8.19581,0.04829317,0.0,6489318.0,0.0953,0.97944,0.85829,0.20176,8.58421,0.05065811,0.0,6489318.0,0.09982,0.97798,0.8568,0.19868,
9,146.34273,13913.58601,3.86489,0.03868143,0.00049782,6489318.0,0.21364,0.98406,0.86831,0.20365,7.94792,0.04829732,0.0,6489318.0,0.09242,0.97888,0.86229,0.21109,8.16978,0.0505097,0.0,6489318.0,0.095,0.97749,0.85838,0.20991,
10,147.73485,13703.48255,3.80652,0.03784946,0.00049659,6489318.0,0.21567,0.9844,0.87461,0.21906,7.91536,0.04736485,0.0,6489318.0,0.09204,0.97979,0.86574,0.22113,8.20063,0.04975824,0.0,6489318.0,0.09536,0.97816,0.8617,0.2144,
11,149.41326,13516.08219,3.75447,0.03715686,0.00049509,6489318.0,0.21812,0.98467,0.88037,0.23014,8.29093,0.04659092,0.0,6489318.0,0.09641,0.97996,0.86724,0.23403,8.40594,0.04889677,0.0,6489318.0,0.09774,0.9787,0.86492,0.2274,
12,145.75771,13310.06188,3.69724,0.03649027,0.00049333,6489318.0,0.21278,0.98496,0.88561,0.24653,7.82348,0.04638871,0.0,6489318.0,0.09097,0.98022,0.87001,0.23211,8.07314,0.04874605,0.0,6489318.0,0.09387,0.97884,0.86894,0.23341,
13,146.21918,13115.48529,3.64319,0.03587466,0.0004913,6489318.0,0.21346,0.98517,0.8904,0.25594,7.81946,0.04580952,0.0,6489318.0,0.09092,0.98037,0.873,0.24597,8.10631,0.04807172,0.0,6489318.0,0.09426,0.97891,0.87128,0.24014,
14,144.31452,12916.56328,3.58793,0.03530973,0.00048901,6489318.0,0.21068,0.98534,0.89437,0.26663,7.86757,0.04592737,0.0,6489318.0,0.09148,0.98051,0.87236,0.24339,8.14163,0.04794293,0.0,6489318.0,0.09467,0.97929,0.87018,0.2488,
15,145.76709,12732.09318,3.53669,0.03477252,0.00048645,6489318.0,0.2128,0.98557,0.89753,0.2819,7.89039,0.04501628,0.0,6489318.0,0.09175,0.98064,0.87783,0.25372,8.12296,0.04724386,0.0,6489318.0,0.09445,0.97933,0.87627,0.25754,
16,146.87446,12557.58296,3.48822,0.03426178,0.00048364,6489318.0,0.21442,0.98572,0.90114,0.29164,8.05664,0.04533794,0.0,6489318.0,0.09368,0.98054,0.8767,0.26402,8.96311,0.0474934,0.0,6489318.0,0.10422,0.97937,0.87453,0.25597,
17,150.59938,12403.11246,3.44531,0.03377966,0.00048057,6489318.0,0.21985,0.98599,0.90412,0.3014,8.94105,0.04475097,0.0,6489318.0,0.10397,0.98065,0.88224,0.26147,9.21978,0.04688699,0.0,6489318.0,0.10721,0.97938,0.87877,0.25581,
18,152.94489,12259.04874,3.40529,0.03335878,0.00047725,6489318.0,0.22328,0.98613,0.90644,0.31276,8.08099,0.04539796,0.0,6489318.0,0.09397,0.98029,0.88075,0.26104,8.77364,0.04764759,0.0,6489318.0,0.10202,0.97886,0.87557,0.25706,
19,151.35942,12107.75502,3.36327,0.03289641,0.00047368,6489318.0,0.22096,0.98634,0.90962,0.32495,8.01979,0.04491616,0.0,6489318.0,0.09325,0.98076,0.88097,0.25701,10.0815,0.0471006,0.0,6489318.0,0.11723,0.97941,0.87638,0.26153,
20,149.18714,11948.28313,3.31897,0.03250966,0.00046987,6489318.0,0.21779,0.98642,0.91306,0.33402,8.10284,0.04462737,0.0,6489318.0,0.09422,0.98081,0.88171,0.2719,8.19622,0.04681924,0.0,6489318.0,0.0953,0.97963,0.87808,0.26681,
21,147.663,11784.34246,3.27343,0.03214079,0.00046581,6489318.0,0.21557,0.9866,0.91567,0.34444,8.26288,0.04450422,0.0,6489318.0,0.09608,0.98084,0.88215,0.27032,8.46946,0.04686121,0.0,6489318.0,0.09848,0.97961,0.87765,0.26566,
22,146.17153,11616.82406,3.2269,0.03180239,0.00046152,6489318.0,0.21339,0.98681,0.91822,0.3529,7.85208,0.04443467,0.0,6489318.0,0.0913,0.98108,0.88268,0.27811,8.10672,0.04680204,0.0,6489318.0,0.09426,0.97977,0.88056,0.2713,
23,146.42996,11451.90292,3.18108,0.03140686,0.000457,6489318.0,0.21377,0.98697,0.9207,0.36028,7.93784,0.04499963,0.0,6489318.0,0.0923,0.98078,0.88305,0.27181,8.33115,0.04717778,0.0,6489318.0,0.09687,0.97949,0.87785,0.26804,
24,148.13178,11293.56652,3.1371,0.03115694,0.00045225,6489318.0,0.21625,0.987,0.92254,0.36807,8.7369,0.04421274,0.0,6489318.0,0.10159,0.98109,0.88389,0.2794,10.70251,0.04641668,0.0,6489318.0,0.12445,0.9798,0.88105,0.28231,
25,149.46957,11139.82265,3.0944,0.03079456,0.00044729,6489318.0,0.2182,0.98718,0.92543,0.37656,8.06554,0.04474905,0.0,6489318.0,0.09379,0.98099,0.88556,0.27812,8.61762,0.0468989,0.0,6489318.0,0.1002,0.97948,0.87989,0.27889,
