epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,73.4423,7270.7874,2.01966,0.59988201,0.0,558693.0,0.07137,0.96255,0.0,0.0,0.0,0.54147,3.41344,0.59246566,0.0,558693.0,0.02646,0.98031,0.0,0.0,0.0,0.51255,3.66592,0.58749171,0.0,558693.0,0.02842,0.96839,0.0,0.0,0.0,0.50503,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,62.14734,6643.89212,1.84553,0.29980883,2e-05,558693.0,0.0604,0.96255,0.0,0.0,0.0,0.54739,3.00253,0.12954319,0.0,558693.0,0.02328,0.98031,0.0,0.0,0.0,0.65343,2.95311,0.15674597,0.0,558693.0,0.02289,0.96839,0.0,0.0,0.0,0.65106,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,62.74619,6412.85832,1.78135,0.15359841,4e-05,558693.0,0.06098,0.96255,0.0,0.0,0.0,0.68372,3.01588,0.09673153,0.0,558693.0,0.02338,0.98031,0.0,0.0,0.0,0.70585,3.05215,0.12837005,0.0,558693.0,0.02366,0.96839,0.0,0.0,0.0,0.73014,,0.9881,1.0119,0.9875,1.0125,0.9851,1.0149,0.9851,1.0149,0.9917,1.0083,0.9969,1.0031,0.9858,1.0142,0.9873,1.0127,0.9816,1.0184,0.9833,1.0167
3,65.31774,6327.6855,1.75769,0.1440133,6e-05,558693.0,0.06348,0.96255,0.0,0.0,0.0,0.72872,3.68897,0.08763356,0.0,558693.0,0.0286,0.98031,0.0,0.0,0.0,0.75186,3.6823,0.12592202,0.0,558693.0,0.02854,0.96839,0.0,0.0,0.0,0.74544,,0.9911,1.0088,0.993,1.007,0.9884,1.0116,0.9865,1.0135,0.9884,1.0116,0.9955,1.0045,0.9866,1.0134,0.9884,1.0116,0.9816,1.0184,0.9829,1.0171
4,70.28232,6344.78167,1.76244,0.13715573,8e-05,558693.0,0.0683,0.96255,0.0,0.0,0.0,0.76515,3.69183,0.08648498,0.0,558693.0,0.02862,0.98031,0.0,0.0,0.0,0.73818,3.66278,0.12399336,0.0,558693.0,0.02839,0.96839,0.0,0.0,0.0,0.73359,,0.9915,1.0085,0.9977,1.0023,0.9929,1.0071,0.9928,1.0072,0.9899,1.0101,0.998,1.002,0.9901,1.0099,0.9912,1.0088,0.985,1.015,0.9849,1.0151
5,68.20761,6300.24798,1.75007,0.13187867,0.0001,558693.0,0.06629,0.96252,0.0,0.0,0.0,0.78088,2.97367,0.09225911,0.0,558693.0,0.02305,0.98079,0.55556,0.12346,0.20202,0.73149,2.98203,0.12426321,0.0,558693.0,0.02312,0.97009,0.81818,0.06923,0.12766,0.7496,,0.9956,1.0043,1.0063,0.9938,1.0002,0.9998,0.9987,1.0013,0.9978,1.0022,1.0029,0.9971,0.9931,1.0069,0.9921,1.0079,0.9879,1.0121,0.9856,1.0144
6,65.30401,6210.37395,1.7251,0.12683552,9.997e-05,558693.0,0.06346,0.9638,0.62733,0.08198,0.14501,0.79823,3.03158,0.08661304,0.0,558693.0,0.0235,0.98152,0.6087,0.17284,0.26923,0.72747,3.01883,0.11857619,0.0,558693.0,0.0234,0.97034,0.61111,0.16923,0.26506,0.74792,,1.0013,0.9987,1.0195,0.9805,1.0062,0.9938,1.0044,0.9956,1.0043,0.9957,1.0079,0.9921,0.9985,1.0015,0.9921,1.0079,0.992,1.008,0.9856,1.0144
7,65.31844,6126.80828,1.70189,0.12184941,9.989e-05,558693.0,0.06348,0.96568,0.64589,0.18506,0.2877,0.81357,3.69669,0.09223989,0.0,558693.0,0.02866,0.97788,0.38636,0.20988,0.272,0.75568,3.65894,0.12377886,0.0,558693.0,0.02836,0.96766,0.47692,0.23846,0.31795,0.75416,,1.0051,0.9949,1.0251,0.9749,1.0083,0.9917,1.0076,0.9924,1.0107,0.9893,1.0119,0.9881,1.0001,0.9999,0.9961,1.0039,0.9964,1.0036,0.9886,1.0115
8,70.37098,6098.38436,1.694,0.11751256,9.975e-05,558693.0,0.06839,0.96638,0.65366,0.21753,0.32643,0.82838,3.68833,0.08507101,0.0,558693.0,0.02859,0.98079,0.55,0.1358,0.21782,0.71222,3.74412,0.12166407,0.0,558693.0,0.02902,0.96937,0.66667,0.06154,0.11268,0.74347,,1.0077,0.9923,1.0319,0.9681,1.0143,0.9857,1.0098,0.9902,1.0162,0.9838,1.0164,0.9836,1.0026,0.9974,0.9967,1.0033,0.9984,1.0016,0.9893,1.0107
9,70.39189,6061.7592,1.68382,0.11493401,9.956e-05,558693.0,0.06841,0.96708,0.66231,0.24675,0.35955,0.8342,3.69266,0.08016725,0.0,558693.0,0.02863,0.98201,0.58974,0.28395,0.38333,0.77031,3.6518,0.11986856,0.0,558693.0,0.02831,0.96937,0.53125,0.26154,0.35052,0.73151,,1.0104,0.9896,1.0367,0.9633,1.0182,0.9818,1.0138,0.9862,1.0208,0.9792,1.0187,0.9813,1.0018,0.9982,0.998,1.002,1.0004,0.9996,0.9892,1.0108
10,70.2006,6017.44694,1.67151,0.11430243,9.932e-05,558693.0,0.06822,0.96724,0.65779,0.26055,0.37326,0.83524,3.67551,0.07522384,0.0,558693.0,0.02849,0.98249,0.69565,0.19753,0.30769,0.78339,3.65749,0.12439878,0.0,558693.0,0.02835,0.96985,0.65,0.1,0.17333,0.73934,,1.0139,0.9861,1.0421,0.9579,1.0233,0.9767,1.0198,0.9802,1.0259,0.9741,1.0226,0.9774,1.0033,0.9967,0.9998,1.0002,1.0046,0.9954,0.9925,1.0075
11,70.09236,5968.02624,1.65779,0.11117811,9.902e-05,558693.0,0.06812,0.96854,0.68834,0.29221,0.41026,0.84554,3.66839,0.07687055,0.0,558693.0,0.02844,0.98274,0.8125,0.16049,0.26804,0.77788,3.67829,0.12819406,0.0,558693.0,0.02851,0.96791,0.25,0.00769,0.01493,0.7366,,1.0147,0.9853,1.0476,0.9524,1.0266,0.9734,1.0217,0.9783,1.0302,0.9698,1.0241,0.9759,1.0055,0.9945,1.0022,0.9978,1.0059,0.9941,0.9928,1.0072
12,70.47781,5918.00481,1.64389,0.10963628,9.867e-05,558693.0,0.06849,0.96833,0.67086,0.30276,0.41723,0.85447,3.67668,0.07832679,0.0,558693.0,0.0285,0.98371,0.75,0.25926,0.38532,0.75665,3.67361,0.11508189,0.0,558693.0,0.02848,0.97009,0.56604,0.23077,0.32787,0.76596,,1.0158,0.9842,1.0484,0.9516,1.029,0.971,1.0234,0.9766,1.0339,0.9661,1.0283,0.9717,1.01,0.99,1.004,0.996,1.0078,0.9922,0.9971,1.0029
13,70.12793,5862.91181,1.62859,0.10658813,9.826e-05,558693.0,0.06815,0.9693,0.69681,0.31899,0.43764,0.8637,3.68902,0.07203891,0.0,558693.0,0.0286,0.98371,0.79167,0.23457,0.3619,0.79199,3.699,0.12019464,0.0,558693.0,0.02867,0.96864,0.66667,0.01538,0.03008,0.74405,,1.0159,0.9842,1.0529,0.9471,1.0338,0.9661,1.0264,0.9736,1.035,0.965,1.0296,0.9704,1.0119,0.988,1.0071,0.9929,1.0106,0.9894,0.9972,1.0028
14,70.20721,5806.26335,1.61285,0.10533603,9.78e-05,558693.0,0.06823,0.96976,0.70973,0.32549,0.4463,0.86579,3.6719,0.07727638,0.0,558693.0,0.02846,0.98274,0.61905,0.32099,0.42276,0.78229,3.64643,0.11941721,0.0,558693.0,0.02827,0.96864,0.50794,0.24615,0.33161,0.76759,,1.0177,0.9823,1.0554,0.9446,1.035,0.965,1.0292,0.9708,1.04,0.96,1.0349,0.9651,1.0106,0.9894,1.0071,0.9929,1.0105,0.9895,0.9976,1.0024
15,70.2125,5747.94784,1.59665,0.1039637,9.729e-05,558693.0,0.06823,0.96991,0.70439,0.33847,0.45724,0.87062,3.66055,0.07798536,0.0,558693.0,0.02838,0.98225,0.59091,0.32099,0.416,0.79073,3.66655,0.11900182,0.0,558693.0,0.02842,0.96937,0.52941,0.27692,0.36364,0.76341,,1.0185,0.9815,1.0603,0.9397,1.0402,0.9598,1.0321,0.9679,1.0435,0.9565,1.0384,0.9616,1.015,0.985,1.0089,0.9911,1.0115,0.9885,0.9991,1.001
16,66.95776,5672.3419,1.57565,0.1021652,9.673e-05,558693.0,0.06507,0.97103,0.71695,0.37419,0.49173,0.87758,3.04727,0.07437198,0.0,558693.0,0.02362,0.98298,0.66667,0.2716,0.38596,0.80451,3.0199,0.11714146,0.0,558693.0,0.02341,0.9718,0.65909,0.22308,0.33333,0.77807,,1.0175,0.9825,1.0605,0.9395,1.042,0.958,1.0324,0.9675,1.0469,0.9531,1.0399,0.9601,1.0147,0.9853,1.0118,0.9882,1.0156,0.9844,1.002,0.998
17,62.78672,5578.69545,1.54964,0.10108101,9.611e-05,558693.0,0.06102,0.97161,0.73878,0.37419,0.49677,0.88076,3.04954,0.07700919,0.0,558693.0,0.02364,0.98249,0.68,0.20988,0.32075,0.78665,3.04915,0.11829319,0.0,558693.0,0.02364,0.97155,0.65854,0.20769,0.31579,0.76375,,1.0188,0.9812,1.0616,0.9384,1.0455,0.9545,1.0361,0.9639,1.0468,0.9533,1.0438,0.9562,1.0184,0.9816,1.0136,0.9864,1.0172,0.9828,1.004,0.996
18,63.12414,5489.73588,1.52493,0.09938647,9.545e-05,558693.0,0.06135,0.97143,0.72256,0.38474,0.50212,0.8862,2.99532,0.07388217,0.0,558693.0,0.02322,0.98371,0.69444,0.30864,0.42735,0.78732,3.00658,0.12166048,0.0,558693.0,0.02331,0.97058,0.57627,0.26154,0.35979,0.7497,,1.0198,0.9802,1.0634,0.9366,1.0475,0.9525,1.0386,0.9614,1.0534,0.9466,1.0457,0.9543,1.019,0.981,1.016,0.984,1.0192,0.9808,1.0058,0.9942
19,62.48579,5400.80647,1.50022,0.09864289,9.474e-05,558693.0,0.06072,0.97161,0.73209,0.38149,0.5016,0.89133,3.0327,0.0754231,0.0,558693.0,0.02351,0.98347,0.69697,0.28395,0.40351,0.78442,2.99034,0.12404641,0.0,558693.0,0.02318,0.97155,0.6383,0.23077,0.33898,0.75448,,1.0205,0.9795,1.0664,0.9336,1.0511,0.9489,1.0402,0.9598,1.0569,0.9431,1.0466,0.9533,1.02,0.98,1.0178,0.9822,1.0211,0.9789,1.0059,0.9941
20,62.32992,5313.8091,1.47606,0.09659252,9.397e-05,558693.0,0.06057,0.97185,0.73252,0.39123,0.51005,0.89952,3.03704,0.0747112,0.0,558693.0,0.02354,0.98371,0.69444,0.30864,0.42735,0.80991,3.03402,0.12118476,0.0,558693.0,0.02352,0.97155,0.61818,0.26154,0.36757,0.77593,True,1.0237,0.9763,1.0669,0.9331,1.0539,0.9461,1.0408,0.9592,1.0596,0.9404,1.0504,0.9496,1.0218,0.9782,1.018,0.982,1.0211,0.9789,1.0087,0.9913
21,62.29853,5228.94293,1.45248,0.09443278,9.316e-05,558693.0,0.06054,0.97179,0.72892,0.39286,0.51055,0.90524,2.97931,0.07875026,0.0,558693.0,0.0231,0.98322,0.71429,0.24691,0.36697,0.74818,3.01446,0.13238611,0.0,558693.0,0.02337,0.97009,0.59459,0.16923,0.26347,0.72752,,1.0243,0.9757,1.0686,0.9314,1.0561,0.9439,1.0404,0.9596,1.0626,0.9374,1.0508,0.9492,1.0202,0.9798,1.0198,0.9802,1.0225,0.9775,1.0099,0.9901
22,62.68357,5147.32823,1.42981,0.09387506,9.23e-05,558693.0,0.06092,0.9721,0.73294,0.40097,0.51836,0.90814,3.06297,0.07764712,0.0,558693.0,0.02374,0.98371,0.71875,0.28395,0.40708,0.78617,3.06814,0.12460933,0.0,558693.0,0.02378,0.9718,0.64583,0.23846,0.34831,0.76308,,1.0211,0.9789,1.071,0.929,1.0593,0.9407,1.0416,0.9584,1.0674,0.9326,1.0541,0.9459,1.0211,0.9789,1.0226,0.9774,1.0258,0.9742,1.0122,0.9879
23,69.61973,5089.25564,1.41368,0.09124238,9.14e-05,558693.0,0.06766,0.97255,0.734,0.41883,0.53333,0.91718,3.67914,0.08133967,0.0,558693.0,0.02852,0.98347,0.67568,0.30864,0.42373,0.75219,3.68898,0.13337335,0.0,558693.0,0.0286,0.96888,0.52174,0.18462,0.27273,0.74589,,1.0246,0.9754,1.0754,0.9246,1.0606,0.9394,1.0462,0.9538,1.0678,0.9322,1.0589,0.9411,1.0202,0.9798,1.0218,0.9782,1.0259,0.9741,1.0128,0.9872
