epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
10,79.57772,7398.90342,2.05525,0.11506527,9.932e-05,558693.0,0.07734,0.96812,0.6763,0.2849,0.40091,0.82695,3.21897,0.07341561,0.0,558693.0,0.02495,0.98371,0.75,0.25926,0.38532,0.8054,3.18398,0.10882537,0.0,558693.0,0.02468,0.97253,0.63934,0.3,0.40838,0.78697,,1.0119,0.9881,1.0134,0.9866,1.0123,0.9877,1.0282,0.9718,1.0422,0.9578,0.9933,1.0067,1.012,0.988,1.0161,0.9839,1.0249,0.975,1.0153,0.9847
11,85.95036,7336.42485,2.0379,0.11237322,9.902e-05,558693.0,0.08353,0.96833,0.68199,0.28896,0.40593,0.84318,3.14045,0.07422346,0.0,558693.0,0.02434,0.98298,0.66667,0.2716,0.38596,0.80349,3.17627,0.11470687,0.0,558693.0,0.02462,0.96864,0.50769,0.25385,0.33846,0.76904,,1.0144,0.9856,1.0173,0.9827,1.0142,0.9858,1.0307,0.9693,1.0452,0.9548,0.9972,1.0028,1.0136,0.9864,1.0176,0.9824,1.0271,0.9729,1.0206,0.9794
12,85.76451,7269.09146,2.01919,0.11082693,9.867e-05,558693.0,0.08335,0.96809,0.66192,0.30195,0.41472,0.84723,3.09235,0.0753224,0.0,558693.0,0.02397,0.98249,0.68,0.20988,0.32075,0.79694,3.08367,0.11090046,0.0,558693.0,0.0239,0.97155,0.64444,0.22308,0.33143,0.78487,,1.0168,0.9832,1.0178,0.9822,1.0158,0.9842,1.0349,0.9651,1.0504,0.9496,0.9989,1.0011,1.0122,0.9878,1.0192,0.9808,1.0278,0.9722,1.0229,0.9771
13,82.26783,7177.64546,1.99379,0.10956857,9.826e-05,558693.0,0.07995,0.96857,0.6847,0.29789,0.41516,0.85358,3.11545,0.07702685,0.0,558693.0,0.02415,0.98371,0.675,0.33333,0.44628,0.79976,3.12474,0.11237855,0.0,558693.0,0.02422,0.97009,0.54545,0.32308,0.4058,0.80434,,1.0199,0.9801,1.0229,0.9771,1.0193,0.9807,1.0382,0.9618,1.0556,0.9444,1.0023,0.9977,1.0144,0.9856,1.0193,0.9807,1.0287,0.9713,1.0243,0.9757
14,86.02592,7108.71905,1.97464,0.10764181,9.78e-05,558693.0,0.0836,0.96924,0.69097,0.32305,0.44027,0.86167,3.16043,0.07782541,0.0,558693.0,0.0245,0.98177,0.5625,0.33333,0.4186,0.78921,3.15038,0.1196925,0.0,558693.0,0.02442,0.96669,0.46465,0.35385,0.40175,0.77097,,1.0203,0.9797,1.0243,0.9757,1.0216,0.9784,1.0411,0.9589,1.0603,0.9397,1.0027,0.9973,1.0159,0.9841,1.0227,0.9773,1.032,0.968,1.0246,0.9754
15,82.01586,7016.6024,1.94906,0.10582292,9.729e-05,558693.0,0.0797,0.97006,0.71256,0.33604,0.4567,0.85933,3.12856,0.092801,0.0,558693.0,0.02425,0.97277,0.31325,0.32099,0.31707,0.78503,3.11163,0.1364556,0.0,558693.0,0.02412,0.95624,0.32143,0.34615,0.33333,0.77709,,1.0239,0.976,1.0269,0.9731,1.0229,0.9771,1.0438,0.9562,1.0633,0.9367,1.0074,0.9926,1.0187,0.9813,1.0271,0.9729,1.0344,0.9656,1.0294,0.9706
16,80.06741,6916.16104,1.92116,0.10466539,9.673e-05,558693.0,0.07781,0.97003,0.70569,0.34253,0.4612,0.86931,3.13262,0.09197466,0.0,558693.0,0.02428,0.97593,0.36765,0.30864,0.33557,0.75625,3.17402,0.12395952,0.0,558693.0,0.0246,0.96377,0.41593,0.36154,0.38683,0.77637,,1.0227,0.9773,1.0318,0.9682,1.0252,0.9748,1.0483,0.9517,1.0663,0.9337,1.0084,0.9916,1.0205,0.9795,1.029,0.971,1.037,0.963,1.0321,0.9679
17,78.78517,6812.14213,1.89226,0.10222652,9.611e-05,558693.0,0.07656,0.97061,0.71268,0.36039,0.47871,0.88091,3.13732,0.07737756,0.0,558693.0,0.02432,0.98128,0.54348,0.30864,0.3937,0.79727,3.17071,0.11412994,0.0,558693.0,0.02458,0.97228,0.61429,0.33077,0.43,0.75667,,1.0256,0.9744,1.0317,0.9683,1.0296,0.9704,1.0508,0.9492,1.0675,0.9325,1.0128,0.9872,1.0221,0.9779,1.0333,0.9667,1.0395,0.9606,1.032,0.968
18,79.78498,6715.04175,1.86529,0.10057754,9.545e-05,558693.0,0.07754,0.97125,0.71865,0.38149,0.49841,0.87879,3.1238,0.07340432,0.0,558693.0,0.02422,0.98225,0.60526,0.28395,0.38655,0.81503,3.13258,0.11591896,0.0,558693.0,0.02428,0.97009,0.55932,0.25385,0.34921,0.78487,,1.0273,0.9727,1.0342,0.9658,1.031,0.969,1.0569,0.9431,1.0705,0.9295,1.0139,0.9861,1.0221,0.9779,1.0361,0.964,1.0409,0.9591,1.0346,0.9654
19,78.72285,6615.42438,1.83762,0.09978013,9.474e-05,558693.0,0.0765,0.97173,0.7352,0.38312,0.50374,0.88433,3.20879,0.07707104,0.0,558693.0,0.02487,0.98104,0.53191,0.30864,0.39062,0.8131,3.22018,0.11656427,0.0,558693.0,0.02496,0.96766,0.48,0.27692,0.35122,0.78616,,1.0251,0.9749,1.0337,0.9663,1.0331,0.9669,1.0615,0.9385,1.0756,0.9244,1.0173,0.9827,1.0247,0.9753,1.0365,0.9635,1.0418,0.9582,1.036,0.964
