epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,89.78574,8888.78851,2.46911,0.62263623,0.0,558693.0,0.08726,0.96225,0.0,0.0,0.0,0.51762,3.60862,0.61858817,0.0,558693.0,0.02797,0.97788,0.0,0.0,0.0,0.50915,3.78543,0.62220757,0.0,558693.0,0.02934,0.96475,0.0,0.0,0.0,0.49672,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,78.62588,8252.16966,2.29227,0.37933105,2e-05,558693.0,0.07641,0.96255,0.0,0.0,0.0,0.55999,3.13592,0.20529484,0.0,558693.0,0.02431,0.98031,0.0,0.0,0.0,0.57294,3.13911,0.21550131,0.0,558693.0,0.02433,0.96839,0.0,0.0,0.0,0.58572,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,79.13559,8004.0265,2.22334,0.1653238,4e-05,558693.0,0.07691,0.96255,0.0,0.0,0.0,0.65285,3.25289,0.09768031,0.0,558693.0,0.02522,0.98031,0.0,0.0,0.0,0.69723,3.20507,0.12694735,0.0,558693.0,0.02485,0.96839,0.0,0.0,0.0,0.72171,,0.9938,1.0062,0.9929,1.0071,0.9907,1.0093,0.9931,1.0069,0.9949,1.0051,1.0048,0.9952,0.9918,1.0082,0.9865,1.0135,0.9839,1.0161,0.9787,1.0213
3,78.59605,7827.43826,2.17429,0.14650955,6e-05,558693.0,0.07638,0.96255,0.0,0.0,0.0,0.70975,3.07185,0.09232995,0.0,558693.0,0.02381,0.98031,0.0,0.0,0.0,0.71599,3.0509,0.12498217,0.0,558693.0,0.02365,0.96839,0.0,0.0,0.0,0.74575,,0.9961,1.0039,0.9944,1.0056,0.9906,1.0094,0.9908,1.0092,0.9915,1.0085,1.0058,0.9942,0.9899,1.0101,0.9865,1.0135,0.9865,1.0135,0.98,1.02
4,81.49835,7745.19054,2.15144,0.13953469,8e-05,558693.0,0.0792,0.96255,0.0,0.0,0.0,0.73265,3.39841,0.08171734,0.0,558693.0,0.02634,0.98031,0.0,0.0,0.0,0.75502,3.27207,0.11748165,0.0,558693.0,0.02536,0.96839,0.0,0.0,0.0,0.75173,,0.9985,1.0015,0.9976,1.0024,0.9953,1.0047,0.9937,1.0063,0.9969,1.0031,1.0066,0.9934,0.9887,1.0113,0.9849,1.0151,0.9885,1.0115,0.9835,1.0164
5,83.29954,7691.41133,2.1365,0.13367241,0.0001,558693.0,0.08095,0.96255,0.0,0.0,0.0,0.76463,3.27053,0.08517757,0.0,558693.0,0.02535,0.98031,0.0,0.0,0.0,0.75044,3.25283,0.11596693,0.0,558693.0,0.02522,0.96839,0.0,0.0,0.0,0.77052,,1.004,0.996,1.0055,0.9945,1.0043,0.9957,1.0009,0.9991,1.0059,0.9941,1.011,0.989,0.9914,1.0086,0.986,1.014,0.9925,1.0075,0.989,1.011
6,82.96239,7624.71846,2.11798,0.12753968,9.997e-05,558693.0,0.08062,0.96255,0.0,0.0,0.0,0.786,3.3391,0.0830925,0.0,558693.0,0.02588,0.98152,0.85714,0.07407,0.13636,0.75705,3.23233,0.11758409,0.0,558693.0,0.02506,0.96839,0.0,0.0,0.0,0.7603,,1.0136,0.9864,1.0135,0.9865,1.0118,0.9882,1.0076,0.9924,1.0158,0.9842,1.0168,0.9832,0.9969,1.0031,0.9881,1.0119,0.9959,1.0041,0.9919,1.0081
7,82.99721,7554.35865,2.09843,0.12374065,9.989e-05,558693.0,0.08066,0.96453,0.6601,0.10877,0.18676,0.80279,3.24239,0.07714594,0.0,558693.0,0.02513,0.98225,0.75,0.14815,0.24742,0.76373,3.34381,0.11373195,0.0,558693.0,0.02592,0.96937,0.5625,0.13846,0.22222,0.76731,,1.0193,0.9807,1.0218,0.9782,1.019,0.981,1.013,0.987,1.0258,0.9742,1.0185,0.9815,1.0032,0.9968,0.9911,1.0089,0.9989,1.0011,0.9947,1.0053
8,82.86343,7479.83784,2.07773,0.11989175,9.975e-05,558693.0,0.08053,0.96584,0.63107,0.21104,0.3163,0.82276,3.25764,0.07659317,0.0,558693.0,0.02525,0.98104,0.57895,0.1358,0.22,0.7972,3.34981,0.11499332,0.0,558693.0,0.02597,0.97058,0.69565,0.12308,0.20915,0.76301,,1.0237,0.9763,1.0279,0.9721,1.0267,0.9733,1.0191,0.9809,1.0319,0.9681,1.0231,0.9769,1.0108,0.9892,0.9944,1.0056,1.002,0.998,0.9979,1.0021
9,86.80295,7439.1042,2.06642,0.11729814,9.956e-05,558693.0,0.08436,0.9659,0.61853,0.23295,0.33844,0.825,3.43585,0.07738184,0.0,558693.0,0.02663,0.98177,0.61538,0.19753,0.29907,0.76277,3.31859,0.12183515,0.0,558693.0,0.02573,0.97131,0.71429,0.15385,0.25316,0.7239,,1.0302,0.9698,1.0311,0.9689,1.0347,0.9653,1.0269,0.9731,1.0372,0.9628,1.0258,0.9742,1.0149,0.9851,0.9932,1.0068,1.0033,0.9966,0.9999,1.0001
10,84.01917,7367.47101,2.04652,0.11561124,9.932e-05,558693.0,0.08165,0.96696,0.63757,0.27273,0.38204,0.83418,3.28613,0.07450077,0.0,558693.0,0.02547,0.98177,0.58824,0.24691,0.34783,0.77471,3.386,0.1193977,0.0,558693.0,0.02625,0.97009,0.55738,0.26154,0.35602,0.73448,,1.0326,0.9674,1.0324,0.9676,1.0386,0.9614,1.0313,0.9687,1.0438,0.9562,1.0274,0.9726,1.0181,0.9819,0.9938,1.0062,1.0054,0.9946,1.0015,0.9985
11,84.06477,7294.10788,2.02614,0.11224129,9.902e-05,558693.0,0.0817,0.96769,0.65448,0.29058,0.40247,0.84553,3.2855,0.07361622,0.0,558693.0,0.02547,0.98298,0.61224,0.37037,0.46154,0.78756,3.2803,0.11617034,0.0,558693.0,0.02543,0.96791,0.48864,0.33077,0.3945,0.75735,,1.0339,0.9661,1.0349,0.9651,1.0464,0.9536,1.0375,0.9625,1.0486,0.9514,1.0295,0.9705,1.0228,0.9772,0.9959,1.0041,1.0082,0.9918,1.0029,0.9971
12,83.77473,7217.15731,2.00477,0.11089594,9.867e-05,558693.0,0.08141,0.96885,0.6979,0.29627,0.41595,0.84789,3.30037,0.07490291,0.0,558693.0,0.02558,0.98152,0.5641,0.2716,0.36667,0.80037,3.37633,0.11630229,0.0,558693.0,0.02617,0.96888,0.51282,0.30769,0.38462,0.77025,,1.0384,0.9616,1.037,0.963,1.05,0.95,1.0417,0.9583,1.0532,0.9468,1.0298,0.9701,1.0276,0.9724,0.9959,1.0041,1.0105,0.9895,1.0052,0.9948
13,84.21556,7141.93982,1.98387,0.10858649,9.826e-05,558693.0,0.08184,0.96918,0.69675,0.31331,0.43225,0.86068,3.34398,0.07801217,0.0,558693.0,0.02592,0.98249,0.63636,0.25926,0.36842,0.75118,3.44124,0.11552502,0.0,558693.0,0.02668,0.96815,0.49123,0.21538,0.29947,0.77173,,1.0394,0.9606,1.0391,0.9609,1.0547,0.9453,1.0448,0.9552,1.0569,0.9431,1.03,0.97,1.0304,0.9696,0.9964,1.0036,1.0112,0.9888,1.0071,0.9929
14,83.49663,7061.44865,1.96151,0.1061306,9.78e-05,558693.0,0.08114,0.96982,0.70289,0.33604,0.4547,0.86943,3.27806,0.07738242,0.0,558693.0,0.02541,0.98274,0.61364,0.33333,0.432,0.77501,3.26954,0.11993196,0.0,558693.0,0.02535,0.96791,0.47917,0.17692,0.25843,0.77379,,1.0375,0.9625,1.0389,0.9611,1.0601,0.9399,1.0484,0.9516,1.0606,0.9394,1.0317,0.9683,1.0347,0.9653,0.9949,1.0051,1.0129,0.9871,1.0089,0.9911
15,83.20512,6979.05138,1.93863,0.10487369,9.729e-05,558693.0,0.08086,0.97003,0.70707,0.34091,0.46002,0.867,3.2839,0.07328464,0.0,558693.0,0.02546,0.98322,0.65,0.32099,0.42975,0.77789,3.26152,0.11914618,0.0,558693.0,0.02528,0.96937,0.53333,0.24615,0.33684,0.77299,,1.0401,0.9599,1.0423,0.9577,1.0639,0.9361,1.0529,0.9471,1.0649,0.9351,1.0333,0.9667,1.0365,0.9636,0.9967,1.0033,1.0161,0.9839,1.0098,0.9902
16,83.26543,6896.85353,1.91579,0.10324179,9.673e-05,558693.0,0.08092,0.97037,0.72504,0.33604,0.45923,0.87407,3.30613,0.08037072,0.0,558693.0,0.02563,0.98128,0.54762,0.28395,0.37398,0.78778,3.27915,0.11962552,0.0,558693.0,0.02542,0.96888,0.51562,0.25385,0.34021,0.77385,,1.0404,0.9596,1.0409,0.9591,1.0661,0.9339,1.0549,0.9451,1.0673,0.9327,1.0348,0.9652,1.041,0.959,0.9989,1.0011,1.0185,0.9815,1.0113,0.9887
17,81.33027,6805.72133,1.89048,0.10173959,9.611e-05,558693.0,0.07904,0.97082,0.72819,0.35227,0.47484,0.88322,3.03638,0.07715684,0.0,558693.0,0.02354,0.98225,0.59091,0.32099,0.416,0.7727,3.02231,0.1194672,0.0,558693.0,0.02343,0.96888,0.51923,0.20769,0.2967,0.78555,,1.0424,0.9576,1.042,0.958,1.0724,0.9276,1.0552,0.9448,1.0695,0.9305,1.0359,0.9641,1.0416,0.9584,1.0004,0.9996,1.0209,0.9791,1.0129,0.9871
18,79.7306,6708.80124,1.86356,0.09938796,9.545e-05,558693.0,0.07748,0.97149,0.73482,0.37338,0.49516,0.88624,3.1134,0.07478418,0.0,558693.0,0.02413,0.98298,0.65714,0.28395,0.39655,0.79453,3.22894,0.12425457,0.0,558693.0,0.02503,0.96937,0.53846,0.21538,0.30769,0.76733,,1.0455,0.9545,1.0446,0.9554,1.0756,0.9244,1.0598,0.9402,1.0733,0.9267,1.0341,0.9659,1.0445,0.9556,1.004,0.996,1.0233,0.9767,1.0155,0.9845
