epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,96.50485,9553.97983,2.65388,0.72906918,0.0,558693.0,0.09379,0.04957,0.03776,0.99594,0.07277,0.51326,4.43129,0.73229432,0.0,558693.0,0.03435,0.04522,0.01997,0.98765,0.03915,0.57044,4.61171,0.73507391,0.0,558693.0,0.03575,0.07367,0.03228,0.97692,0.0625,0.52706,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,84.66365,8877.25629,2.4659,0.39887535,2e-05,558693.0,0.08228,0.90721,0.03711,0.05925,0.04564,0.5527,3.07319,0.18124268,0.0,558693.0,0.02382,0.98031,0.0,0.0,0.0,0.54083,3.1683,0.19070976,0.0,558693.0,0.02456,0.96839,0.0,0.0,0.0,0.58133,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,87.69386,8693.21622,2.41478,0.16486514,4e-05,558693.0,0.08522,0.96255,0.0,0.0,0.0,0.64862,3.28469,0.09825171,0.0,558693.0,0.02546,0.98031,0.0,0.0,0.0,0.6915,3.71988,0.13057247,0.0,558693.0,0.02884,0.96839,0.0,0.0,0.0,0.71116,,0.9935,1.0065,0.9888,1.0112,0.9905,1.0095,0.9982,1.0018,0.9867,1.0133,0.9887,1.0113,0.9871,1.0129,0.9857,1.0143,0.9813,1.0187,0.9791,1.0209
3,91.99939,8660.68205,2.40575,0.14978406,6e-05,558693.0,0.08941,0.96255,0.0,0.0,0.0,0.70432,3.09195,0.09185666,0.0,558693.0,0.02397,0.98031,0.0,0.0,0.0,0.7172,3.25104,0.1242169,0.0,558693.0,0.0252,0.96839,0.0,0.0,0.0,0.73937,,0.9961,1.0039,0.9903,1.0097,0.9914,1.0086,0.9985,1.0015,0.9853,1.0147,0.9894,1.0106,0.9886,1.0114,0.9863,1.0137,0.982,1.018,0.9792,1.0208
4,81.0245,8395.83887,2.33218,0.1411811,8e-05,558693.0,0.07874,0.96258,1.0,0.00081,0.00162,0.7457,3.02093,0.08801098,0.0,558693.0,0.02342,0.98031,0.0,0.0,0.0,0.73815,3.14325,0.12750941,0.0,558693.0,0.02437,0.96839,0.0,0.0,0.0,0.7168,,1.0003,0.9997,0.9937,1.0063,0.995,1.005,1.002,0.998,0.9873,1.0127,0.9885,1.0115,0.9895,1.0105,0.9887,1.0113,0.9838,1.0162,0.9854,1.0146
5,89.29716,8321.87355,2.31163,0.13476137,0.0001,558693.0,0.08678,0.96337,0.63918,0.05032,0.0933,0.76676,3.09257,0.10622861,0.0,558693.0,0.02397,0.98104,0.8,0.04938,0.09302,0.69244,3.09078,0.1381874,0.0,558693.0,0.02396,0.96718,0.14286,0.00769,0.0146,0.72338,,1.0071,0.9929,1.0006,0.9994,1.0021,0.9979,1.0107,0.9893,0.9883,1.0117,0.9912,1.0088,0.9918,1.0082,0.9953,1.0047,0.986,1.014,0.9906,1.0094
6,91.39607,8271.41324,2.29761,0.12921197,9.997e-05,558693.0,0.08882,0.96371,0.58559,0.10552,0.17882,0.78784,3.08792,0.08811926,0.0,558693.0,0.02394,0.98128,0.75,0.07407,0.13483,0.70402,3.08184,0.12801905,0.0,558693.0,0.02389,0.96791,0.0,0.0,0.0,0.73326,,1.0122,0.9878,1.0073,0.9927,1.0074,0.9926,1.0205,0.9795,0.9922,1.0078,0.9945,1.0055,0.9963,1.0037,1.0023,0.9977,0.99,1.01,0.9948,1.0052
7,87.74546,8168.73689,2.26909,0.12494973,9.989e-05,558693.0,0.08527,0.96502,0.62696,0.16234,0.2579,0.80023,3.07757,0.08125627,0.0,558693.0,0.02386,0.98225,0.64286,0.22222,0.33028,0.76153,3.07859,0.11990941,0.0,558693.0,0.02387,0.96937,0.54545,0.18462,0.27586,0.74522,,1.0192,0.9808,1.0144,0.9855,1.0168,0.9832,1.0304,0.9696,0.997,1.003,1.0012,0.9988,1.0035,0.9965,1.008,0.992,0.9929,1.0071,0.9971,1.0029
8,88.01369,8072.0907,2.24225,0.12025622,9.975e-05,558693.0,0.08553,0.96666,0.67352,0.21266,0.32326,0.81728,3.07754,0.09040557,0.0,558693.0,0.02386,0.98031,0.5,0.17284,0.25688,0.73115,3.08259,0.12306697,0.0,558693.0,0.0239,0.9662,0.40816,0.15385,0.22346,0.75896,,1.0252,0.9748,1.0215,0.9785,1.0228,0.9772,1.0376,0.9624,0.9987,1.0013,1.0052,0.9948,1.0075,0.9925,1.0116,0.9884,0.9975,1.0025,1.0007,0.9993
9,87.68149,7974.18116,2.21505,0.11726773,9.956e-05,558693.0,0.08521,0.96714,0.66815,0.24351,0.35693,0.82506,3.08136,0.0821746,0.0,558693.0,0.02389,0.97812,0.4,0.22222,0.28571,0.7706,3.06979,0.12163406,0.0,558693.0,0.0238,0.96523,0.41096,0.23077,0.29557,0.76162,,1.0247,0.9753,1.0245,0.9755,1.0278,0.9722,1.0432,0.9568,1.002,0.998,1.0082,0.9918,1.0109,0.9891,1.0128,0.9872,0.9989,1.0011,1.0022,0.9978
10,87.40729,7875.91279,2.18775,0.11409266,9.932e-05,558693.0,0.08494,0.96736,0.65076,0.27679,0.38838,0.84139,3.07664,0.07926609,0.0,558693.0,0.02385,0.98128,0.55882,0.23457,0.33043,0.77755,3.13844,0.11344281,0.0,558693.0,0.02433,0.96961,0.54717,0.22308,0.31694,0.7746,,1.0279,0.9721,1.0279,0.9721,1.0317,0.9683,1.0507,0.9493,1.0054,0.9946,1.0145,0.9855,1.0142,0.9858,1.016,0.984,1.0001,0.9999,1.0052,0.9948
11,78.00173,7710.48047,2.1418,0.11332585,9.902e-05,558693.0,0.0758,0.96784,0.67262,0.27516,0.39055,0.84057,3.11904,0.0849297,0.0,558693.0,0.02418,0.97933,0.46,0.28395,0.35115,0.76781,3.15547,0.12182661,0.0,558693.0,0.02446,0.96645,0.43939,0.22308,0.29592,0.77281,,1.0279,0.9721,1.0298,0.9702,1.0377,0.9623,1.0573,0.9427,1.0061,0.9939,1.0173,0.9827,1.0184,0.9816,1.0182,0.9818,1.0024,0.9976,1.0075,0.9925
