epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,72.56216,7183.65361,1.99546,0.6352357,0.0,558693.0,0.07052,0.92863,0.03188,0.03084,0.03135,0.51881,3.7646,0.65005906,0.0,558693.0,0.02918,0.87284,0.01747,0.09877,0.02968,0.52262,4.03232,0.64521185,0.0,558693.0,0.03126,0.86117,0.03383,0.12308,0.05307,0.58474,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,69.56036,6964.00357,1.93445,0.33314025,2e-05,558693.0,0.0676,0.96234,0.0,0.0,0.0,0.54445,3.29705,0.15345099,0.0,558693.0,0.02556,0.98031,0.0,0.0,0.0,0.58284,3.25299,0.17036954,0.0,558693.0,0.02522,0.96839,0.0,0.0,0.0,0.62448,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,68.50401,6810.25802,1.89174,0.16100553,4e-05,558693.0,0.06657,0.96255,0.0,0.0,0.0,0.64669,3.26061,0.09958693,0.0,558693.0,0.02528,0.98031,0.0,0.0,0.0,0.68666,3.33506,0.13310592,0.0,558693.0,0.02585,0.96839,0.0,0.0,0.0,0.71803,,0.9869,1.0131,0.9923,1.0077,0.9943,1.0057,0.996,1.004,0.9937,1.0063,0.993,1.007,0.9863,1.0137,0.9928,1.0072,0.9857,1.0143,0.9891,1.0109
3,68.8752,6708.04173,1.86334,0.14709737,6e-05,558693.0,0.06693,0.96255,0.0,0.0,0.0,0.71523,3.19438,0.09269412,0.0,558693.0,0.02476,0.98031,0.0,0.0,0.0,0.71114,3.21747,0.12732624,0.0,558693.0,0.02494,0.96839,0.0,0.0,0.0,0.71205,,0.9882,1.0118,0.9948,1.0052,0.995,1.005,0.9988,1.0012,0.9927,1.0073,0.9969,1.0031,0.9876,1.0124,0.9958,1.0042,0.9864,1.0136,0.9882,1.0118
4,68.49735,6611.98277,1.83666,0.13916042,8e-05,558693.0,0.06657,0.96255,0.0,0.0,0.0,0.75235,3.17955,0.09524855,0.0,558693.0,0.02465,0.98031,0.0,0.0,0.0,0.69263,3.13077,0.13185679,0.0,558693.0,0.02427,0.96839,0.0,0.0,0.0,0.69865,,0.9922,1.0078,0.9959,1.0041,0.9961,1.0039,1.003,0.997,0.9952,1.0048,0.9976,1.0024,0.9877,1.0123,0.9972,1.0028,0.9873,1.0127,0.9916,1.0084
5,69.75978,6544.889,1.81802,0.13284824,0.0001,558693.0,0.06779,0.96289,1.0,0.00893,0.0177,0.77985,3.16291,0.08722581,0.0,558693.0,0.02452,0.98006,0.33333,0.01235,0.02381,0.72578,3.33849,0.12386719,0.0,558693.0,0.02588,0.96888,1.0,0.01538,0.0303,0.73747,,0.9972,1.0028,0.9999,1.0001,0.9999,1.0001,1.0091,0.9909,1.0022,0.9978,1.0004,0.9996,0.9884,1.0116,1.0003,0.9997,0.9881,1.0119,0.9921,1.0079
6,68.49477,6460.22697,1.79451,0.12852227,9.997e-05,558693.0,0.06656,0.96356,0.62595,0.06656,0.12032,0.79629,3.23451,0.08390926,0.0,558693.0,0.02507,0.98104,0.66667,0.07407,0.13333,0.7372,3.17663,0.12064362,0.0,558693.0,0.02463,0.96864,1.0,0.00769,0.01527,0.74986,,1.0023,0.9977,1.0066,0.9934,1.0032,0.9968,1.0161,0.9839,1.0101,0.9899,1.0042,0.9958,0.9888,1.0112,1.0035,0.9965,0.9917,1.0083,0.994,1.006
7,69.63428,6392.71107,1.77575,0.12402762,9.989e-05,558693.0,0.06767,0.96508,0.64068,0.15341,0.24754,0.80391,3.21228,0.0935456,0.0,558693.0,0.0249,0.9786,0.40541,0.18519,0.25424,0.73351,3.25552,0.12102042,0.0,558693.0,0.02524,0.96693,0.45,0.20769,0.28421,0.76156,,1.009,0.991,1.0128,0.9872,1.0103,0.9897,1.0244,0.9756,1.0144,0.9856,1.0096,0.9904,0.9881,1.0119,1.0092,0.9908,0.9953,1.0047,0.9973,1.0027
8,68.91004,6317.4016,1.75483,0.1204481,9.975e-05,558693.0,0.06697,0.96608,0.66022,0.19399,0.29987,0.81468,3.23893,0.08704419,0.0,558693.0,0.02511,0.98104,0.57895,0.1358,0.22,0.73831,3.21317,0.1242555,0.0,558693.0,0.02491,0.96766,0.28571,0.01538,0.0292,0.75627,,1.0146,0.9854,1.0192,0.9808,1.016,0.984,1.0281,0.9719,1.0167,0.9833,1.0138,0.9862,0.9896,1.0104,1.0129,0.9871,0.997,1.003,0.9999,1.0001
9,68.88579,6243.15373,1.73421,0.11676258,9.956e-05,558693.0,0.06694,0.96696,0.66744,0.23458,0.34715,0.82385,3.18901,0.08184375,0.0,558693.0,0.02472,0.98128,0.57692,0.18519,0.28037,0.74481,3.37734,0.11803069,0.0,558693.0,0.02618,0.97058,0.64516,0.15385,0.24845,0.76144,,1.0202,0.9798,1.0248,0.9752,1.0171,0.9829,1.0309,0.9691,1.0212,0.9788,1.0201,0.9799,0.9925,1.0075,1.0174,0.9826,1.001,0.999,1.0,1.0
10,68.51998,6166.92109,1.71303,0.11439672,9.932e-05,558693.0,0.06659,0.96757,0.67516,0.25812,0.37346,0.832,3.17702,0.07685209,0.0,558693.0,0.02463,0.98249,0.73684,0.17284,0.28,0.7883,3.18989,0.11456388,0.0,558693.0,0.02473,0.97058,0.76471,0.1,0.17687,0.77639,,1.0254,0.9746,1.0254,0.9746,1.0199,0.9801,1.0357,0.9643,1.0261,0.9739,1.0232,0.9768,0.9932,1.0068,1.0219,0.9781,1.0054,0.9946,1.0001,0.9999
11,68.81356,6094.1268,1.69281,0.11154821,9.902e-05,558693.0,0.06687,0.96848,0.7027,0.27435,0.39463,0.84428,3.21027,0.08484383,0.0,558693.0,0.02489,0.98152,0.56098,0.28395,0.37705,0.72761,3.15124,0.12456301,0.0,558693.0,0.02443,0.96791,0.47917,0.17692,0.25843,0.74256,,1.0284,0.9716,1.0312,0.9688,1.0225,0.9775,1.039,0.961,1.0295,0.9705,1.0268,0.9732,0.9942,1.0058,1.0241,0.9759,1.006,0.994,1.0021,0.9979
12,69.04419,6023.48834,1.67319,0.10999872,9.867e-05,558693.0,0.0671,0.96851,0.68846,0.29058,0.40868,0.84819,3.19775,0.07616262,0.0,558693.0,0.02479,0.98322,0.6875,0.2716,0.38938,0.75624,3.30549,0.11657304,0.0,558693.0,0.02562,0.97107,0.64865,0.18462,0.28743,0.76284,,1.0323,0.9677,1.0347,0.9653,1.0241,0.9759,1.0417,0.9583,1.0322,0.9678,1.032,0.968,0.9967,1.0033,1.0266,0.9734,1.0093,0.9907,1.0011,0.9989
13,68.86433,5951.97279,1.65333,0.10795496,9.826e-05,558693.0,0.06692,0.96885,0.69565,0.2987,0.41794,0.85828,3.29957,0.07715833,0.0,558693.0,0.02558,0.98298,0.65714,0.28395,0.39655,0.77259,3.32138,0.11772226,0.0,558693.0,0.02575,0.96864,0.5102,0.19231,0.27933,0.76996,,1.0321,0.9679,1.0367,0.9633,1.0273,0.9727,1.0444,0.9556,1.0349,0.9651,1.0328,0.9671,0.9992,1.0008,1.0325,0.9675,1.012,0.988,1.0028,0.9972
14,69.22529,5882.85618,1.63413,0.10658733,9.78e-05,558693.0,0.06727,0.96961,0.71091,0.31737,0.43883,0.8628,3.26312,0.07573051,0.0,558693.0,0.0253,0.98298,0.66667,0.2716,0.38596,0.76951,3.27903,0.11308402,0.0,558693.0,0.02542,0.97107,0.66667,0.16923,0.26994,0.77634,,1.0364,0.9636,1.0377,0.9623,1.032,0.968,1.0474,0.9526,1.0386,0.9614,1.0389,0.9611,0.9985,1.0015,1.0366,0.9634,1.0153,0.9847,1.0044,0.9956
15,69.01219,5812.60724,1.61461,0.10409936,9.729e-05,558693.0,0.06707,0.97024,0.72389,0.33198,0.4552,0.86889,3.20791,0.07897565,0.0,558693.0,0.02487,0.97885,0.42857,0.22222,0.29268,0.78333,3.19021,0.12062882,0.0,558693.0,0.02473,0.96912,0.52632,0.23077,0.32086,0.76123,,1.0383,0.9617,1.0409,0.9591,1.0343,0.9657,1.0484,0.9516,1.0415,0.9584,1.0453,0.9547,0.9984,1.0016,1.0393,0.9607,1.0201,0.9799,1.0077,0.9923
16,69.24235,5743.62753,1.59545,0.10265407,9.673e-05,558693.0,0.06729,0.97079,0.73565,0.34334,0.46818,0.8736,3.20455,0.08331396,0.0,558693.0,0.02484,0.97933,0.46429,0.32099,0.37956,0.77654,3.18716,0.12397888,0.0,558693.0,0.02471,0.96791,0.48485,0.24615,0.32653,0.76211,,1.0398,0.9602,1.0454,0.9546,1.0355,0.9645,1.0478,0.9523,1.0418,0.9582,1.0479,0.9521,1.0007,0.9993,1.0434,0.9566,1.0218,0.9782,1.007,0.993
17,68.89466,5673.03469,1.57584,0.10032932,9.611e-05,558693.0,0.06695,0.97049,0.71289,0.35471,0.47371,0.88273,3.1889,0.07542235,0.0,558693.0,0.02472,0.98249,0.66667,0.22222,0.33333,0.78667,3.2348,0.1231516,0.0,558693.0,0.02508,0.96985,0.58824,0.15385,0.2439,0.75989,,1.0389,0.9611,1.0481,0.9519,1.0387,0.9613,1.0524,0.9476,1.0433,0.9567,1.0491,0.9509,1.0064,0.9936,1.049,0.951,1.0273,0.9727,1.0092,0.9908
