epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,87.2074,8633.53261,2.3982,0.59129463,0.0,558693.0,0.08475,0.96255,0.0,0.0,0.0,0.51722,3.72454,0.58958407,0.0,558693.0,0.02887,0.98006,0.0,0.0,0.0,0.52753,3.94506,0.59254105,0.0,558693.0,0.03058,0.96839,0.0,0.0,0.0,0.4351,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,83.0478,8342.50498,2.31736,0.28924014,2e-05,558693.0,0.08071,0.96255,0.0,0.0,0.0,0.57382,3.20485,0.13643132,0.0,558693.0,0.02484,0.98031,0.0,0.0,0.0,0.63722,3.19056,0.16108142,0.0,558693.0,0.02473,0.96839,0.0,0.0,0.0,0.64182,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,84.93577,8251.17495,2.29199,0.15746089,4e-05,558693.0,0.08254,0.96255,0.0,0.0,0.0,0.66986,3.22937,0.09650421,0.0,558693.0,0.02503,0.98031,0.0,0.0,0.0,0.71807,3.21606,0.13095147,0.0,558693.0,0.02493,0.96839,0.0,0.0,0.0,0.72331,,0.9991,1.0009,0.9938,1.0062,0.9949,1.0051,0.9936,1.0064,0.9892,1.0108,0.9874,1.0126,0.9961,1.0039,0.9896,1.0104,0.9887,1.0113,0.98,1.02
3,87.48144,8224.13791,2.28448,0.1456851,6e-05,558693.0,0.08502,0.96255,0.0,0.0,0.0,0.73088,3.20598,0.09384115,0.0,558693.0,0.02485,0.98031,0.0,0.0,0.0,0.74623,3.19682,0.12639993,0.0,558693.0,0.02478,0.96839,0.0,0.0,0.0,0.74124,,1.001,0.999,0.9957,1.0043,0.9987,1.0013,0.9925,1.0075,0.9869,1.0131,0.9878,1.0122,0.9976,1.0024,0.9902,1.0098,0.9911,1.0089,0.9781,1.0219
4,93.21204,8281.8046,2.3005,0.13989741,8e-05,558693.0,0.09059,0.96255,0.0,0.0,0.0,0.75257,3.23508,0.08874387,0.0,558693.0,0.02508,0.98031,0.0,0.0,0.0,0.72851,3.23429,0.12118849,0.0,558693.0,0.02507,0.96839,0.0,0.0,0.0,0.74546,,1.0051,0.9948,1.0009,0.9991,1.0035,0.9965,0.9942,1.0058,0.9923,1.0077,0.9895,1.0105,1.0001,0.9999,0.9889,1.0111,0.9922,1.0078,0.9799,1.0201
5,83.90013,8143.29181,2.26203,0.13146171,0.0001,558693.0,0.08154,0.96255,0.0,0.0,0.0,0.78404,3.23452,0.08532139,0.0,558693.0,0.02507,0.98031,0.0,0.0,0.0,0.76255,3.24355,0.11858244,0.0,558693.0,0.02514,0.96839,0.0,0.0,0.0,0.76535,,1.0094,0.9906,1.0061,0.9939,1.0137,0.9863,0.9998,1.0003,0.9994,1.0006,0.989,1.011,1.004,0.996,0.9933,1.0067,0.9961,1.0039,0.9871,1.0129
6,83.65021,8017.0622,2.22696,0.12551586,9.997e-05,558693.0,0.08129,0.96255,0.0,0.0,0.0,0.80212,3.23458,0.08279765,0.0,558693.0,0.02507,0.98031,0.0,0.0,0.0,0.76046,3.25457,0.11719036,0.0,558693.0,0.02523,0.96839,0.0,0.0,0.0,0.7614,,1.0129,0.9871,1.016,0.984,1.0209,0.9791,1.0079,0.9921,1.0078,0.9922,0.9922,1.0078,1.0116,0.9884,0.9993,1.0007,1.0001,0.9999,0.9915,1.0085
7,84.0548,7906.13031,2.19615,0.12293562,9.989e-05,558693.0,0.08169,0.96255,0.0,0.0,0.0,0.80842,3.19615,0.07813526,0.0,558693.0,0.02478,0.98031,0.0,0.0,0.0,0.77102,3.19564,0.12032498,0.0,558693.0,0.02477,0.96839,0.0,0.0,0.0,0.73198,,1.0162,0.9838,1.022,0.978,1.0281,0.9719,1.0143,0.9857,1.0186,0.9814,0.9961,1.0039,1.0171,0.9829,1.0039,0.9961,1.0029,0.9971,0.9938,1.0062
8,75.06742,7710.29863,2.14175,0.11914811,9.975e-05,558693.0,0.07295,0.96307,0.66667,0.0276,0.053,0.82069,3.01555,0.08160474,0.0,558693.0,0.02338,0.98298,0.7619,0.19753,0.31373,0.74803,3.08074,0.12069146,0.0,558693.0,0.02388,0.96961,0.64706,0.08462,0.14966,0.75468,,1.0187,0.9813,1.0257,0.9743,1.0365,0.9635,1.0215,0.9785,1.0249,0.9751,1.0001,0.9999,1.0214,0.9786,1.0057,0.9943,1.0065,0.9935,0.9981,1.0019
9,70.6115,7498.51659,2.08292,0.11613532,9.956e-05,558693.0,0.06862,0.96489,0.64419,0.13961,0.22949,0.83713,3.01254,0.08093978,0.0,558693.0,0.02335,0.98055,0.51429,0.22222,0.31034,0.76769,2.99684,0.11986546,0.0,558693.0,0.02323,0.9718,0.62069,0.27692,0.38298,0.74874,,1.0249,0.9751,1.0342,0.9658,1.0429,0.9571,1.0296,0.9705,1.0342,0.9658,1.0049,0.9951,1.0296,0.9704,1.01,0.99,1.0088,0.9912,0.9991,1.0009
