epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
15,257.91668,22760.4836,6.32236,0.03393217,0.00048645,9744870.0,0.37652,0.98599,0.90331,0.29964,13.44008,0.04488351,0.0,9744870.0,0.15628,0.98088,0.8786,0.26433,14.09893,0.04710332,0.0,9744870.0,0.16394,0.97952,0.87546,0.2526,,1.1812,0.8188,1.4318,0.5682,1.4877,0.5123,1.6002,0.3998,1.6039,0.3961
16,259.8914,22435.49372,6.23208,0.03339354,0.00048364,9744870.0,0.3794,0.98613,0.90686,0.31412,13.40733,0.04525978,0.0,9744870.0,0.1559,0.98064,0.87658,0.26152,14.15412,0.04754984,0.0,9744870.0,0.16458,0.9793,0.87192,0.24994,,1.2042,0.7958,1.4817,0.5183,1.5155,0.4845,1.6189,0.3812,1.6207,0.3793
17,260.43399,22120.20882,6.1445,0.03291881,0.00048057,9744870.0,0.3802,0.98631,0.90998,0.32576,13.36013,0.04431106,0.0,9744870.0,0.15535,0.98102,0.88196,0.26844,14.10442,0.04657648,0.0,9744870.0,0.164,0.97952,0.87761,0.2595,,1.2236,0.7764,1.5216,0.4784,1.5591,0.4409,1.6254,0.3746,1.6317,0.3683
18,257.9608,21800.15409,6.0556,0.03245412,0.00047725,9744870.0,0.37659,0.98646,0.91354,0.33638,13.39247,0.04442673,0.0,9744870.0,0.15573,0.98113,0.88393,0.27795,14.06037,0.04670862,0.0,9744870.0,0.16349,0.98005,0.87885,0.2645,,1.2358,0.7642,1.5578,0.4422,1.5809,0.4191,1.6449,0.3551,1.6448,0.3552
19,258.60468,21488.8843,5.96913,0.03203934,0.00047368,9744870.0,0.37753,0.98666,0.91618,0.34659,13.44278,0.04424851,0.0,9744870.0,0.15631,0.98112,0.88263,0.27827,14.07869,0.04640247,0.0,9744870.0,0.16371,0.98001,0.87813,0.26764,,1.2535,0.7465,1.5755,0.4245,1.6015,0.3985,1.6583,0.3417,1.6564,0.3436
20,258.06877,21180.61418,5.8835,0.03166208,0.00046987,9744870.0,0.37674,0.9869,0.91874,0.35592,13.39256,0.04481265,0.0,9744870.0,0.15573,0.98034,0.88384,0.28005,14.07292,0.0471339,0.0,9744870.0,0.16364,0.97917,0.87935,0.26747,,1.2753,0.7247,1.602,0.398,1.6117,0.3883,1.6582,0.3418,1.6625,0.3375
21,261.08981,20887.61876,5.80212,0.03127084,0.00046581,9744870.0,0.38115,0.98696,0.92124,0.36727,13.42408,0.04402889,0.0,9744870.0,0.15609,0.98129,0.88349,0.28003,14.07516,0.04635912,0.0,9744870.0,0.16366,0.9798,0.87672,0.26551,,1.2908,0.7092,1.6263,0.3737,1.6301,0.3699,1.6631,0.3369,1.6669,0.3331
22,260.76974,20596.32623,5.7212,0.03090337,0.00046152,9744870.0,0.38069,0.98716,0.92423,0.37588,13.37978,0.04424288,0.0,9744870.0,0.15558,0.98089,0.88411,0.27844,14.14911,0.04646847,0.0,9744870.0,0.16452,0.97973,0.87848,0.27189,,1.3093,0.6907,1.6316,0.3684,1.637,0.363,1.667,0.333,1.6745,0.3255
23,257.8774,20298.41817,5.63845,0.03053318,0.000457,9744870.0,0.37646,0.9872,0.92666,0.38526,13.43115,0.04398411,0.0,9744870.0,0.15618,0.98105,0.8857,0.28467,14.10621,0.0462037,0.0,9744870.0,0.16403,0.97985,0.88146,0.27399,,1.3171,0.6829,1.6584,0.3416,1.6466,0.3534,1.6623,0.3377,1.6828,0.3172
24,259.54478,20008.71471,5.55798,0.03028431,0.00045225,9744870.0,0.3789,0.98741,0.92808,0.39033,12.89138,0.04390284,0.0,9744870.0,0.1499,0.98113,0.88604,0.28555,13.66805,0.04601069,0.0,9744870.0,0.15893,0.98008,0.87972,0.27675,,1.3333,0.6667,1.6634,0.3366,1.6537,0.3463,1.6698,0.3303,1.6823,0.3177
