epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,312.27645,30915.36807,8.5876,0.69641824,0.0,9744870.0,0.45588,0.50978,0.49987,0.02175,19.46223,0.6921974,0.0,9744870.0,0.22631,0.53294,0.4964,0.0264,24.59317,0.69279904,0.0,9744870.0,0.28597,0.53465,0.50443,0.02804,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,259.66778,28025.26711,7.7848,0.33907539,0.0001,9744870.0,0.37908,0.91922,0.53986,0.02947,13.22963,0.12910549,0.0,9744870.0,0.15383,0.97432,0.62019,0.04432,13.82117,0.1300952,0.0,9744870.0,0.16071,0.97215,0.62086,0.04577,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,261.27841,26940.86531,7.48357,0.06609604,0.0002,9744870.0,0.38143,0.97961,0.6303,0.04456,12.94243,0.06124635,0.0,9744870.0,0.15049,0.97587,0.72529,0.0751,13.65352,0.06369887,0.0,9744870.0,0.15876,0.97422,0.72137,0.07881,,1.0255,0.9745,1.011,0.989,1.0117,0.9883,0.9879,1.0121,0.9917,1.0083
3,257.53491,26178.18105,7.27172,0.04845453,0.0003,9744870.0,0.37596,0.98109,0.73922,0.08268,12.89958,0.05626313,0.0,9744870.0,0.15,0.97638,0.78436,0.10807,13.6006,0.0585338,0.0,9744870.0,0.15815,0.97505,0.78468,0.11339,,1.0339,0.9661,1.0152,0.9848,1.0172,0.9828,0.9966,1.0034,1.0121,0.9879
4,257.18191,25610.84958,7.11412,0.0448587,0.0004,9744870.0,0.37545,0.98198,0.79951,0.11215,12.87497,0.05358635,0.0,9744870.0,0.14971,0.97675,0.80444,0.14232,13.62753,0.05601115,0.0,9744870.0,0.15846,0.97541,0.80341,0.13672,,1.0381,0.9619,1.0209,0.9791,1.0246,0.9754,1.0028,0.9972,1.0319,0.9681
5,257.74081,25155.65738,6.98768,0.04284604,0.0005,9744870.0,0.37626,0.98264,0.82452,0.1348,12.95467,0.05135221,0.0,9744870.0,0.15064,0.9779,0.83317,0.16454,13.74105,0.05385048,0.0,9744870.0,0.15978,0.97664,0.82836,0.16369,,1.0448,0.9552,1.0309,0.9691,1.0352,0.9648,1.0197,0.9803,1.0818,0.9182
6,258.33163,24764.72944,6.87909,0.04111029,0.00049986,9744870.0,0.37713,0.98333,0.84561,0.16104,12.97392,0.05108033,0.0,9744870.0,0.15086,0.97801,0.84132,0.17969,13.67226,0.05349968,0.0,9744870.0,0.15898,0.97673,0.83595,0.1777,,1.0541,0.9459,1.0481,0.9519,1.0571,0.9429,1.0554,0.9446,1.1704,0.8296
7,255.77237,24377.51907,6.77153,0.03985241,0.00049945,9744870.0,0.37339,0.98373,0.8583,0.18043,12.90385,0.04935313,0.0,9744870.0,0.15004,0.97852,0.84874,0.19129,13.64133,0.05179201,0.0,9744870.0,0.15862,0.97717,0.84496,0.18714,,1.0625,0.9375,1.0733,0.9267,1.0877,0.9123,1.1058,0.8942,1.2554,0.7446
8,259.22968,24054.47433,6.6818,0.03881931,0.00049877,9744870.0,0.37844,0.98405,0.86673,0.19895,13.53012,0.04927408,0.0,9744870.0,0.15733,0.97828,0.85827,0.20541,14.20539,0.05144017,0.0,9744870.0,0.16518,0.97711,0.85545,0.19833,,1.0734,0.9266,1.1081,0.8919,1.1339,0.8661,1.171,0.829,1.3302,0.6698
9,258.04466,23733.52748,6.59265,0.03788073,0.00049782,9744870.0,0.37671,0.9845,0.87465,0.21593,12.89874,0.04811394,0.0,9744870.0,0.14999,0.97932,0.8615,0.20787,15.10955,0.05010348,0.0,9744870.0,0.17569,0.97827,0.85884,0.20991,,1.0887,0.9113,1.1611,0.8389,1.1948,0.8052,1.2468,0.7532,1.3922,0.6079
