epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
15.0,257.58386,22190.39146,6.164,0.03388,0.00049,9744870.0,0.37604,0.98597,0.90348,0.3017,13.15919,0.04525,0.0,9744870.0,0.15301,0.98063,0.87797,0.25745,13.83601,0.04746,0.0,9744870.0,0.16088,0.97926,0.87524,0.25187,1.20585,0.79415,1.47006,0.52994,1.52278,0.47722,1.56986,0.43014,1.56651,0.43349
16.0,259.08335,21901.37886,6.08372,0.03337,0.00048,9744870.0,0.37822,0.98617,0.90724,0.31416,13.19673,0.04516,0.0,9744870.0,0.15345,0.98061,0.87949,0.26176,13.89795,0.04734,0.0,9744870.0,0.1616,0.9793,0.87563,0.25612,1.22478,0.77522,1.51702,0.48298,1.55877,0.44123,1.58784,0.41218,1.58482,0.41517
17.0,258.76999,21614.26418,6.00396,0.03288,0.00048,9744870.0,0.37777,0.98637,0.91045,0.32589,13.16573,0.04468,0.0,9744870.0,0.15309,0.98083,0.88082,0.26607,13.89373,0.04683,0.0,9744870.0,0.16156,0.97957,0.8774,0.26173,1.24624,0.75376,1.55324,0.44676,1.58585,0.41415,1.60116,0.39885,1.59819,0.40182
18.0,259.07416,21331.42987,5.9254,0.03243,0.00048,9744870.0,0.37821,0.98653,0.91373,0.3369,13.31333,0.0449,0.0,9744870.0,0.15481,0.9807,0.88197,0.27113,13.8559,0.04708,0.0,9744870.0,0.16111,0.97939,0.87767,0.26424,1.26163,0.73838,1.58357,0.41642,1.60922,0.39079,1.61443,0.38558,1.61177,0.38824
19.0,257.92093,21046.35867,5.84621,0.032,0.00047,9744870.0,0.37653,0.98671,0.91653,0.34848,13.98572,0.04446,0.0,9744870.0,0.16263,0.98101,0.88195,0.27289,13.85239,0.04664,0.0,9744870.0,0.16108,0.9797,0.87832,0.2669,1.2813,0.71869,1.60597,0.39403,1.62768,0.37233,1.62284,0.37716,1.62282,0.37718
20.0,258.37741,20765.59043,5.76822,0.03161,0.00047,9744870.0,0.37719,0.98687,0.91924,0.35774,13.17268,0.04445,0.0,9744870.0,0.15317,0.98097,0.88263,0.27559,13.86949,0.04669,0.0,9744870.0,0.16128,0.97965,0.87889,0.26932,1.29709,0.70291,1.62809,0.3719,1.6435,0.35651,1.6274,0.37261,1.63246,0.36753
21.0,258.97658,20488.98207,5.69138,0.03123,0.00047,9744870.0,0.37807,0.98703,0.92187,0.36772,13.2247,0.04433,0.0,9744870.0,0.15378,0.98112,0.88331,0.27826,13.90562,0.04653,0.0,9744870.0,0.16169,0.97978,0.87902,0.27221,1.31234,0.68766,1.64698,0.35301,1.6547,0.34531,1.6323,0.3677,1.63782,0.36217
22.0,258.95336,20213.82915,5.61495,0.03087,0.00046,9744870.0,0.37803,0.98718,0.92416,0.37684,13.20392,0.04426,0.0,9744870.0,0.15353,0.98104,0.88346,0.27984,13.90688,0.04645,0.0,9744870.0,0.16171,0.97974,0.87942,0.27599,1.32669,0.67331,1.66206,0.33794,1.66396,0.33606,1.63624,0.36375,1.644,0.35601
23.0,258.43241,19938.37653,5.53844,0.03052,0.00046,9744870.0,0.37727,0.9873,0.9268,0.3861,13.30592,0.04412,0.0,9744870.0,0.15472,0.9812,0.88427,0.28284,13.89006,0.04632,0.0,9744870.0,0.16151,0.97989,0.8799,0.2769,1.34141,0.65858,1.67844,0.32155,1.67399,0.32603,1.6391,0.3609,1.64856,0.35144
24.0,258.91022,19665.71896,5.4627,0.0302,0.00045,9744870.0,0.37797,0.98746,0.92872,0.39408,13.95252,0.04401,0.0,9744870.0,0.16224,0.98123,0.88504,0.28452,13.81198,0.04627,0.0,9744870.0,0.1606,0.97998,0.87977,0.27727,1.35567,0.64433,1.68745,0.31254,1.68118,0.31884,1.63975,0.36027,1.65257,0.34742
