epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,312.25489,30913.23408,8.58701,0.69732648,0.0,9744870.0,0.45585,0.5033,0.48171,0.02092,17.69217,0.69580894,0.0,9744870.0,0.20572,0.51348,0.49678,0.02593,19.953,0.69627235,0.0,9744870.0,0.23201,0.51298,0.48015,0.02666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,257.63737,27924.7205,7.75687,0.33312784,0.0001,9744870.0,0.37611,0.92171,0.53945,0.02936,12.89592,0.12345092,0.0,9744870.0,0.14995,0.97405,0.58637,0.04168,13.67378,0.13347093,0.0,9744870.0,0.159,0.97165,0.57987,0.04239,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,255.9754,26703.0543,7.41752,0.06811564,0.0002,9744870.0,0.37369,0.97974,0.62469,0.04262,12.88957,0.06335775,0.0,9744870.0,0.14988,0.9764,0.72253,0.07478,13.66473,0.0651146,0.0,9744870.0,0.15889,0.97476,0.71945,0.0784,,1.0373,0.9627,1.0226,0.9774,1.0149,0.9851,0.9843,1.0157,0.9841,1.0159
3,257.17561,25993.03838,7.22029,0.04888028,0.0003,9744870.0,0.37544,0.98116,0.73264,0.08062,12.92652,0.05584926,0.0,9744870.0,0.15031,0.97669,0.77645,0.10652,13.64442,0.05844492,0.0,9744870.0,0.15866,0.97509,0.77572,0.11023,,1.0449,0.9551,1.0278,0.9722,1.0224,0.9776,0.9967,1.0033,1.0032,0.9968
4,255.73903,25436.86366,7.0658,0.04495371,0.0004,9744870.0,0.37334,0.98208,0.79793,0.11143,13.00057,0.05482943,0.0,9744870.0,0.15117,0.97624,0.81073,0.13866,13.76317,0.0571824,0.0,9744870.0,0.16004,0.97496,0.80745,0.14148,,1.0491,0.9509,1.0333,0.9667,1.0263,0.9737,1.0075,0.9925,1.0258,0.9742
5,260.36102,25053.24531,6.95923,0.04289569,0.0005,9744870.0,0.38009,0.9827,0.82513,0.13536,13.0094,0.05122139,0.0,9744870.0,0.15127,0.97803,0.834,0.16245,13.75243,0.05358169,0.0,9744870.0,0.15991,0.97697,0.82961,0.163,,1.0565,0.9435,1.0403,0.9597,1.0366,0.9634,1.0276,0.9724,1.07,0.93
6,258.03533,24673.94488,6.85387,0.04118288,0.00049986,9744870.0,0.37669,0.98327,0.84515,0.15851,13.55079,0.05124368,0.0,9744870.0,0.15757,0.97796,0.83779,0.17424,14.16605,0.0535842,0.0,9744870.0,0.16472,0.97666,0.83791,0.17424,,1.0643,0.9357,1.054,0.946,1.0566,0.9434,1.0712,0.9288,1.1472,0.8528
7,258.67854,24332.35765,6.75899,0.03994359,0.00049945,9744870.0,0.37763,0.9836,0.85674,0.17831,12.99502,0.05001119,0.0,9744870.0,0.1511,0.97879,0.8506,0.1954,13.77472,0.05251126,0.0,9744870.0,0.16017,0.97712,0.84769,0.18568,,1.0725,0.9275,1.0741,0.9259,1.0836,0.9164,1.1275,0.8725,1.2346,0.7654
8,258.15288,24003.87957,6.66774,0.03883392,0.00049877,9744870.0,0.37687,0.98401,0.86684,0.19635,13.34636,0.04797468,0.0,9744870.0,0.15519,0.97957,0.85819,0.20508,14.07876,0.05035471,0.0,9744870.0,0.16371,0.9782,0.85385,0.19873,,1.0809,0.9191,1.1026,0.8974,1.1258,0.8742,1.2006,0.7994,1.3193,0.6807
9,257.53099,23683.86954,6.57885,0.03796118,0.00049782,9744870.0,0.37596,0.98435,0.87407,0.2138,12.98197,0.04782756,0.0,9744870.0,0.15095,0.97986,0.86242,0.21579,15.26403,0.04998164,0.0,9744870.0,0.17749,0.97841,0.85734,0.21684,,1.0913,0.9087,1.139,0.861,1.1824,0.8176,1.2794,0.7206,1.3921,0.6079
10,256.12959,23363.88074,6.48997,0.03713814,0.00049659,9744870.0,0.37391,0.98476,0.88086,0.23075,13.01686,0.0475374,0.0,9744870.0,0.15136,0.98003,0.86359,0.2096,14.13856,0.04977684,0.0,9744870.0,0.1644,0.97882,0.86139,0.21241,,1.111,0.889,1.195,0.805,1.2526,0.7474,1.3567,0.6433,1.4477,0.5523
11,259.72922,23080.9324,6.41137,0.03627239,0.00049509,9744870.0,0.37917,0.98502,0.88656,0.24795,13.19132,0.04636517,0.0,9744870.0,0.15339,0.98031,0.87276,0.22995,13.84193,0.04859739,0.0,9744870.0,0.16095,0.97891,0.86891,0.23413,,1.1262,0.8738,1.2644,0.7356,1.3272,0.6728,1.4179,0.5821,1.4939,0.5061
12,256.88834,22782.54416,6.32848,0.03559854,0.00049333,9744870.0,0.37502,0.98534,0.8913,0.26526,13.01747,0.04563592,0.0,9744870.0,0.15137,0.98034,0.87382,0.24392,14.08973,0.0477988,0.0,9744870.0,0.16383,0.97907,0.87056,0.24411,,1.1447,0.8553,1.3299,0.6701,1.3932,0.6068,1.4684,0.5316,1.5304,0.4696
13,259.7387,22507.59389,6.25211,0.03499122,0.0004913,9744870.0,0.37918,0.98565,0.89655,0.27634,12.94169,0.04603436,0.0,9744870.0,0.15048,0.98019,0.87308,0.24509,13.71497,0.04815795,0.0,9744870.0,0.15948,0.97895,0.86983,0.24387,,1.169,0.831,1.4037,0.5963,1.4572,0.5428,1.5093,0.4907,1.5656,0.4344
14,256.00639,22213.52206,6.17042,0.03432451,0.00048901,9744870.0,0.37373,0.98582,0.90037,0.29148,12.97541,0.04461227,0.0,9744870.0,0.15088,0.98094,0.8773,0.2572,15.17307,0.04690893,0.0,9744870.0,0.17643,0.97977,0.87277,0.24981,,1.1923,0.8077,1.4618,0.5382,1.5054,0.4946,1.5444,0.4556,1.5897,0.4103
15,256.25628,21925.5203,6.09042,0.03377932,0.00048645,9744870.0,0.3741,0.98605,0.90369,0.30476,12.99491,0.04495639,0.0,9744870.0,0.1511,0.98071,0.87813,0.25515,13.69098,0.04706753,0.0,9744870.0,0.1592,0.97969,0.87638,0.25254,,1.2172,0.7828,1.5095,0.4905,1.5387,0.4613,1.5666,0.4334,1.6084,0.3916
16,258.85412,21653.9369,6.01498,0.03326378,0.00048364,9744870.0,0.37789,0.98626,0.90831,0.31671,12.95174,0.04470793,0.0,9744870.0,0.1506,0.9808,0.87885,0.26699,13.66718,0.04696594,0.0,9744870.0,0.15892,0.97931,0.87496,0.26067,,1.2304,0.7696,1.554,0.446,1.5763,0.4237,1.5846,0.4155,1.6233,0.3767
17,256.67388,21373.83567,5.93718,0.03276998,0.00048057,9744870.0,0.37471,0.98647,0.91132,0.32705,13.02118,0.04447877,0.0,9744870.0,0.15141,0.98103,0.87934,0.26919,13.72674,0.04669928,0.0,9744870.0,0.15961,0.97972,0.87707,0.26519,,1.2535,0.7465,1.5889,0.4111,1.6005,0.3995,1.5968,0.4032,1.6358,0.3642
18,258.27017,21103.0057,5.86195,0.03230688,0.00047725,9744870.0,0.37704,0.98656,0.91388,0.3423,13.01507,0.04420714,0.0,9744870.0,0.15134,0.98103,0.88305,0.27311,13.74195,0.04648429,0.0,9744870.0,0.15979,0.97956,0.87622,0.26841,,1.2698,0.7302,1.6093,0.3907,1.6182,0.3818,1.6138,0.3862,1.6462,0.3538
19,256.636,20826.89504,5.78525,0.03188438,0.00047368,9744870.0,0.37465,0.9868,0.91714,0.35005,14.47274,0.04464446,0.0,9744870.0,0.16829,0.98073,0.88199,0.27554,13.70512,0.04676209,0.0,9744870.0,0.15936,0.97964,0.87809,0.27289,,1.2832,0.7168,1.6403,0.3597,1.6255,0.3745,1.6212,0.3788,1.6535,0.3465
20,256.66522,20552.74901,5.7091,0.03149364,0.00046987,9744870.0,0.37469,0.98691,0.91983,0.35959,13.24651,0.04414516,0.0,9744870.0,0.15403,0.98124,0.88179,0.27867,13.87486,0.04639964,0.0,9744870.0,0.16134,0.97988,0.87736,0.27321,,1.3039,0.696,1.6535,0.3464,1.6523,0.3477,1.6314,0.3686,1.6646,0.3354
21,257.38428,20282.74155,5.63409,0.03110061,0.00046581,9744870.0,0.37574,0.98711,0.92288,0.3706,13.3104,0.04423805,0.0,9744870.0,0.15477,0.98084,0.8799,0.27737,13.95296,0.04635967,0.0,9744870.0,0.16224,0.97941,0.8776,0.27854,,1.3187,0.6813,1.6651,0.3349,1.6635,0.3365,1.6302,0.3698,1.6647,0.3353
22,256.22889,20009.96372,5.55832,0.03077392,0.00046152,9744870.0,0.37406,0.98731,0.92503,0.38046,13.00964,0.04459158,0.0,9744870.0,0.15127,0.98079,0.88211,0.27757,13.73826,0.04646644,0.0,9744870.0,0.15975,0.97993,0.87923,0.28144,,1.3283,0.6717,1.6781,0.3219,1.6652,0.3348,1.6345,0.3655,1.6663,0.3337
23,256.85399,19740.54446,5.48348,0.03039242,0.000457,9744870.0,0.37497,0.98731,0.92659,0.39081,13.00477,0.04493551,0.0,9744870.0,0.15122,0.98062,0.88012,0.27731,13.72626,0.04692462,0.0,9744870.0,0.15961,0.97947,0.87865,0.27982,,1.3509,0.6491,1.7007,0.2993,1.6815,0.3185,1.6358,0.3642,1.6748,0.3252
24,256.12534,19469.94446,5.40832,0.03008705,0.00045225,9744870.0,0.37391,0.98757,0.92896,0.39766,14.57696,0.04427189,0.0,9744870.0,0.1695,0.98095,0.88419,0.28509,13.69674,0.0462573,0.0,9744870.0,0.15926,0.97964,0.87881,0.2782,,1.3622,0.6378,1.7064,0.2935,1.6808,0.3192,1.6334,0.3666,1.6756,0.3244
25,254.99749,19197.24785,5.33257,0.02977365,0.00044729,9744870.0,0.37226,0.98766,0.93066,0.40452,12.96053,0.0444336,0.0,9744870.0,0.1507,0.981,0.88301,0.28525,13.65613,0.04655418,0.0,9744870.0,0.15879,0.97973,0.8784,0.28404,,1.372,0.628,1.7123,0.2877,1.6873,0.3127,1.6337,0.3663,1.6778,0.3222
26,257.70767,18933.18982,5.25922,0.0294554,0.0004421,9744870.0,0.37622,0.98771,0.93357,0.41586,13.30268,0.04448778,0.0,9744870.0,0.15468,0.98101,0.88133,0.28527,13.90181,0.0466787,0.0,9744870.0,0.16165,0.97957,0.87684,0.28383,,1.3865,0.6135,1.7216,0.2784,1.6977,0.3023,1.6355,0.3645,1.6788,0.3212
27,255.38412,18663.61054,5.18434,0.02914932,0.00043671,9744870.0,0.37282,0.98788,0.93557,0.4224,12.99873,0.04400911,0.0,9744870.0,0.15115,0.98134,0.88521,0.28661,13.7097,0.04620623,0.0,9744870.0,0.15942,0.9802,0.88014,0.28294,,1.4012,0.5988,1.7311,0.2689,1.7009,0.2991,1.6358,0.3642,1.6848,0.3151
28,257.54024,18400.28902,5.11119,0.02886544,0.00043111,9744870.0,0.37597,0.988,0.93763,0.43414,13.0626,0.04407308,0.0,9744870.0,0.15189,0.98127,0.88439,0.28736,13.83497,0.04641038,0.0,9744870.0,0.16087,0.9801,0.87786,0.28412,,1.4081,0.5919,1.7429,0.2571,1.6998,0.3002,1.6371,0.3629,1.6824,0.3176
