epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,300.80769,29779.96118,8.27221,0.6980021,0.0,9744870.0,0.43914,0.50398,0.50734,0.02121,19.65324,0.69640594,0.0,9744870.0,0.22853,0.51169,0.49981,0.0257,18.63325,0.6978464,0.0,9744870.0,0.21667,0.5106,0.50428,0.02679,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,261.04044,27530.55844,7.64738,0.34141366,0.0001,9744870.0,0.38108,0.91779,0.54357,0.03016,13.54748,0.13052838,0.0,9744870.0,0.15753,0.97239,0.59427,0.04088,14.09783,0.1297988,0.0,9744870.0,0.16393,0.97062,0.59144,0.0414,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,259.22467,26548.02065,7.37445,0.06710675,0.0002,9744870.0,0.37843,0.97943,0.62756,0.04313,15.17154,0.06490289,0.0,9744870.0,0.17641,0.97615,0.72312,0.07281,13.83868,0.06626254,0.0,9744870.0,0.16091,0.97445,0.71987,0.07517,,1.028,0.972,1.0215,0.9785,1.0088,0.9912,0.9838,1.0162,0.9921,1.0079
3,259.40263,25931.41029,7.20317,0.04870766,0.0003,9744870.0,0.37869,0.98105,0.73388,0.0817,13.27322,0.05741953,0.0,9744870.0,0.15434,0.97632,0.77487,0.10585,13.94924,0.05941424,0.0,9744870.0,0.1622,0.97501,0.77801,0.10387,,1.0349,0.9651,1.0302,0.9698,1.0197,0.9803,0.9947,1.0053,1.0161,0.9839
4,261.87576,25504.67259,7.08463,0.04501183,0.0004,9744870.0,0.3823,0.98197,0.79618,0.11004,13.1392,0.05307123,0.0,9744870.0,0.15278,0.9773,0.81063,0.14029,13.88196,0.05566929,0.0,9744870.0,0.16142,0.97598,0.80999,0.13817,,1.0401,0.9599,1.0334,0.9666,1.0245,0.9755,1.003,0.997,1.0332,0.9668
5,257.19168,25059.50487,6.96097,0.04290161,0.0005,9744870.0,0.37546,0.98264,0.8275,0.13568,12.98598,0.05098423,0.0,9744870.0,0.151,0.97841,0.82872,0.16704,13.7014,0.05363428,0.0,9744870.0,0.15932,0.97722,0.8265,0.15982,,1.0468,0.9532,1.0407,0.9593,1.0318,0.9682,1.0239,0.9761,1.0775,0.9225
6,259.96873,24704.93977,6.86248,0.04116787,0.00049986,9744870.0,0.37952,0.98324,0.8452,0.15949,13.2691,0.05007405,0.0,9744870.0,0.15429,0.97858,0.8393,0.1853,13.9406,0.05233085,0.0,9744870.0,0.1621,0.97742,0.8384,0.17926,,1.0522,0.9478,1.0549,0.9451,1.0481,0.9519,1.0621,0.9379,1.1492,0.8508
7,257.65571,24347.42402,6.76317,0.03987996,0.00049945,9744870.0,0.37614,0.9836,0.85737,0.17893,12.94915,0.05049804,0.0,9744870.0,0.15057,0.97811,0.85019,0.19461,13.75274,0.05270193,0.0,9744870.0,0.15992,0.97684,0.84679,0.18899,,1.0578,0.9422,1.0747,0.9253,1.0713,0.9287,1.1143,0.8857,1.2268,0.7732
8,258.68622,24022.51902,6.67292,0.03885548,0.00049877,9744870.0,0.37764,0.98407,0.86744,0.19748,13.05841,0.0485853,0.0,9744870.0,0.15184,0.97947,0.85793,0.20546,13.80685,0.05077891,0.0,9744870.0,0.16054,0.97799,0.85433,0.20407,,1.0655,0.9345,1.104,0.896,1.1078,0.8922,1.1797,0.8203,1.2981,0.7019
9,258.26462,23707.06337,6.5853,0.03794535,0.00049782,9744870.0,0.37703,0.98435,0.87407,0.21525,12.99561,0.0475653,0.0,9744870.0,0.15111,0.98008,0.86199,0.21995,13.65945,0.04979563,0.0,9744870.0,0.15883,0.97871,0.85908,0.21719,,1.078,0.922,1.146,0.854,1.1572,0.8428,1.2558,0.7442,1.3596,0.6404
