epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,471.30735,46659.42762,12.96095,0.69895168,0.0,9744870.0,0.68804,0.50208,0.5089,0.02055,19.17033,0.69494623,0.0,9744870.0,0.22291,0.52127,0.5018,0.02399,18.24498,0.69510616,0.0,9744870.0,0.21215,0.52274,0.50432,0.02532,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,259.84548,35826.48861,9.9518,0.336556,0.0001,9744870.0,0.37934,0.92022,0.54046,0.02983,13.19243,0.13332871,0.0,9744870.0,0.1534,0.97205,0.61231,0.04308,13.96738,0.13106686,0.0,9744870.0,0.16241,0.9705,0.60844,0.04539,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,259.23767,32022.62615,8.89517,0.068907,0.0002,9744870.0,0.37845,0.97982,0.62745,0.04397,15.01786,0.0640557,0.0,9744870.0,0.17463,0.97636,0.71414,0.07352,13.8946,0.0656038,0.0,9744870.0,0.16157,0.9748,0.71134,0.07813,,1.0288,0.9712,1.013,0.987,0.9991,1.0009,0.9843,1.0157,0.9967,1.0033
3,260.52029,30021.85885,8.33941,0.04961661,0.0003,9744870.0,0.38032,0.98102,0.7286,0.07571,13.25141,0.05656238,0.0,9744870.0,0.15409,0.97644,0.76874,0.10712,13.95726,0.05907127,0.0,9744870.0,0.16229,0.97501,0.76486,0.10357,,1.0403,0.9597,1.0205,0.9795,1.0052,0.9948,0.9993,1.0007,1.0167,0.9833
4,262.39202,28752.75338,7.98688,0.04527922,0.0004,9744870.0,0.38305,0.98193,0.78928,0.10696,13.2235,0.05397209,0.0,9744870.0,0.15376,0.97644,0.80758,0.13427,13.93613,0.05648816,0.0,9744870.0,0.16205,0.9751,0.80664,0.13324,,1.0437,0.9563,1.0286,0.9714,1.0116,0.9884,1.0118,0.9882,1.0401,0.9599
5,259.82255,27778.96401,7.71638,0.04307798,0.0005,9744870.0,0.3793,0.98266,0.82255,0.13288,13.26477,0.05442859,0.0,9744870.0,0.15424,0.97727,0.82322,0.15676,13.95857,0.05638353,0.0,9744870.0,0.16231,0.97573,0.8205,0.15256,,1.0491,0.9509,1.0346,0.9654,1.0174,0.9826,1.0293,0.9707,1.0855,0.9145
6,258.96406,26997.75948,7.49938,0.04133991,0.00049986,9744870.0,0.37805,0.98323,0.84357,0.15536,13.28627,0.05155474,0.0,9744870.0,0.15449,0.97793,0.84094,0.17382,13.96143,0.05388434,0.0,9744870.0,0.16234,0.97647,0.83583,0.16715,,1.0556,0.9444,1.0451,0.9549,1.0287,0.9713,1.0644,0.9356,1.1514,0.8486
7,261.65392,26378.04839,7.32724,0.04002454,0.00049945,9744870.0,0.38198,0.98366,0.85694,0.17723,13.18811,0.04918207,0.0,9744870.0,0.15335,0.97899,0.85397,0.1953,13.97464,0.05166705,0.0,9744870.0,0.1625,0.97708,0.84888,0.1827,,1.0616,0.9384,1.0578,0.9422,1.0455,0.9545,1.1129,0.8871,1.2152,0.7848
8,258.12244,25802.1984,7.16728,0.03903935,0.00049877,9744870.0,0.37682,0.98399,0.86599,0.19181,13.25364,0.04922846,0.0,9744870.0,0.15411,0.97914,0.85802,0.20005,13.9202,0.05162165,0.0,9744870.0,0.16186,0.97757,0.85226,0.19793,,1.0691,0.9309,1.0764,0.9236,1.0713,0.9287,1.1807,0.8193,1.2719,0.7281
9,260.12381,25307.90625,7.02997,0.03820415,0.00049782,9744870.0,0.37974,0.98424,0.87298,0.20985,13.22431,0.04795623,0.0,9744870.0,0.15377,0.97967,0.86162,0.21242,13.93713,0.05039252,0.0,9744870.0,0.16206,0.97828,0.85728,0.20345,,1.079,0.921,1.1026,0.8974,1.1102,0.8898,1.2628,0.7372,1.3253,0.6747
10,257.04837,24831.30705,6.89759,0.03738055,0.00049659,9744870.0,0.37525,0.98457,0.87911,0.22539,13.25656,0.04692166,0.0,9744870.0,0.15415,0.97992,0.8659,0.21653,13.91439,0.04909459,0.0,9744870.0,0.1618,0.9787,0.86174,0.21672,,1.0957,0.9043,1.1422,0.8578,1.1624,0.8376,1.3367,0.6633,1.3681,0.6319
11,260.18837,24414.32633,6.78176,0.0366153,0.00049509,9744870.0,0.37984,0.98487,0.88413,0.24144,13.1797,0.04721918,0.0,9744870.0,0.15325,0.97942,0.86753,0.22351,13.92767,0.04953854,0.0,9744870.0,0.16195,0.97802,0.86196,0.22284,,1.1147,0.8853,1.1948,0.8052,1.2291,0.7709,1.4075,0.5925,1.4078,0.5922
12,260.15172,24021.22228,6.67256,0.03593209,0.00049333,9744870.0,0.37978,0.98516,0.88886,0.25663,13.20799,0.0460701,0.0,9744870.0,0.15358,0.97993,0.87184,0.23454,13.87558,0.04834166,0.0,9744870.0,0.16134,0.97856,0.86737,0.23361,,1.1349,0.8651,1.2575,0.7425,1.3071,0.6929,1.4659,0.5341,1.4458,0.5542
13,259.2,23641.26513,6.56702,0.03526084,0.0004913,9744870.0,0.37839,0.98546,0.89426,0.27053,13.21614,0.04643094,0.0,9744870.0,0.15368,0.98006,0.87321,0.23436,13.92912,0.0486295,0.0,9744870.0,0.16197,0.97869,0.86718,0.23495,,1.1586,0.8414,1.3294,0.6706,1.3732,0.6268,1.5083,0.4917,1.4795,0.5205
14,260.32627,23283.79111,6.46772,0.0346156,0.00048901,9744870.0,0.38004,0.98568,0.89821,0.28366,13.22803,0.04551186,0.0,9744870.0,0.15381,0.98046,0.87397,0.2492,13.93911,0.04773251,0.0,9744870.0,0.16208,0.97892,0.87141,0.24525,,1.1851,0.8149,1.3922,0.6079,1.4334,0.5666,1.5386,0.4614,1.5129,0.4871
15,259.01612,22931.5823,6.36988,0.03408011,0.00048645,9744870.0,0.37813,0.98591,0.90272,0.29662,13.19925,0.04495495,0.0,9744870.0,0.15348,0.98087,0.87697,0.25827,13.95239,0.04727457,0.0,9744870.0,0.16224,0.97928,0.87324,0.24849,,1.2128,0.7872,1.4514,0.5486,1.4835,0.5165,1.5592,0.4408,1.5315,0.4685
16,260.37428,22596.96834,6.27694,0.0335485,0.00048364,9744870.0,0.38011,0.98613,0.90562,0.30971,13.24551,0.04631977,0.0,9744870.0,0.15402,0.97963,0.87751,0.26213,13.94926,0.04847489,0.0,9744870.0,0.1622,0.97837,0.87262,0.25493,,1.2354,0.7646,1.4995,0.5005,1.5244,0.4756,1.5835,0.4165,1.5512,0.4487
17,260.08734,22269.29607,6.18592,0.03305097,0.00048057,9744870.0,0.37969,0.98633,0.90872,0.32192,13.16671,0.04473342,0.0,9744870.0,0.1531,0.98053,0.88052,0.2584,13.94137,0.04696324,0.0,9744870.0,0.16211,0.97949,0.87628,0.25521,,1.2575,0.7425,1.5331,0.4669,1.5479,0.4521,1.5982,0.4018,1.5718,0.4282
18,259.82276,21947.61005,6.09656,0.03255863,0.00047725,9744870.0,0.3793,0.98652,0.91314,0.33352,13.26036,0.04587344,0.0,9744870.0,0.15419,0.98012,0.87984,0.26357,13.91004,0.04797836,0.0,9744870.0,0.16174,0.97901,0.87459,0.25751,,1.2775,0.7225,1.5591,0.4409,1.579,0.421,1.6065,0.3935,1.5862,0.4138
19,259.18443,21629.55702,6.00821,0.0320999,0.00047368,9744870.0,0.37837,0.98663,0.91536,0.34711,13.2413,0.04431681,0.0,9744870.0,0.15397,0.98103,0.88137,0.27237,13.9215,0.04647808,0.0,9744870.0,0.16188,0.97974,0.87764,0.26549,,1.298,0.7019,1.5824,0.4176,1.5973,0.4027,1.616,0.384,1.6034,0.3966
20,257.58079,21311.07777,5.91974,0.03173406,0.00046987,9744870.0,0.37603,0.98684,0.91839,0.35573,13.16547,0.04474271,0.0,9744870.0,0.15309,0.98083,0.88124,0.26775,13.95748,0.04674074,0.0,9744870.0,0.1623,0.97969,0.87821,0.26933,,1.3133,0.6867,1.5958,0.4042,1.6163,0.3837,1.6184,0.3816,1.6161,0.3839
21,259.89334,21006.3338,5.83509,0.03137074,0.00046581,9744870.0,0.37941,0.98699,0.92092,0.36696,13.2463,0.04401985,0.0,9744870.0,0.15403,0.98146,0.88329,0.27462,13.89194,0.04621541,0.0,9744870.0,0.16153,0.98026,0.87917,0.27271,,1.3276,0.6724,1.6115,0.3885,1.6312,0.3688,1.6223,0.3777,1.6218,0.3782
22,260.24181,20706.65652,5.75185,0.0309496,0.00046152,9744870.0,0.37992,0.98714,0.92323,0.37521,13.24725,0.04493731,0.0,9744870.0,0.15404,0.98057,0.88139,0.27531,13.91941,0.04729898,0.0,9744870.0,0.16185,0.97916,0.87764,0.26683,,1.3411,0.6589,1.6306,0.3694,1.6434,0.3566,1.6261,0.3739,1.6332,0.3668
23,260.42151,20410.83457,5.66968,0.03063774,0.000457,9744870.0,0.38018,0.98731,0.92555,0.38248,13.2338,0.0442209,0.0,9744870.0,0.15388,0.98092,0.88543,0.28161,13.96516,0.04644652,0.0,9744870.0,0.16239,0.97977,0.87948,0.2757,,1.3563,0.6436,1.6422,0.3578,1.6528,0.3472,1.6277,0.3723,1.644,0.356
24,263.39857,20126.77583,5.59077,0.03029333,0.00045225,9744870.0,0.38452,0.98738,0.92841,0.39121,13.23933,0.04361335,0.0,9744870.0,0.15395,0.98115,0.88563,0.28728,13.94213,0.04582408,0.0,9744870.0,0.16212,0.98007,0.88128,0.27858,,1.3693,0.6307,1.6493,0.3507,1.6548,0.3453,1.6282,0.3718,1.6491,0.3509
25,261.23782,19838.15651,5.5106,0.02997478,0.00044729,9744870.0,0.38137,0.98756,0.93031,0.40275,13.22317,0.04386356,0.0,9744870.0,0.15376,0.9814,0.88308,0.28321,15.81074,0.04613644,0.0,9744870.0,0.18385,0.98004,0.88044,0.27579,,1.3805,0.6195,1.6709,0.3291,1.6622,0.3378,1.6289,0.3711,1.6576,0.3424
26,259.53903,19546.97243,5.42971,0.02965659,0.0004421,9744870.0,0.37889,0.98773,0.93214,0.40887,13.21548,0.04443616,0.0,9744870.0,0.15367,0.98107,0.88295,0.28395,13.92384,0.04656869,0.0,9744870.0,0.16191,0.97996,0.8804,0.27651,,1.3958,0.6042,1.6758,0.3242,1.6699,0.3301,1.6316,0.3684,1.6629,0.3371
27,259.47876,19257.89373,5.34941,0.02939419,0.00043671,9744870.0,0.3788,0.98775,0.93394,0.41504,13.19264,0.04391171,0.0,9744870.0,0.1534,0.98136,0.88374,0.291,13.9388,0.04609096,0.0,9744870.0,0.16208,0.98019,0.87899,0.28557,,1.4013,0.5987,1.6757,0.3243,1.6733,0.3267,1.6323,0.3677,1.6716,0.3284
28,258.30552,18967.98397,5.26888,0.02906937,0.00043111,9744870.0,0.37709,0.9879,0.93614,0.4262,13.24923,0.04390362,0.0,9744870.0,0.15406,0.9816,0.88327,0.2903,13.92137,0.04610043,0.0,9744870.0,0.16188,0.98033,0.87983,0.28143,,1.4167,0.5833,1.6836,0.3164,1.6768,0.3232,1.6317,0.3683,1.68,0.32
29,260.19112,18684.58091,5.19016,0.02877455,0.00042531,9744870.0,0.37984,0.98805,0.93785,0.43306,13.21042,0.04381806,0.0,9744870.0,0.15361,0.98139,0.88691,0.29222,13.94238,0.04586588,0.0,9744870.0,0.16212,0.98021,0.88151,0.28811,,1.4242,0.5758,1.687,0.313,1.6832,0.3168,1.629,0.371,1.6802,0.3198
30,258.72575,18399.41375,5.11095,0.02853009,0.00041932,9744870.0,0.3777,0.98818,0.93998,0.44053,13.23966,0.04411813,0.0,9744870.0,0.15395,0.9813,0.88523,0.29104,15.77429,0.04617195,0.0,9744870.0,0.18342,0.98031,0.88019,0.2864,,1.4311,0.5689,1.691,0.309,1.6807,0.3193,1.6278,0.3722,1.6851,0.3149
31,257.66248,18113.63973,5.03157,0.02820099,0.00041315,9744870.0,0.37615,0.98824,0.94155,0.44713,13.21253,0.04381879,0.0,9744870.0,0.15363,0.98132,0.88421,0.29076,13.98038,0.04587633,0.0,9744870.0,0.16256,0.98018,0.88046,0.28566,,1.4473,0.5526,1.6947,0.3053,1.6818,0.3182,1.6224,0.3776,1.6869,0.3131
32,260.17477,17834.67016,4.95408,0.02800343,0.00040679,9744870.0,0.37982,0.98843,0.94283,0.45266,13.24621,0.04468118,0.0,9744870.0,0.15403,0.98098,0.88422,0.29235,13.94498,0.04687342,0.0,9744870.0,0.16215,0.97966,0.88061,0.28172,,1.457,0.543,1.6946,0.3054,1.6864,0.3136,1.6264,0.3736,1.6897,0.3103
33,258.78899,17554.11612,4.87614,0.02772366,0.00040027,9744870.0,0.37779,0.98845,0.94454,0.46088,13.26888,0.04409282,0.0,9744870.0,0.15429,0.98162,0.88317,0.29342,13.92987,0.04637357,0.0,9744870.0,0.16198,0.98032,0.87863,0.28075,,1.4651,0.5349,1.6974,0.3027,1.6819,0.3181,1.6258,0.3742,1.6926,0.3074
34,260.54173,17278.06088,4.79946,0.02748191,0.00039358,9744870.0,0.38035,0.98852,0.94645,0.46528,13.26177,0.04440359,0.0,9744870.0,0.15421,0.98144,0.8824,0.29092,13.94418,0.04657807,0.0,9744870.0,0.16214,0.98008,0.8795,0.28232,,1.4684,0.5316,1.7057,0.2943,1.6896,0.3104,1.6259,0.3741,1.6922,0.3078
35,258.48209,16999.20593,4.722,0.02725624,0.00038674,9744870.0,0.37735,0.98863,0.94818,0.47238,13.22104,0.04488908,0.0,9744870.0,0.15373,0.98081,0.88391,0.29209,15.72742,0.04721168,0.0,9744870.0,0.18288,0.97951,0.87934,0.28348,,1.4722,0.5278,1.7082,0.2918,1.6944,0.3056,1.6196,0.3804,1.6968,0.3032
36,259.95975,16723.96822,4.64555,0.02698538,0.00037974,9744870.0,0.3795,0.98881,0.9498,0.48102,13.22854,0.04430519,0.0,9744870.0,0.15382,0.98107,0.88234,0.29004,13.98473,0.04653174,0.0,9744870.0,0.16261,0.97994,0.87942,0.28221,,1.4773,0.5227,1.7135,0.2865,1.6921,0.3079,1.6264,0.3736,1.699,0.301
37,260.49646,16450.41031,4.56956,0.02676309,0.00037261,9744870.0,0.38029,0.98884,0.95107,0.48682,13.22748,0.04432486,0.0,9744870.0,0.15381,0.98152,0.8832,0.29419,13.91375,0.04675845,0.0,9744870.0,0.16179,0.98056,0.87627,0.28793,,1.4829,0.5171,1.7178,0.2822,1.6918,0.3082,1.6214,0.3786,1.6984,0.3016
38,258.81731,16174.89584,4.49303,0.02653876,0.00036534,9744870.0,0.37784,0.989,0.95215,0.49588,13.23367,0.04490298,0.0,9744870.0,0.15388,0.98076,0.8843,0.29699,13.9201,0.04721398,0.0,9744870.0,0.16186,0.97966,0.87993,0.28792,,1.4863,0.5137,1.7199,0.2801,1.695,0.305,1.6194,0.3806,1.6996,0.3004
39,260.00686,15902.00057,4.41722,0.02631956,0.00035794,9744870.0,0.37957,0.98905,0.95352,0.49982,13.1899,0.04452639,0.0,9744870.0,0.15337,0.98103,0.88341,0.29633,13.96534,0.04714997,0.0,9744870.0,0.16239,0.97982,0.87775,0.2879,,1.4919,0.5081,1.7253,0.2747,1.6963,0.3037,1.6138,0.3862,1.6947,0.3053
40,258.36151,15627.3663,4.34094,0.02605005,0.00035042,9744870.0,0.37717,0.98917,0.95505,0.50602,13.23801,0.04443748,0.0,9744870.0,0.15393,0.98144,0.88335,0.29791,15.62244,0.04675407,0.0,9744870.0,0.18166,0.98016,0.87923,0.28868,,1.4951,0.5049,1.7241,0.2759,1.6992,0.3008,1.6083,0.3917,1.698,0.302
