epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,310.33863,30723.52439,8.53431,0.69717007,0.0,9744870.0,0.45305,0.50256,0.49723,0.02132,17.32869,0.69970762,0.0,9744870.0,0.2015,0.48734,0.50008,0.0252,19.66895,0.70106437,0.0,9744870.0,0.22871,0.48708,0.49393,0.02647,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,255.34635,27718.56399,7.6996,0.33486998,0.0001,9744870.0,0.37277,0.92136,0.54329,0.02978,12.86171,0.13542596,0.0,9744870.0,0.14955,0.97022,0.62159,0.04295,13.5604,0.14225638,0.0,9744870.0,0.15768,0.9685,0.6159,0.04343,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,255.25591,26543.75554,7.37327,0.06947992,0.0002,9744870.0,0.37264,0.97938,0.62602,0.0426,13.0842,0.06117956,0.0,9744870.0,0.15214,0.97618,0.71913,0.07755,13.72924,0.06431044,0.0,9744870.0,0.15964,0.97448,0.71688,0.07645,,1.0285,0.9715,1.0038,0.9962,0.9975,1.0025,0.9927,1.0073,0.9966,1.0034
3,259.06896,25920.23655,7.20007,0.0490482,0.0003,9744870.0,0.3782,0.98107,0.73292,0.07747,13.42115,0.05641519,0.0,9744870.0,0.15606,0.97679,0.77084,0.10367,14.02702,0.05887286,0.0,9744870.0,0.1631,0.97548,0.77286,0.11032,,1.0424,0.9576,1.0125,0.9875,1.008,0.992,1.005,0.995,1.0179,0.9821
4,261.53366,25489.32674,7.08037,0.04538911,0.0004,9744870.0,0.3818,0.98175,0.79025,0.1056,13.62539,0.05313976,0.0,9744870.0,0.15843,0.97685,0.80875,0.13918,14.25587,0.05571628,0.0,9744870.0,0.16577,0.97572,0.80725,0.14235,,1.0474,0.9526,1.014,0.986,1.0156,0.9844,1.0161,0.9839,1.0377,0.9623
5,260.31222,25095.73985,6.97104,0.04320923,0.0005,9744870.0,0.38002,0.98246,0.82296,0.13038,13.18776,0.05292754,0.0,9744870.0,0.15335,0.97691,0.81879,0.16054,13.86772,0.05552222,0.0,9744870.0,0.16125,0.97554,0.81724,0.15632,,1.0546,0.9454,1.0222,0.9778,1.0248,0.9752,1.0369,0.9631,1.0834,0.9166
6,259.46533,24728.97986,6.86916,0.04142266,0.00049986,9744870.0,0.37878,0.98313,0.84314,0.15499,13.17012,0.05399895,0.0,9744870.0,0.15314,0.97718,0.83807,0.17581,13.75752,0.05604434,0.0,9744870.0,0.15997,0.97566,0.83809,0.16839,,1.0641,0.9359,1.0343,0.9657,1.0402,0.9598,1.0717,0.9283,1.1563,0.8437
7,256.86915,24359.18746,6.76644,0.04009229,0.00049945,9744870.0,0.37499,0.98367,0.85599,0.1767,13.28051,0.04921903,0.0,9744870.0,0.15442,0.97899,0.85347,0.19245,13.88378,0.05150046,0.0,9744870.0,0.16144,0.97757,0.85152,0.18976,,1.0719,0.9281,1.0506,0.9494,1.0647,0.9353,1.1188,0.8812,1.2303,0.7697
8,259.76754,24043.79511,6.67883,0.03903186,0.00049877,9744870.0,0.37922,0.98397,0.86526,0.19422,13.15245,0.04802696,0.0,9744870.0,0.15294,0.97939,0.85655,0.20425,13.76189,0.05024707,0.0,9744870.0,0.16002,0.97817,0.85456,0.1971,,1.0808,0.9192,1.0749,0.9251,1.0963,0.9037,1.1814,0.8186,1.3008,0.6992
9,256.01159,23705.72414,6.58492,0.03809011,0.00049782,9744870.0,0.37374,0.98429,0.87208,0.21158,13.12798,0.04795932,0.0,9744870.0,0.15265,0.97975,0.86106,0.22208,15.49008,0.0501232,0.0,9744870.0,0.18012,0.97851,0.85888,0.21529,,1.0936,0.9064,1.1056,0.8944,1.1432,0.8568,1.2575,0.7425,1.3592,0.6408
