epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,311.3037,30819.06646,8.56085,0.69651369,0.0,9744870.0,0.45446,0.4982,0.49385,0.01991,18.94113,0.69366707,0.0,9744870.0,0.22025,0.50822,0.48133,0.02415,20.81531,0.69421496,0.0,9744870.0,0.24204,0.50831,0.49483,0.02598,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,264.05321,28192.48852,7.83125,0.34118207,0.0001,9744870.0,0.38548,0.92125,0.54195,0.02967,13.39785,0.11563621,0.0,9744870.0,0.15579,0.97435,0.6087,0.04404,14.11819,0.11986304,0.0,9744870.0,0.16417,0.97274,0.60609,0.0452,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,260.3607,27021.53617,7.50598,0.06886426,0.0002,9744870.0,0.38009,0.97951,0.6277,0.04285,13.41433,0.0626875,0.0,9744870.0,0.15598,0.97572,0.72263,0.07579,14.07544,0.06454244,0.0,9744870.0,0.16367,0.97419,0.71813,0.07993,,1.0279,0.9721,0.9979,1.0021,1.0059,0.9941,0.9967,1.0033,0.9915,1.0085
3,263.69942,26386.00882,7.32945,0.04906662,0.0003,9744870.0,0.38496,0.98074,0.7272,0.07693,13.54669,0.05612859,0.0,9744870.0,0.15752,0.97687,0.77346,0.10864,14.22382,0.0586853,0.0,9744870.0,0.16539,0.97529,0.77491,0.11194,,1.0363,0.9637,1.0039,0.9961,1.014,0.986,1.0085,0.9915,1.0075,0.9925
4,261.63565,25860.00097,7.18333,0.04534839,0.0004,9744870.0,0.38195,0.98173,0.79,0.10649,13.3929,0.05356922,0.0,9744870.0,0.15573,0.97669,0.80997,0.14001,14.05609,0.05625677,0.0,9744870.0,0.16344,0.97545,0.80817,0.1383,,1.0395,0.9605,1.0056,0.9944,1.022,0.978,1.024,0.976,1.0294,0.9706
5,261.84305,25425.36652,7.0626,0.04315394,0.0005,9744870.0,0.38225,0.98243,0.82217,0.13051,13.33746,0.05283392,0.0,9744870.0,0.15509,0.97704,0.82179,0.15203,14.11613,0.05535589,0.0,9744870.0,0.16414,0.97585,0.82152,0.14869,,1.0445,0.9555,1.0101,0.9899,1.0316,0.9684,1.0464,0.9536,1.0724,0.9276
6,264.32392,25073.06107,6.96474,0.04135311,0.00049986,9744870.0,0.38587,0.9832,0.84271,0.15648,13.42977,0.05118494,0.0,9744870.0,0.15616,0.97767,0.83422,0.17644,14.12919,0.05372398,0.0,9744870.0,0.16429,0.97643,0.83342,0.16415,,1.051,0.949,1.0178,0.9821,1.0496,0.9504,1.0889,0.9111,1.1383,0.8617
7,261.88817,24714.73999,6.86521,0.0400699,0.00049945,9744870.0,0.38232,0.98363,0.85604,0.17718,14.10898,0.05001273,0.0,9744870.0,0.16406,0.97861,0.84647,0.18769,14.81077,0.05226665,0.0,9744870.0,0.17222,0.97727,0.84461,0.18235,,1.0558,0.9442,1.0288,0.9712,1.0762,0.9238,1.1496,0.8504,1.204,0.796
8,268.01872,24439.83502,6.78884,0.03908111,0.00049877,9744870.0,0.39127,0.98396,0.86511,0.1913,13.60454,0.04828052,0.0,9744870.0,0.15819,0.97975,0.85693,0.20028,14.22918,0.05038834,0.0,9744870.0,0.16546,0.97825,0.85451,0.1965,,1.0639,0.9361,1.0453,0.9547,1.117,0.883,1.2252,0.7748,1.2674,0.7326
9,260.92054,24102.4237,6.69512,0.03821401,0.00049782,9744870.0,0.38091,0.98432,0.87211,0.20807,13.38199,0.04770611,0.0,9744870.0,0.1556,0.97957,0.8603,0.21281,15.92971,0.04992568,0.0,9744870.0,0.18523,0.9781,0.85755,0.20316,,1.0723,0.9277,1.0686,0.9314,1.1708,0.8292,1.3067,0.6933,1.3152,0.6848
