epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,8.60467,17200.73733,4.77798,1.47387588,0.0,273977.0,0.02749,1.47388,-0.00478,0.16955,4.06272,2.01562,0.39832,1.42536879,0.0,273977.0,0.01245,1.42537,0.01154,0.21415,3.8933,1.97315,0.40627,1.55044995,0.0,273977.0,0.0127,1.55045,-0.00668,0.17304,4.09549,2.02373,
1,6.78763,15376.90449,4.27136,1.07177231,2e-05,273977.0,0.02169,1.07177,0.34879,0.71233,2.63312,1.62269,0.30373,0.7633656,0.0,273977.0,0.00949,0.76337,0.55878,0.85625,1.73786,1.31828,0.30988,0.81776912,0.0,273977.0,0.00968,0.81777,0.61327,0.85999,1.57334,1.25433,
2,6.77903,14758.71199,4.09964,0.70303161,4e-05,273977.0,0.02166,0.70303,0.64115,0.87726,1.45099,1.20457,0.30285,0.64470374,0.0,273977.0,0.00946,0.6447,0.64832,0.92264,1.38518,1.17694,0.31305,0.65619284,0.0,273977.0,0.00978,0.65619,0.72144,0.92396,1.13327,1.06455,
3,7.28909,14700.74822,4.08354,0.58732638,6e-05,273977.0,0.02329,0.58733,0.71209,0.90942,1.16411,1.07894,0.32079,0.4711054,0.0,273977.0,0.01002,0.47111,0.74025,0.94565,1.0231,1.01148,0.31799,0.49111861,0.0,273977.0,0.00994,0.49112,0.81805,0.93835,0.74024,0.86037,
4,7.34604,14685.77684,4.07938,0.53802267,8e-05,273977.0,0.02347,0.53802,0.74427,0.92506,1.03402,1.01687,0.32161,0.43970765,0.0,273977.0,0.01005,0.43971,0.75325,0.95157,0.97189,0.98585,0.3211,0.45356944,0.0,273977.0,0.01003,0.45357,0.83407,0.9461,0.67506,0.82162,
5,7.04362,14572.84207,4.04801,0.50167269,0.0001,273977.0,0.0225,0.50167,0.75896,0.93338,0.97464,0.98724,0.31472,0.49967752,0.0,273977.0,0.00984,0.49968,0.72961,0.95311,1.06499,1.03198,0.30448,0.49646762,0.0,273977.0,0.00951,0.49647,0.82296,0.95364,0.72026,0.84868,
6,6.85539,14436.57014,4.01016,0.48867684,0.00012,273977.0,0.0219,0.48868,0.76635,0.93738,0.94475,0.97198,0.30463,0.40890756,0.0,273977.0,0.00952,0.40891,0.77646,0.95892,0.88048,0.93834,0.30369,0.39534857,0.0,273977.0,0.00949,0.39535,0.87829,0.95928,0.49515,0.70367,
7,6.81466,14322.51158,3.97848,0.47152196,0.00014,273977.0,0.02177,0.47152,0.78004,0.94154,0.88938,0.94307,0.30444,0.39279724,0.0,273977.0,0.00951,0.3928,0.77277,0.96711,0.89499,0.94604,0.30143,0.4061122,0.0,273977.0,0.00942,0.40611,0.87584,0.96535,0.50511,0.71071,
8,6.83099,14235.89735,3.95442,0.44363645,0.00016,273977.0,0.02182,0.44364,0.79647,0.94759,0.82296,0.90717,0.30672,0.46086321,0.0,273977.0,0.00958,0.46086,0.76105,0.96224,0.94115,0.97013,0.30422,0.44104752,0.0,273977.0,0.00951,0.44105,0.88517,0.96201,0.46717,0.6835,
9,6.79803,14158.68045,3.93297,0.43439346,0.00018,273977.0,0.02172,0.43439,0.80109,0.95058,0.80428,0.89682,0.3023,0.40485022,0.0,273977.0,0.00945,0.40485,0.78387,0.96168,0.85128,0.92265,0.30107,0.37713562,0.0,273977.0,0.00941,0.37714,0.90564,0.96326,0.3839,0.6196,
