epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
18,6.85768,16329.49017,4.53597,0.34004257,0.00036,273977.0,0.02191,0.34004,0.83757,0.96826,0.65676,0.81041,0.30206,0.33607759,0.0,273977.0,0.00944,0.33608,0.80582,0.97643,0.76483,0.87454,0.29846,0.30541749,0.0,273977.0,0.00933,0.30542,0.93067,0.97528,0.28206,0.5311,
19,6.86432,16184.75217,4.49576,0.34025305,0.00038,273977.0,0.02193,0.34025,0.83775,0.96832,0.65603,0.80996,0.30251,0.37223237,0.0,273977.0,0.00945,0.37223,0.8012,0.98043,0.78303,0.88489,0.30134,0.3425274,0.0,273977.0,0.00942,0.34253,0.92609,0.98012,0.30068,0.54834,
20,6.86517,16053.2254,4.45923,0.33704797,0.0004,273977.0,0.02193,0.33705,0.83753,0.96911,0.65693,0.81051,0.30684,0.35796161,0.0,273977.0,0.00959,0.35796,0.79413,0.97034,0.81088,0.90049,0.30242,0.32366506,0.0,273977.0,0.00945,0.32367,0.89274,0.96845,0.43638,0.66059,
21,6.89514,15935.72562,4.42659,0.33615581,0.00042,273977.0,0.02203,0.33616,0.83609,0.96853,0.66275,0.81409,0.30515,0.34484517,0.0,273977.0,0.00954,0.34485,0.79758,0.97746,0.7973,0.89292,0.30943,0.32179535,0.0,273977.0,0.00967,0.3218,0.92228,0.97583,0.31618,0.56229,
22,6.8701,15825.69162,4.39603,0.31276129,0.00044,273977.0,0.02195,0.31276,0.8412,0.97206,0.6421,0.80131,0.30325,0.2714387,0.0,273977.0,0.00948,0.27144,0.82535,0.97831,0.6879,0.8294,0.30256,0.23416566,0.0,273977.0,0.00946,0.23417,0.94131,0.97872,0.23878,0.48865,
23,6.86061,15723.47292,4.36763,0.31047331,0.00046,273977.0,0.02192,0.31047,0.8454,0.97274,0.62511,0.79064,0.30266,0.32113318,0.0,273977.0,0.00946,0.32113,0.80024,0.98188,0.78681,0.88702,0.30122,0.29035675,0.0,273977.0,0.00941,0.29036,0.9301,0.98144,0.28439,0.53329,
24,6.84646,15627.76517,4.34105,0.32252217,0.00048,273977.0,0.02187,0.32252,0.83637,0.96996,0.66162,0.8134,0.30308,0.33239921,0.0,273977.0,0.00947,0.3324,0.82306,0.97697,0.69694,0.83483,0.3015,0.30627178,0.0,273977.0,0.00942,0.30627,0.9404,0.97695,0.24247,0.49241,
25,6.90777,15543.54835,4.31765,0.30659319,0.0005,273977.0,0.02207,0.30659,0.84158,0.9719,0.64054,0.80034,0.30669,0.29481758,0.0,273977.0,0.00958,0.29482,0.81156,0.97899,0.7422,0.86151,0.30402,0.26666026,0.0,273977.0,0.0095,0.26666,0.9293,0.97816,0.28761,0.5363,
26,6.8693,15462.24676,4.29507,0.31584607,0.00052,273977.0,0.02195,0.31585,0.83996,0.97209,0.64709,0.80442,0.302,0.34763448,0.0,273977.0,0.00944,0.34763,0.80221,0.98365,0.77903,0.88263,0.30057,0.32323387,0.0,273977.0,0.00939,0.32323,0.92312,0.9817,0.31277,0.55926,
27,6.83194,15383.6307,4.27323,0.31136836,0.00054,273977.0,0.02183,0.31137,0.84082,0.97146,0.64364,0.80227,0.30038,0.29186302,0.0,273977.0,0.00939,0.29186,0.81048,0.97339,0.74646,0.86398,0.2989,0.25726747,0.0,273977.0,0.00934,0.25727,0.93154,0.97733,0.27853,0.52776,
