epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,16.69713,33377.55374,9.27154,1.8139026,0.0,273977.0,0.05335,1.8139,-0.2963,-0.06159,5.24146,2.28942,0.44425,1.75521694,0.0,273977.0,0.01388,1.75522,-0.27516,-0.05418,5.02255,2.2411,0.42201,1.85519899,0.0,273977.0,0.01319,1.8552,-0.27083,-0.0471,5.17011,2.27379,
1,13.52682,30193.72,8.38714,1.00913766,2e-05,273977.0,0.04322,1.00914,0.42036,0.70049,2.34372,1.53092,0.31857,0.76440451,0.0,273977.0,0.00996,0.7644,0.56269,0.84589,1.72247,1.31243,0.32378,0.84288496,0.0,273977.0,0.01012,0.84289,0.60173,0.83733,1.62027,1.2729,
2,13.49607,29102.95272,8.08415,0.73117155,4e-05,273977.0,0.04312,0.73117,0.62786,0.85285,1.5047,1.22666,0.31975,0.64278454,0.0,273977.0,0.00999,0.64278,0.63639,0.90128,1.43218,1.19674,0.33174,0.67593494,0.0,273977.0,0.01037,0.67593,0.71201,0.90288,1.17163,1.08242,
3,13.24654,28426.3097,7.8962,0.61353047,6e-05,273977.0,0.04232,0.61353,0.70379,0.89994,1.19768,1.09439,0.32796,0.53723864,0.0,273977.0,0.01025,0.53724,0.70937,0.93289,1.14471,1.06991,0.3334,0.54676476,0.0,273977.0,0.01042,0.54676,0.79335,0.93167,0.84071,0.9169,
4,13.20441,27998.21216,7.77728,0.54906218,8e-05,273977.0,0.04219,0.54906,0.7362,0.91705,1.06666,1.03279,0.32812,0.47890757,0.0,273977.0,0.01025,0.47891,0.75021,0.94838,0.98385,0.99189,0.3345,0.47220205,0.0,273977.0,0.01045,0.4722,0.83534,0.94376,0.6699,0.81848,
5,13.18427,27701.72044,7.69492,0.52078321,0.0001,273977.0,0.04212,0.52078,0.75964,0.92708,0.97187,0.98583,0.32949,0.53280911,0.0,273977.0,0.0103,0.53281,0.72623,0.94947,1.0783,1.03841,0.33312,0.52150969,0.0,273977.0,0.01041,0.52151,0.82856,0.94975,0.69749,0.83516,
6,13.09491,27460.73109,7.62798,0.50577785,0.00012,273977.0,0.04184,0.50578,0.76976,0.93095,0.93095,0.96486,0.32861,0.45180882,0.0,273977.0,0.01027,0.45181,0.77476,0.95078,0.88715,0.94189,0.34238,0.43416054,0.0,273977.0,0.0107,0.43416,0.87312,0.95223,0.51617,0.71845,
7,13.18117,27298.19375,7.58283,0.48154267,0.00014,273977.0,0.04211,0.48154,0.78555,0.93909,0.86711,0.93119,0.32699,0.42425794,0.0,273977.0,0.01022,0.42426,0.78199,0.96107,0.85867,0.92665,0.33463,0.42950638,0.0,273977.0,0.01046,0.42951,0.8839,0.95936,0.47231,0.68725,
8,13.21483,27176.29453,7.54897,0.44866702,0.00016,273977.0,0.04222,0.44867,0.7933,0.94435,0.83577,0.91421,0.32777,0.39036362,0.0,273977.0,0.01024,0.39036,0.79558,0.96139,0.80517,0.89731,0.3333,0.3690207,0.0,273977.0,0.01042,0.36902,0.90723,0.96426,0.37741,0.61434,
9,12.99753,27032.88917,7.50914,0.43765034,0.00018,273977.0,0.04153,0.43765,0.8005,0.94894,0.80664,0.89813,0.33003,0.41200094,0.0,273977.0,0.01031,0.412,0.78633,0.96113,0.84161,0.91739,0.32606,0.39335507,0.0,273977.0,0.01019,0.39336,0.90157,0.96113,0.40045,0.63281,
10,13.11875,26935.11312,7.48198,0.4394953,0.0002,273977.0,0.04191,0.4395,0.7999,0.94898,0.80908,0.89949,0.32806,0.35916444,0.0,273977.0,0.01025,0.35916,0.79442,0.96675,0.80971,0.89984,0.32625,0.34446502,0.0,273977.0,0.0102,0.34447,0.91237,0.96497,0.35651,0.59708,
11,13.12743,26852.88423,7.45913,0.41594945,0.00022,273977.0,0.04194,0.41595,0.81025,0.95393,0.76723,0.87592,0.32879,0.3808369,0.0,273977.0,0.01027,0.38084,0.80218,0.96524,0.77915,0.8827,0.32224,0.36002928,0.0,273977.0,0.01007,0.36003,0.91511,0.96554,0.34534,0.58766,
12,13.14357,26783.75316,7.43993,0.41695528,0.00024,273977.0,0.04199,0.41696,0.81339,0.95496,0.75452,0.86863,0.3332,0.36974877,0.0,273977.0,0.01041,0.36975,0.79485,0.96669,0.80805,0.89892,0.32336,0.35148519,0.0,273977.0,0.01011,0.35149,0.90647,0.97124,0.38052,0.61686,
13,13.17808,26727.51551,7.42431,0.39763393,0.00026,273977.0,0.0421,0.39763,0.81529,0.95868,0.74685,0.86421,0.32958,0.4144645,0.0,273977.0,0.0103,0.41446,0.79699,0.96052,0.7996,0.8942,0.32307,0.37891216,0.0,273977.0,0.0101,0.37891,0.91484,0.96336,0.34646,0.58861,
14,13.26012,26687.87672,7.4133,0.37941758,0.00028,273977.0,0.04236,0.37942,0.82246,0.96185,0.71786,0.84726,0.32966,0.35397898,0.0,273977.0,0.0103,0.35398,0.80025,0.9716,0.78675,0.88699,0.32449,0.34926064,0.0,273977.0,0.01014,0.34926,0.89763,0.97154,0.41648,0.64535,
