epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,40.66247,81284.27964,22.57897,1.92672869,0.0,273977.0,0.12991,1.92673,-0.33611,0.23765,5.40244,2.32431,0.55208,1.8896749,0.0,273977.0,0.01725,1.88968,-0.35103,0.2421,5.32138,2.30681,0.42849,1.93660125,0.0,273977.0,0.01339,1.9366,-0.28446,0.30482,5.22559,2.28595,
1,12.87292,53481.85713,14.85607,1.11940142,2e-05,273977.0,0.04113,1.1194,0.38813,0.66117,2.47403,1.5729,0.31596,0.77118942,0.0,273977.0,0.00987,0.77119,0.58002,0.83585,1.65419,1.28615,0.30895,0.82398868,0.0,273977.0,0.00965,0.82399,0.6485,0.83904,1.43002,1.19584,
2,13.08391,44346.24682,12.3184,0.73131625,4e-05,273977.0,0.0418,0.73132,0.63456,0.85889,1.47763,1.21558,0.31454,0.62537907,0.0,273977.0,0.00983,0.62538,0.66416,0.90402,1.32278,1.15012,0.32298,0.62932644,0.0,273977.0,0.01009,0.62933,0.75341,0.91057,1.00321,1.0016,
3,12.9053,39682.77327,11.02299,0.60986013,6e-05,273977.0,0.04123,0.60986,0.7069,0.90392,1.1851,1.08862,0.30905,0.52230678,0.0,273977.0,0.00966,0.52231,0.7119,0.93549,1.13474,1.06524,0.31178,0.52552145,0.0,273977.0,0.00974,0.52552,0.79778,0.9372,0.8227,0.90703,
4,12.80785,36840.64733,10.23351,0.55170977,8e-05,273977.0,0.04092,0.55171,0.73891,0.92081,1.0557,1.02747,0.30912,0.47195392,0.0,273977.0,0.00966,0.47195,0.74748,0.94872,0.99462,0.99731,0.30361,0.45514167,0.0,273977.0,0.00949,0.45514,0.84868,0.94922,0.61561,0.78461,
5,12.81543,34944.14374,9.70671,0.50405623,0.0001,273977.0,0.04094,0.50406,0.76317,0.93333,0.95761,0.97858,0.31054,0.41915122,0.0,273977.0,0.0097,0.41915,0.76094,0.95539,0.94159,0.97035,0.30353,0.409963,0.0,273977.0,0.00949,0.40996,0.86997,0.95608,0.52899,0.72732,
6,12.84684,33594.78208,9.33188,0.47903489,0.00012,273977.0,0.04104,0.47903,0.77732,0.93952,0.9004,0.94889,0.30753,0.3951681,0.0,273977.0,0.00961,0.39517,0.78258,0.9566,0.85636,0.9254,0.30254,0.36425856,0.0,273977.0,0.00945,0.36426,0.90583,0.96248,0.38313,0.61897,
7,12.76093,32558.15532,9.04393,0.45745912,0.00014,273977.0,0.04077,0.45746,0.79454,0.94417,0.83076,0.91146,0.30735,0.4464439,0.0,273977.0,0.0096,0.44644,0.75847,0.96295,0.95135,0.97537,0.31058,0.42642845,0.0,273977.0,0.00971,0.42643,0.88858,0.96494,0.45329,0.67327,
8,12.84185,31766.95628,8.82415,0.43390918,0.00016,273977.0,0.04103,0.43391,0.80131,0.9495,0.80338,0.89632,0.3083,0.36346535,0.0,273977.0,0.00963,0.36347,0.79314,0.96712,0.81478,0.90265,0.30257,0.34286076,0.0,273977.0,0.00946,0.34286,0.90815,0.96746,0.37366,0.61128,
9,12.85308,31133.66326,8.64824,0.41931747,0.00018,273977.0,0.04106,0.41932,0.8089,0.95439,0.77268,0.87902,0.31036,0.39387244,0.0,273977.0,0.0097,0.39387,0.7846,0.95714,0.84841,0.92109,0.31352,0.36735787,0.0,273977.0,0.0098,0.36736,0.90763,0.9607,0.37581,0.61303,
