epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,33.80233,67570.8496,18.76968,1.61555958,0.0,273977.0,0.10799,1.61556,-0.16634,-0.29567,4.71598,2.17163,0.3998,1.59436605,0.0,273977.0,0.01249,1.59437,-0.18064,-0.3,4.65026,2.15645,0.40105,1.69508913,0.0,273977.0,0.01253,1.69509,-0.17568,-0.29166,4.783,2.18701,
1,7.64066,41401.54398,11.50043,1.15878315,2e-05,273977.0,0.02441,1.15878,0.23033,0.62438,3.11209,1.76411,0.30507,0.87604125,0.0,273977.0,0.00953,0.87604,0.43261,0.82653,2.23482,1.49493,0.30327,0.9159123,0.0,273977.0,0.00948,0.91591,0.48627,0.83955,2.09,1.44568,
2,7.64595,32676.86655,9.07691,0.76518665,4e-05,273977.0,0.02443,0.76519,0.58307,0.85883,1.6858,1.29838,0.30567,0.59219256,0.0,273977.0,0.00955,0.59219,0.66007,0.90856,1.33888,1.1571,0.30391,0.61382929,0.0,273977.0,0.0095,0.61383,0.7442,0.92047,1.04066,1.02013,
3,7.66004,28317.73712,7.86604,0.62164917,6e-05,273977.0,0.02447,0.62165,0.69408,0.8997,1.23694,1.11218,0.3066,0.50518847,0.0,273977.0,0.00958,0.50519,0.71241,0.93488,1.13273,1.0643,0.3048,0.51145937,0.0,273977.0,0.00952,0.51146,0.79791,0.9374,0.82217,0.90674,
4,7.63299,25688.40267,7.13567,0.54712717,8e-05,273977.0,0.02439,0.54713,0.73172,0.92067,1.08476,1.04152,0.30507,0.46443706,0.0,273977.0,0.00953,0.46444,0.73888,0.94559,1.02848,1.01414,0.30815,0.44675563,0.0,273977.0,0.00963,0.44676,0.83826,0.94791,0.65802,0.81119,
5,7.64329,23936.39132,6.649,0.50944529,0.0001,273977.0,0.02442,0.50945,0.76367,0.93238,0.95556,0.97753,0.30616,0.42311742,0.0,273977.0,0.00957,0.42312,0.77308,0.95461,0.8938,0.94541,0.31259,0.4032018,0.0,273977.0,0.00977,0.4032,0.87231,0.95536,0.51947,0.72074,
6,7.63011,22679.01885,6.29973,0.47974175,0.00012,273977.0,0.02438,0.47974,0.77814,0.94007,0.89706,0.94713,0.30489,0.43264772,0.0,273977.0,0.00953,0.43265,0.77372,0.95343,0.89127,0.94407,0.31109,0.41344111,0.0,273977.0,0.00972,0.41344,0.88422,0.95802,0.47101,0.68631,
7,7.63593,21735.53027,6.03765,0.45714998,0.00014,273977.0,0.0244,0.45715,0.78912,0.94505,0.85266,0.9234,0.30499,0.44703904,0.0,273977.0,0.00953,0.44704,0.76567,0.95626,0.92299,0.96072,0.30315,0.41773521,0.0,273977.0,0.00947,0.41774,0.88838,0.96179,0.4541,0.67387,
8,7.63973,21000.84936,5.83357,0.43794164,0.00016,273977.0,0.02441,0.43794,0.80108,0.9488,0.80432,0.89684,0.30516,0.35783174,0.0,273977.0,0.00954,0.35783,0.7995,0.96404,0.78974,0.88867,0.31095,0.34588672,0.0,273977.0,0.00972,0.34589,0.91035,0.96766,0.36472,0.60392,
9,7.66278,20416.16455,5.67116,0.42192155,0.00018,273977.0,0.02448,0.42192,0.80749,0.95267,0.77838,0.88226,0.30636,0.38521024,0.0,273977.0,0.00957,0.38521,0.79575,0.96363,0.80449,0.89693,0.30422,0.34417302,0.0,273977.0,0.00951,0.34417,0.91655,0.96848,0.3395,0.58266,
