epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,40.35949,80678.62559,22.41073,1.63895958,0.0,273977.0,0.12894,1.63896,-0.11377,-0.15183,4.50342,2.12213,0.87723,1.6361802,0.0,273977.0,0.02741,1.63618,-0.14962,-0.17889,4.52806,2.12792,0.4284,1.72322074,0.0,273977.0,0.01339,1.72322,-0.14067,-0.1597,4.64057,2.1542,
1,12.98897,53295.11269,14.8042,1.09796477,2e-05,273977.0,0.0415,1.09796,0.35321,0.6429,2.61522,1.61716,0.32249,0.7192051,0.0,273977.0,0.01008,0.71921,0.60505,0.85497,1.55563,1.24725,0.33015,0.7680157,0.0,273977.0,0.01032,0.76802,0.66444,0.8527,1.36516,1.1684,
2,13.03475,44189.08929,12.27475,0.69062844,4e-05,273977.0,0.04164,0.69063,0.6538,0.86857,1.39984,1.18315,0.32503,0.54332514,0.0,273977.0,0.01016,0.54333,0.69687,0.92097,1.19397,1.09269,0.31938,0.56225858,0.0,273977.0,0.00998,0.56226,0.76692,0.91968,0.94826,0.97378,
3,13.01396,39619.18917,11.00533,0.58624601,6e-05,273977.0,0.04158,0.58625,0.71455,0.9072,1.15419,1.07433,0.3227,0.49130498,0.0,273977.0,0.01008,0.4913,0.73195,0.93683,1.05579,1.02752,0.32031,0.49557482,0.0,273977.0,0.01001,0.49557,0.81389,0.93855,0.75717,0.87016,
4,13.12788,36917.49682,10.25486,0.55239719,8e-05,273977.0,0.04194,0.5524,0.73454,0.91862,1.07335,1.03602,0.32229,0.4637222,0.0,273977.0,0.01007,0.46372,0.74235,0.94661,1.01481,1.00738,0.31887,0.46760336,0.0,273977.0,0.00996,0.4676,0.82531,0.94757,0.71068,0.84302,
5,13.22192,35143.24364,9.76201,0.50889795,0.0001,273977.0,0.04224,0.5089,0.756,0.93015,0.9866,0.99328,0.32296,0.60266877,0.0,273977.0,0.01009,0.60267,0.69894,0.9515,1.18581,1.08895,0.33145,0.60346178,0.0,273977.0,0.01036,0.60346,0.78828,0.95166,0.86134,0.92808,
6,12.99546,33807.6679,9.39102,0.49158064,0.00012,273977.0,0.04152,0.49158,0.77018,0.93507,0.92926,0.96398,0.32577,0.44617745,0.0,273977.0,0.01018,0.44618,0.75112,0.95876,0.98027,0.99009,0.32795,0.44109146,0.0,273977.0,0.01025,0.44109,0.86087,0.96383,0.56601,0.75234,
7,13.23562,32862.5367,9.12848,0.45937694,0.00014,273977.0,0.04229,0.45938,0.78952,0.94406,0.85107,0.92253,0.32179,0.42793265,0.0,273977.0,0.01006,0.42793,0.77322,0.95698,0.89322,0.9451,0.3275,0.4061812,0.0,273977.0,0.01023,0.40618,0.88777,0.96096,0.4566,0.67572,
8,13.12372,32099.73889,8.91659,0.44306908,0.00016,273977.0,0.04193,0.44307,0.79563,0.94759,0.82636,0.90904,0.3227,0.42752828,0.0,273977.0,0.01008,0.42753,0.77473,0.9603,0.8873,0.94197,0.32812,0.38383159,0.0,273977.0,0.01025,0.38383,0.90545,0.96739,0.38467,0.62022,
9,13.05091,31472.38629,8.74233,0.43150319,0.00018,273977.0,0.0417,0.4315,0.80524,0.95032,0.7875,0.88741,0.32282,0.44542005,0.0,273977.0,0.01009,0.44542,0.78015,0.96654,0.86595,0.93057,0.32898,0.39121443,0.0,273977.0,0.01028,0.39121,0.90926,0.97019,0.36914,0.60757,
