epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,41.10574,82170.37345,22.8251,1.70305353,0.0,273977.0,0.13133,1.70305,-0.12014,0.13521,4.52917,2.12819,0.45239,1.70655566,0.0,273977.0,0.01414,1.70656,-0.17541,0.1004,4.62965,2.15166,0.43126,1.77720711,0.0,273977.0,0.01348,1.77721,-0.13933,0.12619,4.63514,2.15294,
1,13.04661,54098.19641,15.02728,1.22713364,2e-05,273977.0,0.04168,1.22713,0.31814,0.63149,2.75703,1.66043,0.32428,0.82967531,0.0,273977.0,0.01013,0.82968,0.57276,0.82136,1.68279,1.29723,0.3231,0.90270233,0.0,273977.0,0.0101,0.9027,0.61662,0.81153,1.5597,1.24888,
2,13.03839,44726.63187,12.42406,0.69398848,4e-05,273977.0,0.04166,0.69399,0.65821,0.86874,1.38198,1.17558,0.32447,0.56377619,0.0,273977.0,0.01014,0.56378,0.71261,0.91792,1.13197,1.06394,0.32326,0.59193986,0.0,273977.0,0.0101,0.59194,0.78206,0.91479,0.88666,0.94163,
3,12.99978,40015.06808,11.1153,0.58451433,6e-05,273977.0,0.04153,0.58451,0.72021,0.90816,1.13131,1.06363,0.32512,0.51249021,0.0,273977.0,0.01016,0.51249,0.71209,0.93433,1.13399,1.06489,0.32639,0.5362088,0.0,273977.0,0.0102,0.53621,0.79426,0.93428,0.83701,0.91488,
4,12.99471,37180.90668,10.32803,0.54790992,8e-05,273977.0,0.04152,0.54791,0.73956,0.91842,1.05305,1.02618,0.33769,0.53256631,0.0,273977.0,0.01055,0.53257,0.72732,0.9409,1.07401,1.03634,0.32492,0.53094252,0.0,273977.0,0.01015,0.53094,0.82316,0.94479,0.71945,0.8482,
5,13.16301,35343.06474,9.81752,0.52509934,0.0001,273977.0,0.04205,0.5251,0.75499,0.92631,0.99068,0.99533,0.33003,0.49663425,0.0,273977.0,0.01031,0.49663,0.72769,0.9342,1.07256,1.03564,0.32344,0.47796039,0.0,273977.0,0.01011,0.47796,0.84274,0.94151,0.6398,0.79988,
6,13.05598,33996.0871,9.44336,0.49962687,0.00012,273977.0,0.04171,0.49963,0.76673,0.93293,0.9432,0.97118,0.32694,0.53112451,0.0,273977.0,0.01022,0.53112,0.72916,0.93739,1.06676,1.03284,0.334,0.5391037,0.0,273977.0,0.01044,0.5391,0.83496,0.93929,0.67142,0.8194,
7,13.32609,33049.84677,9.18051,0.47595855,0.00014,273977.0,0.04258,0.47596,0.77568,0.93722,0.907,0.95236,0.34076,0.40762564,0.0,273977.0,0.01065,0.40763,0.78542,0.96169,0.84516,0.91933,0.33848,0.38295746,0.0,273977.0,0.01058,0.38296,0.90463,0.95936,0.388,0.62289,
8,13.21476,32286.29298,8.96841,0.46008179,0.00016,273977.0,0.04222,0.46008,0.79113,0.94292,0.84455,0.919,0.34246,0.40604052,0.0,273977.0,0.0107,0.40604,0.78601,0.95943,0.84286,0.91807,0.33997,0.37142569,0.0,273977.0,0.01062,0.37143,0.91246,0.96126,0.35613,0.59677,
9,13.27265,31684.32671,8.8012,0.43424407,0.00018,273977.0,0.0424,0.43424,0.8012,0.94946,0.80381,0.89655,0.32981,0.40113383,0.0,273977.0,0.01031,0.40113,0.78469,0.96495,0.84807,0.92091,0.33797,0.36860759,0.0,273977.0,0.01056,0.36861,0.91094,0.96912,0.36234,0.60195,
10,13.16363,31169.68324,8.65825,0.42621112,0.0002,273977.0,0.04206,0.42621,0.81021,0.95022,0.76741,0.87602,0.35499,0.40846941,0.0,273977.0,0.01109,0.40847,0.76612,0.9665,0.92121,0.9598,0.33166,0.37828542,0.0,273977.0,0.01036,0.37829,0.90204,0.96885,0.39852,0.63128,
11,13.1408,30734.83627,8.53745,0.41154162,0.00022,273977.0,0.04198,0.41154,0.8105,0.95608,0.76622,0.87534,0.33057,0.38956319,0.0,273977.0,0.01033,0.38956,0.78212,0.96939,0.85817,0.92637,0.32702,0.34630642,0.0,273977.0,0.01022,0.34631,0.91116,0.97048,0.36141,0.60117,
12,13.14565,30365.60912,8.43489,0.40333106,0.00024,273977.0,0.042,0.40333,0.81085,0.95455,0.76481,0.87454,0.33498,0.38251814,0.0,273977.0,0.01047,0.38252,0.79172,0.97056,0.82036,0.90574,0.32872,0.37497925,0.0,273977.0,0.01027,0.37498,0.90745,0.9697,0.37651,0.6136,
13,13.01662,30028.94638,8.34137,0.40185682,0.00026,273977.0,0.04159,0.40186,0.81637,0.95766,0.74251,0.86169,0.33218,0.37799208,0.0,273977.0,0.01038,0.37799,0.77508,0.97264,0.8859,0.94122,0.33018,0.35993062,0.0,273977.0,0.01032,0.35993,0.90498,0.97188,0.38655,0.62173,
14,12.90583,29720.77528,8.25577,0.39026441,0.00028,273977.0,0.04123,0.39026,0.81734,0.95899,0.73857,0.8594,0.34698,0.35336117,0.0,273977.0,0.01084,0.35336,0.78339,0.96848,0.85316,0.92366,0.32789,0.33612733,0.0,273977.0,0.01025,0.33613,0.90524,0.9689,0.38553,0.62091,
15,11.56021,29282.65654,8.13407,0.37345979,0.0003,273977.0,0.03693,0.37346,0.82517,0.96306,0.70692,0.84078,0.33317,0.34068378,0.0,273977.0,0.01041,0.34068,0.78702,0.97448,0.83888,0.9159,0.33021,0.31110093,0.0,273977.0,0.01032,0.3111,0.91496,0.97338,0.34597,0.58819,
