epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,22.17799,44333.80431,12.31495,1.78117801,0.0,273977.0,0.07086,1.78118,-0.27349,-0.17149,5.14923,2.26919,0.77455,1.74940217,0.0,273977.0,0.0242,1.7494,-0.27991,-0.17703,5.04124,2.24527,0.47221,1.80217834,0.0,273977.0,0.01476,1.80218,-0.23751,-0.14921,5.03454,2.24378,
1,12.57532,34718.56261,9.64405,1.10504272,2e-05,273977.0,0.04018,1.10504,0.34354,0.6392,2.65434,1.62921,0.32512,0.77654911,0.0,273977.0,0.01016,0.77655,0.56753,0.83433,1.7034,1.30514,0.34252,0.80830521,0.0,273977.0,0.0107,0.80831,0.63088,0.84562,1.5017,1.22544,
2,7.8741,28375.65239,7.88213,0.717027,4e-05,273977.0,0.02516,0.71703,0.64208,0.86412,1.44722,1.20301,0.31571,0.58351215,0.0,273977.0,0.00987,0.58351,0.67068,0.91209,1.29709,1.1389,0.32237,0.60646386,0.0,273977.0,0.01007,0.60646,0.73576,0.91813,1.07502,1.03683,
3,7.19025,24859.01572,6.90528,0.60561252,6e-05,273977.0,0.02297,0.60561,0.70921,0.9023,1.17578,1.08434,0.33635,0.52613761,0.0,273977.0,0.01051,0.52614,0.70483,0.92672,1.16259,1.07823,0.32781,0.52679872,0.0,273977.0,0.01024,0.5268,0.77801,0.93435,0.90312,0.95033,
4,7.16936,22737.82298,6.31606,0.55783933,8e-05,273977.0,0.02291,0.55784,0.73371,0.91908,1.07674,1.03766,0.35951,0.48664364,0.0,273977.0,0.01123,0.48664,0.72742,0.94668,1.07364,1.03617,0.34022,0.51501158,0.0,273977.0,0.01063,0.51501,0.79461,0.93954,0.8356,0.91411,
5,7.09992,21298.22807,5.91617,0.51813876,0.0001,273977.0,0.02268,0.51814,0.75627,0.92781,0.98549,0.99272,0.3251,0.43212188,0.0,273977.0,0.01016,0.43212,0.75434,0.95325,0.9676,0.98366,0.34135,0.44384488,0.0,273977.0,0.01067,0.44384,0.82612,0.94892,0.70742,0.84108,
6,7.15463,20283.49428,5.6343,0.49900799,0.00012,273977.0,0.02286,0.49901,0.76371,0.93517,0.95541,0.97745,0.32435,0.53497938,0.0,273977.0,0.01014,0.53498,0.71033,0.9573,1.14095,1.06815,0.32162,0.53114099,0.0,273977.0,0.01005,0.53114,0.80878,0.95903,0.77793,0.88201,
7,7.23278,19540.1157,5.42781,0.47407228,0.00014,273977.0,0.02311,0.47407,0.78097,0.94191,0.88563,0.94108,0.32008,0.4259794,0.0,273977.0,0.01,0.42598,0.76663,0.95731,0.91919,0.95875,0.36729,0.42260274,0.0,273977.0,0.01148,0.4226,0.87088,0.96151,0.52528,0.72476,
8,7.21636,18956.69068,5.26575,0.45138884,0.00016,273977.0,0.02306,0.45139,0.79372,0.94727,0.83406,0.91327,0.32405,0.36927508,0.0,273977.0,0.01013,0.36928,0.78518,0.9641,0.84611,0.91984,0.33137,0.34034466,0.0,273977.0,0.01036,0.34034,0.90681,0.96585,0.37911,0.61572,
9,7.29641,18504.43871,5.14012,0.42864149,0.00018,273977.0,0.02331,0.42864,0.80397,0.95187,0.79264,0.89031,0.33924,0.43681881,0.0,273977.0,0.0106,0.43682,0.76261,0.96263,0.93503,0.96697,0.35241,0.39811961,0.0,273977.0,0.01101,0.39812,0.89272,0.96526,0.43644,0.66064,
