epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,26.62964,53232.64389,14.78685,1.56715241,0.0,423737.0,0.08508,1.56715,-0.22321,0.06278,4.94594,2.22395,0.85324,1.56282258,0.0,423737.0,0.02666,1.56282,-0.24431,0.02833,4.90104,2.21383,0.84829,1.66960064,0.0,423737.0,0.02651,1.6696,-0.25877,-0.00863,5.12107,2.26298,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,17.11201,43697.90988,12.13831,1.04926411,2e-05,423737.0,0.05467,1.04926,0.35272,0.68761,2.6172,1.61777,0.7064,0.77095734,0.0,423737.0,0.02207,0.77096,0.57181,0.85316,1.68652,1.29866,0.70307,0.83180525,0.0,423737.0,0.02197,0.83181,0.61207,0.84557,1.57821,1.25627,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,17.16701,40544.86511,11.26246,0.7178002,4e-05,423737.0,0.05485,0.7178,0.63259,0.86512,1.48557,1.21884,0.70796,0.58532046,0.0,423737.0,0.02212,0.58532,0.68836,0.91326,1.22749,1.10792,0.70735,0.61362614,0.0,423737.0,0.0221,0.61363,0.76165,0.91537,0.96966,0.98471,,1.0007,0.9993,0.9991,1.0009,0.9988,1.0012,1.001,0.999,0.998,1.002,1.0004,0.9996,0.9997,1.0003,0.9987,1.0013,1.0007,0.9993,1.0002,0.9998
3,17.11174,38932.18236,10.8145,0.60982161,6e-05,423737.0,0.05467,0.60982,0.69702,0.90049,1.22505,1.10682,0.70648,0.51104628,0.0,423737.0,0.02208,0.51105,0.72952,0.93408,1.06537,1.03217,0.70319,0.54430108,0.0,423737.0,0.02197,0.5443,0.79594,0.93144,0.83018,0.91114,,1.0008,0.9992,0.9985,1.0015,1.0003,0.9997,1.0013,0.9987,0.997,1.003,1.0,1.0,0.9986,1.0014,0.9987,1.0013,1.0008,0.9992,1.0004,0.9996
4,17.1407,37969.28134,10.54702,0.55927616,8e-05,423737.0,0.05476,0.55928,0.72998,0.91668,1.09181,1.0449,0.70846,0.50732953,0.0,423737.0,0.02214,0.50733,0.72338,0.93164,1.08955,1.04381,0.7051,0.53385136,0.0,423737.0,0.02203,0.53385,0.81175,0.93056,0.76585,0.87513,,1.0033,0.9967,0.9991,1.0009,1.0027,0.9974,1.0027,0.9973,0.9974,1.0026,1.0016,0.9984,0.9988,1.0012,0.9991,1.0009,1.0014,0.9986,1.0019,0.9981
5,17.12403,37316.09503,10.36558,0.52911791,0.0001,423737.0,0.05471,0.52912,0.75227,0.92507,1.00167,1.00083,0.70587,0.54350314,0.0,423737.0,0.02206,0.5435,0.69985,0.94522,1.18224,1.08731,0.70355,0.53963159,0.0,423737.0,0.02199,0.53963,0.79514,0.94838,0.83345,0.91293,,1.0076,0.9924,1.0016,0.9984,1.0048,0.9952,1.0055,0.9945,0.9999,1.0001,1.0034,0.9966,0.9998,1.0002,1.0008,0.9992,1.0027,0.9973,1.0039,0.9961
6,17.1515,36852.4618,10.23679,0.50536536,0.00012,423737.0,0.0548,0.50537,0.76297,0.93071,0.95843,0.97899,0.71341,0.49309386,0.0,423737.0,0.02229,0.49309,0.71981,0.95414,1.10361,1.05053,0.72454,0.49214,0.0,423737.0,0.02264,0.49214,0.81678,0.95476,0.74541,0.86337,,1.0119,0.9881,1.0043,0.9957,1.0088,0.9912,1.008,0.992,1.0021,0.9979,1.0073,0.9927,1.002,0.998,1.0042,0.9959,1.004,0.996,1.0068,0.9932
7,17.12962,36495.00102,10.1375,0.48155384,0.00014,423737.0,0.05473,0.48155,0.77586,0.93881,0.90629,0.95199,0.70779,0.45902156,0.0,423737.0,0.02212,0.45902,0.75115,0.95156,0.98017,0.99004,0.70448,0.46440483,0.0,423737.0,0.02202,0.4644,0.85121,0.95581,0.60534,0.77804,,1.0174,0.9826,1.0068,0.9932,1.0123,0.9877,1.0104,0.9896,1.0058,0.9942,1.0113,0.9887,1.0027,0.9973,1.0056,0.9944,1.0039,0.9961,1.0082,0.9918
8,17.12072,36211.19937,10.05867,0.46459683,0.00016,423737.0,0.0547,0.4646,0.79061,0.94197,0.84665,0.92014,0.70736,0.44705057,0.0,423737.0,0.02211,0.44705,0.75775,0.95717,0.95418,0.97682,0.70444,0.4394119,0.0,423737.0,0.02201,0.43941,0.86735,0.95571,0.53964,0.7346,,1.0222,0.9778,1.0106,0.9894,1.0152,0.9848,1.0136,0.9864,1.0099,0.9901,1.0158,0.9842,1.0063,0.9937,1.0091,0.9909,1.0053,0.9947,1.0114,0.9886
9,17.13483,35983.54119,9.99543,0.44672235,0.00018,423737.0,0.05474,0.44672,0.78977,0.94628,0.85004,0.92198,0.70809,0.40149,0.0,423737.0,0.02213,0.40149,0.77206,0.95862,0.8978,0.94752,0.70522,0.39579232,0.0,423737.0,0.02204,0.39579,0.88512,0.95831,0.46738,0.68365,,1.0298,0.9702,1.0126,0.9874,1.0203,0.9797,1.0171,0.9829,1.014,0.986,1.0211,0.9789,1.0092,0.9908,1.0122,0.9878,1.0061,0.9939,1.0151,0.9849
