epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
10,17.91252,37901.35059,10.52815,0.41432181,0.0002,423737.0,0.05723,0.41432,0.80526,0.95458,0.7874,0.88736,0.59972,0.41025926,0.0,423737.0,0.01874,0.41026,0.79487,0.96284,0.80796,0.89887,0.59964,0.36612337,0.0,423737.0,0.01874,0.36612,0.91542,0.96573,0.34411,0.58661,,1.0519,0.9481,1.0232,0.9768,1.0374,0.9627,1.0253,0.9747,1.0286,0.9714,1.0228,0.9772,1.0237,0.9763,1.0181,0.9819,1.0162,0.9838,1.0146,0.9854
11,18.35858,37766.84247,10.49079,0.41673967,0.00022,423737.0,0.05865,0.41674,0.8063,0.95344,0.78319,0.88498,0.59758,0.35581093,0.0,423737.0,0.01867,0.35581,0.79588,0.96607,0.80398,0.89665,0.59288,0.33905697,0.0,423737.0,0.01853,0.33906,0.91,0.96985,0.36615,0.6051,,1.0593,0.9407,1.0283,0.9717,1.0417,0.9583,1.0303,0.9697,1.0335,0.9665,1.0291,0.9709,1.0279,0.9721,1.0216,0.9784,1.0192,0.9808,1.0208,0.9792
12,18.12878,37615.07972,10.44863,0.39097654,0.00024,423737.0,0.05792,0.39098,0.81708,0.95919,0.7396,0.86,0.59973,0.35821093,0.0,423737.0,0.01874,0.35821,0.79484,0.9674,0.80806,0.89892,0.59891,0.33037676,0.0,423737.0,0.01872,0.33038,0.91581,0.96674,0.3425,0.58523,,1.0654,0.9346,1.0314,0.9686,1.0499,0.9501,1.0383,0.9617,1.0388,0.9612,1.0338,0.9662,1.0306,0.9694,1.0256,0.9744,1.0265,0.9735,1.0254,0.9746
13,18.23606,37497.62469,10.41601,0.38490802,0.00026,423737.0,0.05826,0.38491,0.81948,0.96024,0.72991,0.85435,0.59758,0.39239995,0.0,423737.0,0.01867,0.3924,0.77473,0.96548,0.88727,0.94195,0.58709,0.36668826,0.0,423737.0,0.01835,0.36669,0.90511,0.96683,0.38603,0.62132,,1.0733,0.9267,1.0354,0.9646,1.0581,0.9419,1.0435,0.9565,1.0468,0.9532,1.0387,0.9613,1.036,0.964,1.0301,0.9699,1.0321,0.9679,1.0333,0.9667
14,18.16857,37384.46823,10.38457,0.38302595,0.00028,423737.0,0.05805,0.38303,0.81474,0.9605,0.74907,0.86549,0.60055,0.32617641,0.0,423737.0,0.01877,0.32618,0.80161,0.9739,0.7814,0.88397,0.59797,0.28882179,0.0,423737.0,0.01869,0.28882,0.9279,0.97613,0.29332,0.54159,,1.0804,0.9196,1.0388,0.9612,1.065,0.935,1.0496,0.9504,1.0515,0.9485,1.0461,0.9539,1.0419,0.9581,1.033,0.967,1.0375,0.9625,1.0368,0.9632
15,18.01761,37264.46622,10.35124,0.37385434,0.0003,423737.0,0.05756,0.37385,0.82393,0.96346,0.71191,0.84375,0.60185,0.33542884,0.0,423737.0,0.01881,0.33543,0.80714,0.97546,0.75961,0.87156,0.59773,0.31477825,0.0,423737.0,0.01868,0.31478,0.92338,0.97423,0.31171,0.55831,,1.0851,0.9149,1.0446,0.9554,1.0718,0.9282,1.055,0.945,1.0588,0.9412,1.0517,0.9483,1.0488,0.9512,1.0402,0.9598,1.0428,0.9572,1.0456,0.9544
16,18.22593,37180.76267,10.32799,0.36516661,0.00032,423737.0,0.05823,0.36517,0.82533,0.96432,0.70627,0.8404,0.60093,0.3282821,0.0,423737.0,0.01878,0.32828,0.8055,0.97173,0.76608,0.87526,0.59875,0.29073515,0.0,423737.0,0.01871,0.29074,0.93049,0.97198,0.28278,0.53177,,1.0882,0.9118,1.0498,0.9502,1.0794,0.9206,1.0596,0.9404,1.066,0.934,1.0564,0.9436,1.0508,0.9492,1.044,0.956,1.0505,0.9495,1.0474,0.9526
17,18.09388,37089.79437,10.30272,0.36005713,0.00034,423737.0,0.05781,0.36006,0.82679,0.96557,0.70037,0.83688,0.58294,0.32135953,0.0,423737.0,0.01822,0.32136,0.8088,0.97776,0.7531,0.86781,0.59817,0.29439966,0.0,423737.0,0.01869,0.2944,0.92951,0.97717,0.28677,0.53551,,1.0938,0.9062,1.053,0.947,1.086,0.914,1.0652,0.9348,1.0724,0.9276,1.0636,0.9364,1.056,0.944,1.0508,0.9492,1.0551,0.9449,1.0558,0.9442
18,18.07407,37004.43156,10.27901,0.34595036,0.00036,423737.0,0.05774,0.34595,0.83216,0.96697,0.67864,0.8238,0.60081,0.3106794,0.0,423737.0,0.01878,0.31068,0.80525,0.98136,0.76708,0.87583,0.59598,0.2882021,0.0,423737.0,0.01862,0.2882,0.92828,0.9785,0.29177,0.54016,,1.095,0.905,1.0599,0.9401,1.0944,0.9056,1.0677,0.9323,1.0797,0.9203,1.0662,0.9338,1.0617,0.9383,1.0557,0.9443,1.0622,0.9378,1.0624,0.9376
19,18.25819,36944.02471,10.26223,0.3421201,0.00038,423737.0,0.05833,0.34212,0.83056,0.9685,0.68512,0.82772,0.60054,0.30115199,0.0,423737.0,0.01877,0.30115,0.81387,0.97715,0.73311,0.85622,0.59798,0.30022382,0.0,423737.0,0.01869,0.30022,0.90536,0.9769,0.38502,0.6205,,1.0969,0.9031,1.0656,0.9344,1.1002,0.8998,1.0704,0.9296,1.0824,0.9176,1.071,0.929,1.0648,0.9352,1.0623,0.9377,1.0671,0.9329,1.0738,0.9262
20,18.13303,36875.83748,10.24329,0.34394485,0.0004,423737.0,0.05793,0.34394,0.83187,0.96657,0.67983,0.82452,0.59586,0.3139809,0.0,423737.0,0.01862,0.31398,0.8067,0.98179,0.76135,0.87255,0.5993,0.28226415,0.0,423737.0,0.01873,0.28226,0.93199,0.98023,0.27667,0.52599,,1.0994,0.9006,1.066,0.934,1.1037,0.8963,1.0729,0.9271,1.0904,0.9096,1.0779,0.9221,1.069,0.931,1.0677,0.9323,1.0711,0.9289,1.0809,0.9191
21,18.10065,36809.28945,10.2248,0.32732339,0.00042,423737.0,0.05783,0.32732,0.83804,0.9704,0.65487,0.80924,0.60642,0.31158047,0.0,423737.0,0.01895,0.31158,0.80758,0.97771,0.75788,0.87056,0.59922,0.29184187,0.0,423737.0,0.01873,0.29184,0.91981,0.97608,0.32623,0.57117,,1.1002,0.8998,1.0716,0.9284,1.1093,0.8907,1.0789,0.9211,1.0957,0.9043,1.0836,0.9164,1.0747,0.9253,1.0758,0.9242,1.0776,0.9224,1.0895,0.9105
22,18.05104,36742.68962,10.2063,0.32638909,0.00044,423737.0,0.05767,0.32639,0.83898,0.97049,0.65106,0.80688,0.59932,0.33096694,0.0,423737.0,0.01873,0.33097,0.78046,0.97815,0.86472,0.9299,0.59883,0.36134242,0.0,423737.0,0.01871,0.36134,0.8487,0.9748,0.61552,0.78455,,1.1023,0.8977,1.0756,0.9244,1.1167,0.8833,1.0841,0.9159,1.1015,0.8985,1.092,0.908,1.0832,0.9168,1.0804,0.9196,1.0843,0.9157,1.0951,0.9049
23,18.15387,36688.60179,10.19128,0.32106713,0.00046,423737.0,0.058,0.32107,0.83758,0.97048,0.65671,0.81038,0.59864,0.29719142,0.0,423737.0,0.01871,0.29719,0.81902,0.97877,0.71283,0.84429,0.59698,0.25430355,0.0,423737.0,0.01866,0.2543,0.94209,0.9788,0.23559,0.48537,,1.1047,0.8953,1.0773,0.9227,1.1231,0.8769,1.0877,0.9123,1.104,0.896,1.0917,0.9083,1.0871,0.9129,1.0853,0.9147,1.0909,0.9091,1.0994,0.9006
