epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,34.92521,69815.4905,19.39319,1.52800669,0.0,423737.0,0.11158,1.52801,-0.0262,-0.01741,4.14934,2.03699,1.30263,1.50511932,0.0,423737.0,0.04071,1.50512,-0.04158,-0.03694,4.10253,2.02547,1.26181,1.59646403,0.0,423737.0,0.03943,1.59646,-0.02403,-0.03437,4.16606,2.04109,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,27.16176,62024.87621,17.22913,1.07950539,2e-05,423737.0,0.08678,1.07951,0.32948,0.68872,2.71117,1.64656,1.01675,0.74814562,0.0,423737.0,0.03177,0.74815,0.57813,0.85915,1.66164,1.28905,1.0138,0.81338298,0.0,423737.0,0.03168,0.81338,0.62907,0.8441,1.50904,1.22843,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,27.16488,59411.9757,16.50333,0.68052069,4e-05,423737.0,0.08679,0.68052,0.65022,0.88019,1.41429,1.18924,1.01521,0.556419,0.0,423737.0,0.03173,0.55642,0.68833,0.92355,1.22757,1.10796,1.01276,0.58144432,0.0,423737.0,0.03165,0.58144,0.75665,0.92161,0.99003,0.995,,0.9996,1.0004,1.0002,0.9998,1.0011,0.9989,1.0007,0.9993,1.0011,0.999,1.0009,0.9991,1.0008,0.9992,1.0002,0.9998,1.0021,0.9979,0.9991,1.0009
3,27.14581,58082.42616,16.13401,0.58539844,6e-05,423737.0,0.08673,0.5854,0.70971,0.91127,1.17377,1.08341,1.01593,0.49291472,0.0,423737.0,0.03175,0.49291,0.71996,0.93788,1.10302,1.05025,1.01373,0.51460403,0.0,423737.0,0.03168,0.5146,0.79149,0.93373,0.84827,0.92101,,0.9995,1.0005,1.0018,0.9982,1.001,0.999,1.0032,0.9968,1.0034,0.9966,1.0003,0.9997,1.0019,0.9981,0.9998,1.0002,1.0029,0.9971,1.0013,0.9987
4,27.14761,57274.55644,15.9096,0.54377013,8e-05,423737.0,0.08673,0.54377,0.73677,0.92216,1.06435,1.03167,1.01465,0.48315051,0.0,423737.0,0.03171,0.48315,0.7373,0.93919,1.03471,1.01721,1.01375,0.47500047,0.0,423737.0,0.03168,0.475,0.82714,0.94197,0.70324,0.8386,,1.0027,0.9973,1.0045,0.9955,1.0024,0.9976,1.0046,0.9954,1.0046,0.9954,1.0023,0.9977,1.0038,0.9962,1.0004,0.9996,1.0039,0.9961,1.0021,0.9979
5,27.14225,56725.14821,15.75699,0.51993685,0.0001,423737.0,0.08672,0.51994,0.74451,0.92899,1.03305,1.01639,1.01552,0.47232263,0.0,423737.0,0.03174,0.47232,0.75548,0.95022,0.96312,0.98139,1.01416,0.46310353,0.0,423737.0,0.03169,0.4631,0.85017,0.94714,0.60955,0.78073,,1.0076,0.9924,1.0068,0.9932,1.006,0.994,1.0068,0.9932,1.0077,0.9923,1.0053,0.9947,1.0056,0.9944,1.0028,0.9972,1.0045,0.9955,1.0048,0.9952
6,27.14414,56325.49489,15.64597,0.4921711,0.00012,423737.0,0.08672,0.49217,0.7641,0.93549,0.95383,0.97664,1.01515,0.45956932,0.0,423737.0,0.03172,0.45957,0.75478,0.95198,0.96585,0.98278,1.01422,0.43536321,0.0,423737.0,0.03169,0.43536,0.86611,0.95529,0.54472,0.73805,,1.0127,0.9873,1.01,0.99,1.0107,0.9893,1.0098,0.9902,1.0113,0.9887,1.0091,0.9909,1.0083,0.9917,1.0035,0.9965,1.0062,0.9938,1.0054,0.9946
7,27.1428,56018.63618,15.56073,0.47071078,0.00014,423737.0,0.08672,0.47071,0.77212,0.94079,0.9214,0.95989,1.01623,0.4787083,0.0,423737.0,0.03176,0.47871,0.74422,0.95492,1.00745,1.00372,1.01548,0.45482355,0.0,423737.0,0.03173,0.45482,0.85906,0.96131,0.57341,0.75724,,1.0181,0.9819,1.0136,0.9864,1.0142,0.9858,1.0131,0.9869,1.015,0.985,1.0139,0.9861,1.0108,0.9892,1.0065,0.9935,1.0079,0.9921,1.0078,0.9922
8,27.13759,55772.78406,15.49244,0.44818227,0.00016,423737.0,0.0867,0.44818,0.78347,0.94716,0.87552,0.93569,1.01498,0.40361074,0.0,423737.0,0.03172,0.40361,0.78015,0.9632,0.86593,0.93056,1.01393,0.38361364,0.0,423737.0,0.03169,0.38361,0.88706,0.96563,0.45948,0.67785,,1.0246,0.9754,1.0193,0.9807,1.019,0.9811,1.0162,0.9838,1.0188,0.9812,1.0195,0.9805,1.0141,0.9859,1.0094,0.9906,1.0099,0.9901,1.0116,0.9884
9,27.1436,55571.87175,15.43663,0.44928209,0.00018,423737.0,0.08672,0.44928,0.78861,0.94491,0.85472,0.92451,1.01595,0.40006013,0.0,423737.0,0.03175,0.40006,0.7899,0.95861,0.82752,0.90968,1.01406,0.39255944,0.0,423737.0,0.03169,0.39256,0.89974,0.95648,0.40789,0.63866,,1.0337,0.9663,1.0226,0.9774,1.0239,0.9761,1.0211,0.9789,1.025,0.975,1.0252,0.9748,1.0191,0.9809,1.0126,0.9874,1.0125,0.9875,1.0151,0.9849
10,27.15748,55405.0623,15.3903,0.43110225,0.0002,423737.0,0.08677,0.4311,0.79949,0.95056,0.81073,0.90041,1.0166,0.39111302,0.0,423737.0,0.03177,0.39111,0.78511,0.96569,0.84641,0.92001,1.01492,0.36401975,0.0,423737.0,0.03172,0.36402,0.90861,0.96806,0.37181,0.60976,,1.0412,0.9588,1.0285,0.9715,1.0282,0.9718,1.0275,0.9725,1.0313,0.9687,1.0346,0.9654,1.0223,0.9777,1.0157,0.9843,1.0148,0.9853,1.0189,0.9811
11,27.19928,55268.45341,15.35235,0.42266565,0.00022,423737.0,0.0869,0.42267,0.80509,0.95308,0.7881,0.88775,1.01903,0.39866568,0.0,423737.0,0.03184,0.39867,0.77712,0.96135,0.87786,0.93694,1.01691,0.36977873,0.0,423737.0,0.03178,0.36978,0.90496,0.96668,0.38666,0.62182,,1.0475,0.9525,1.0325,0.9675,1.0348,0.9652,1.0357,0.9643,1.0379,0.9621,1.041,0.959,1.0288,0.9712,1.0206,0.9794,1.0192,0.9808,1.0235,0.9765
12,27.18502,55146.49713,15.31847,0.41851931,0.00024,423737.0,0.08685,0.41852,0.80801,0.95442,0.77629,0.88108,1.01683,0.46430635,0.0,423737.0,0.03178,0.46431,0.76243,0.96917,0.93573,0.96733,1.01444,0.42999469,0.0,423737.0,0.0317,0.42999,0.88763,0.96922,0.45714,0.67612,,1.0517,0.9483,1.0362,0.9638,1.0392,0.9608,1.0423,0.9577,1.0397,0.9603,1.0474,0.9526,1.0358,0.9642,1.0251,0.9749,1.0215,0.9785,1.0322,0.9678
13,27.17059,55036.03257,15.28779,0.40764674,0.00026,423737.0,0.08681,0.40765,0.80933,0.95674,0.77094,0.87803,1.01671,0.4179665,0.0,423737.0,0.03177,0.41797,0.77694,0.97015,0.87859,0.93733,1.01593,0.40220768,0.0,423737.0,0.03175,0.40221,0.89645,0.96754,0.42127,0.64906,,1.0585,0.9415,1.0428,0.9572,1.0464,0.9537,1.0478,0.9522,1.0467,0.9533,1.0577,0.9423,1.0453,0.9547,1.0312,0.9688,1.0261,0.9739,1.0396,0.9604
14,27.15326,54934.38098,15.25955,0.38978383,0.00028,423737.0,0.08675,0.38978,0.81984,0.96047,0.72847,0.8535,1.01623,0.35451394,0.0,423737.0,0.03176,0.35451,0.80122,0.96723,0.78294,0.88484,1.01434,0.31572027,0.0,423737.0,0.0317,0.31572,0.90323,0.97441,0.3937,0.62746,,1.0651,0.9349,1.0484,0.9516,1.0522,0.9478,1.0556,0.9444,1.0564,0.9436,1.0633,0.9367,1.0497,0.9503,1.0355,0.9645,1.033,0.967,1.0498,0.9502
15,27.15167,54841.84366,15.23385,0.37775452,0.0003,423737.0,0.08675,0.37775,0.82077,0.9625,0.72468,0.85128,1.01596,0.3857925,0.0,423737.0,0.03175,0.38579,0.7773,0.96625,0.87717,0.93657,1.01387,0.37457958,0.0,423737.0,0.03168,0.37458,0.89014,0.96719,0.44696,0.66855,,1.0696,0.9304,1.0542,0.9458,1.0555,0.9445,1.0617,0.9383,1.064,0.936,1.0701,0.9299,1.0573,0.9427,1.0426,0.9574,1.04,0.96,1.058,0.942
16,27.1457,54756.30262,15.21008,0.37582066,0.00032,423737.0,0.08673,0.37582,0.82939,0.96315,0.68984,0.83057,1.01644,0.33335916,0.0,423737.0,0.03176,0.33336,0.80936,0.97188,0.75089,0.86654,1.01378,0.29390911,0.0,423737.0,0.03168,0.29391,0.93621,0.97544,0.25951,0.50942,,1.0723,0.9277,1.0607,0.9393,1.0635,0.9365,1.0642,0.9358,1.0702,0.9298,1.0795,0.9205,1.0618,0.9382,1.0495,0.9505,1.0467,0.9533,1.0683,0.9317
17,27.15498,54678.27208,15.18841,0.36995227,0.00034,423737.0,0.08676,0.36995,0.82493,0.96365,0.70788,0.84136,1.01649,0.35876615,0.0,423737.0,0.03177,0.35877,0.79944,0.97265,0.78996,0.88879,1.01351,0.34497344,0.0,423737.0,0.03167,0.34497,0.90171,0.9709,0.39986,0.63234,,1.0752,0.9248,1.0643,0.9357,1.0675,0.9325,1.0661,0.9339,1.0737,0.9263,1.0892,0.9108,1.0669,0.9331,1.056,0.944,1.0514,0.9486,1.0722,0.9279
