epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,49.1412,98233.25131,27.28701,1.63573486,0.0,423737.0,0.157,1.63573,-0.09919,0.00932,4.44446,2.10819,1.44277,1.60688931,0.0,423737.0,0.04509,1.60689,-0.10233,0.01995,4.34182,2.0837,1.26019,1.69778286,0.0,423737.0,0.03938,1.69778,-0.0958,0.01264,4.45806,2.11141,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,37.71394,86768.28102,24.1023,1.05950585,2e-05,423737.0,0.12049,1.05951,0.36469,0.67508,2.5688,1.60275,1.01557,0.72632089,0.0,423737.0,0.03174,0.72632,0.60253,0.8515,1.56554,1.25122,1.01047,0.79021919,0.0,423737.0,0.03158,0.79022,0.6686,0.84684,1.34825,1.16114,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,37.72035,82925.74689,23.03493,0.66922536,4e-05,423737.0,0.12051,0.66923,0.65888,0.87868,1.37929,1.17443,1.01146,0.56396558,0.0,423737.0,0.03161,0.56397,0.67663,0.92061,1.27368,1.12857,1.01231,0.59245132,0.0,423737.0,0.03163,0.59245,0.73525,0.91717,1.07708,1.03782,,1.0016,0.9984,0.9997,1.0003,1.0002,0.9998,1.001,0.999,1.0011,0.9989,1.0009,0.9991,1.001,0.999,1.0021,0.9979,1.0005,0.9995,0.9983,1.0017
3,37.70683,80978.87436,22.49413,0.59042342,6e-05,423737.0,0.12047,0.59042,0.70219,0.90459,1.20416,1.09734,1.01333,0.47519598,0.0,423737.0,0.03167,0.4752,0.73699,0.94286,1.03594,1.01781,1.01457,0.51417449,0.0,423737.0,0.03171,0.51417,0.80534,0.93443,0.79195,0.88991,,1.0024,0.9976,1.0011,0.9989,0.9995,1.0005,1.0008,0.9992,1.002,0.998,1.0015,0.9985,1.0012,0.9988,1.0028,0.9972,1.0004,0.9996,0.9977,1.0023
4,37.71409,79798.56669,22.16627,0.53674489,8e-05,423737.0,0.12049,0.53674,0.73458,0.92087,1.07322,1.03596,1.01139,0.44423482,0.0,423737.0,0.03161,0.44423,0.75079,0.94995,0.98157,0.99074,1.00955,0.4579167,0.0,423737.0,0.03155,0.45792,0.83103,0.94552,0.68743,0.82911,,1.005,0.995,1.0054,0.9946,1.0019,0.9981,1.0009,0.9991,1.0049,0.9951,1.0033,0.9967,1.0022,0.9978,1.004,0.996,1.0015,0.9985,0.9993,1.0007
5,37.71019,78997.82672,21.94384,0.50973409,0.0001,423737.0,0.12048,0.50973,0.75074,0.93049,1.00785,1.00392,1.01257,0.47879372,0.0,423737.0,0.03164,0.47879,0.73777,0.95152,1.03286,1.0163,1.01008,0.48582519,0.0,423737.0,0.03156,0.48583,0.82865,0.95222,0.6971,0.83493,,1.0082,0.9918,1.0114,0.9886,1.0038,0.9962,1.0022,0.9978,1.007,0.993,1.0053,0.9947,1.004,0.996,1.006,0.994,1.0032,0.9968,1.001,0.999
6,37.72194,78418.43949,21.7829,0.48068835,0.00012,423737.0,0.12052,0.48069,0.7656,0.93834,0.94777,0.97354,1.01681,0.4101256,0.0,423737.0,0.03178,0.41013,0.76406,0.96126,0.9293,0.964,1.01431,0.41177557,0.0,423737.0,0.0317,0.41178,0.86104,0.95991,0.56533,0.75189,,1.0133,0.9867,1.0188,0.9812,1.0064,0.9936,1.0047,0.9953,1.0113,0.9887,1.008,0.992,1.0068,0.9932,1.0083,0.9917,1.005,0.995,1.0027,0.9973
7,37.70657,77970.64207,21.65851,0.46976741,0.00014,423737.0,0.12047,0.46977,0.77803,0.94052,0.89751,0.94737,1.01172,0.49873223,0.0,423737.0,0.03162,0.49873,0.74605,0.9589,1.00026,1.00013,1.0152,0.46793309,0.0,423737.0,0.03172,0.46793,0.86206,0.95994,0.5612,0.74913,,1.0181,0.9819,1.0243,0.9757,1.0093,0.9907,1.008,0.992,1.0149,0.9851,1.0112,0.9888,1.0089,0.9911,1.0118,0.9882,1.0073,0.9927,1.005,0.995
8,37.70548,77613.73528,21.55937,0.45966534,0.00016,423737.0,0.12046,0.45967,0.77971,0.94333,0.89072,0.94378,1.01304,0.56062475,0.0,423737.0,0.03166,0.56062,0.69449,0.9547,1.20334,1.09697,1.01505,0.54729246,0.0,423737.0,0.03172,0.54729,0.79811,0.95581,0.82135,0.90629,,1.0232,0.9768,1.0338,0.9662,1.0134,0.9866,1.0127,0.9873,1.0193,0.9807,1.0143,0.9857,1.013,0.987,1.0149,0.9851,1.01,0.99,1.0073,0.9927
9,37.70981,77321.53069,21.4782,0.43762016,0.00018,423737.0,0.12048,0.43762,0.79285,0.94847,0.83758,0.91519,1.01116,0.4253424,0.0,423737.0,0.0316,0.42534,0.75758,0.95402,0.95482,0.97715,1.01539,0.41917762,0.0,423737.0,0.03173,0.41918,0.86818,0.95676,0.5363,0.73233,,1.0279,0.9721,1.0426,0.9574,1.0182,0.9818,1.0163,0.9837,1.0223,0.9777,1.0167,0.9833,1.0164,0.9836,1.018,0.982,1.0125,0.9875,1.0114,0.9886
