epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,22.83411,45645.3826,12.67927,1.63135405,0.0,423737.0,0.07295,1.63135,-0.13099,-0.1941,4.57303,2.13846,0.69894,1.62517402,0.0,423737.0,0.02184,1.62517,-0.15263,-0.25598,4.53992,2.13071,0.67512,1.69448741,0.0,423737.0,0.0211,1.69449,-0.1254,-0.22766,4.57845,2.13973,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,13.77986,36577.35393,10.16038,1.05741036,2e-05,423737.0,0.04403,1.05741,0.35836,0.67211,2.59442,1.61072,0.5822,0.74287627,0.0,423737.0,0.01819,0.74288,0.58577,0.85343,1.63153,1.27731,0.58044,0.77934457,0.0,423737.0,0.01814,0.77934,0.64346,0.86143,1.4505,1.20437,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,13.77355,33541.29316,9.31703,0.69126262,4e-05,423737.0,0.044,0.69126,0.63865,0.87349,1.46106,1.20874,0.57911,0.60769342,0.0,423737.0,0.0181,0.60769,0.67445,0.90554,1.28228,1.13238,0.57581,0.60778799,0.0,423737.0,0.01799,0.60779,0.75487,0.91429,0.99724,0.99862,,1.0007,0.9993,1.002,0.998,0.9997,1.0003,1.0017,0.9983,1.0004,0.9996,0.9987,1.0013,0.9985,1.0015,0.9993,1.0007,0.9988,1.0012,0.9992,1.0008
3,13.76069,32009.95967,8.89166,0.60681645,6e-05,423737.0,0.04396,0.60682,0.69251,0.90291,1.24332,1.11504,0.57742,0.57422969,0.0,423737.0,0.01804,0.57423,0.67611,0.93134,1.27572,1.12948,0.58413,0.58509247,0.0,423737.0,0.01825,0.58509,0.76023,0.93189,0.97547,0.98766,,1.0027,0.9973,1.0031,0.9969,1.0012,0.9988,1.003,0.997,1.0018,0.9982,0.999,1.001,0.9999,1.0001,0.9997,1.0003,0.9989,1.0011,0.9984,1.0016
4,13.78821,31096.63195,8.63795,0.55770588,8e-05,423737.0,0.04405,0.55771,0.72398,0.91749,1.11608,1.05645,0.5799,0.47643686,0.0,423737.0,0.01812,0.47644,0.72495,0.94541,1.08335,1.04084,0.5755,0.49803079,0.0,423737.0,0.01798,0.49803,0.81131,0.94065,0.76763,0.87615,,1.0068,0.9932,1.006,0.994,1.003,0.997,1.0055,0.9945,1.0038,0.9962,1.0007,0.9993,1.0008,0.9992,1.0003,0.9997,1.0001,0.9999,0.9999,1.0001
5,13.74793,30469.76439,8.46382,0.51003549,0.0001,423737.0,0.04392,0.51004,0.75508,0.9306,0.9903,0.99514,0.5777,0.46482235,0.0,423737.0,0.01805,0.46482,0.74783,0.94632,0.99325,0.99662,0.57601,0.4490515,0.0,423737.0,0.018,0.44905,0.85111,0.9525,0.60571,0.77827,,1.0125,0.9875,1.0096,0.9904,1.006,0.994,1.0083,0.9917,1.0068,0.9932,1.0026,0.9974,1.0027,0.9973,1.0007,0.9993,1.0013,0.9987,1.0008,0.9992
6,13.78059,30027.37386,8.34094,0.49225905,0.00012,423737.0,0.04403,0.49226,0.76353,0.93423,0.95614,0.97783,0.58796,0.41507545,0.0,423737.0,0.01837,0.41508,0.75944,0.95606,0.94751,0.9734,0.57515,0.4112,0.0,423737.0,0.01797,0.4112,0.86937,0.95856,0.53143,0.72899,,1.0194,0.9806,1.0135,0.9865,1.0108,0.9892,1.0118,0.9882,1.01,0.99,1.0042,0.9958,1.0045,0.9955,1.0033,0.9967,1.003,0.997,1.0024,0.9976
7,13.71687,29676.26841,8.24341,0.47522697,0.00014,423737.0,0.04382,0.47523,0.77573,0.93805,0.90679,0.95226,0.57789,0.46124305,0.0,423737.0,0.01806,0.46124,0.74542,0.95904,1.00272,1.00136,0.57352,0.44705995,0.0,423737.0,0.01792,0.44706,0.85563,0.96037,0.58735,0.76639,,1.0261,0.9739,1.0172,0.9828,1.0141,0.9859,1.0155,0.9845,1.0146,0.9854,1.0073,0.9927,1.0081,0.9919,1.006,0.994,1.0048,0.9952,1.0062,0.9938
8,13.76428,29410.62661,8.16962,0.45784043,0.00016,423737.0,0.04398,0.45784,0.78528,0.94389,0.86821,0.93178,0.57851,0.57579003,0.0,423737.0,0.01808,0.57579,0.71391,0.95858,1.12686,1.06154,0.594,0.54538667,0.0,423737.0,0.01856,0.54539,0.84573,0.96085,0.62761,0.79222,,1.0309,0.9691,1.022,0.978,1.0191,0.9809,1.0204,0.9796,1.0186,0.9814,1.0105,0.9895,1.0116,0.9884,1.0082,0.9918,1.0058,0.9942,1.0093,0.9907
9,13.88023,29218.43544,8.11623,0.4481869,0.00018,423737.0,0.04435,0.44819,0.79141,0.9464,0.84343,0.91838,0.58742,0.36213705,0.0,423737.0,0.01836,0.36214,0.79998,0.9638,0.78784,0.8876,0.58597,0.32507319,0.0,423737.0,0.01831,0.32507,0.9202,0.96769,0.32467,0.5698,,1.0376,0.9624,1.0271,0.9729,1.0253,0.9747,1.0236,0.9764,1.0234,0.9766,1.0134,0.9866,1.0173,0.9827,1.0111,0.9889,1.0088,0.9912,1.0136,0.9864
