epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,39.75125,79462.74452,22.07298,1.71267579,0.0,423737.0,0.127,1.71268,-0.34371,-0.20348,5.43314,2.33091,1.14837,1.71497089,0.0,423737.0,0.03589,1.71497,-0.38846,-0.20482,5.46881,2.33855,0.90559,1.79108081,0.0,423737.0,0.0283,1.79108,-0.34047,-0.22774,5.45342,2.33526,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,25.87875,65564.37178,18.21233,1.0643381,2e-05,423737.0,0.08268,1.06434,0.34126,0.68369,2.66354,1.63204,0.82005,0.72885109,0.0,423737.0,0.02563,0.72885,0.59788,0.86306,1.58386,1.25852,0.78292,0.76442756,0.0,423737.0,0.02447,0.76443,0.66468,0.86875,1.3642,1.16799,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,25.88218,60916.60963,16.92128,0.67809786,4e-05,423737.0,0.08269,0.6781,0.66473,0.87875,1.35563,1.16432,0.72994,0.55159136,0.0,423737.0,0.02281,0.55159,0.69354,0.91683,1.20706,1.09866,0.72097,0.58384018,0.0,423737.0,0.02253,0.58384,0.76423,0.91607,0.95918,0.97938,,0.9995,1.0005,0.9997,1.0003,1.0012,0.9988,1.0008,0.9992,0.9998,1.0002,0.9994,1.0006,0.9982,1.0018,1.0008,0.9992,0.999,1.001,1.0002,0.9998
3,29.32054,60295.52825,16.74876,0.58568943,6e-05,423737.0,0.09368,0.58569,0.71494,0.90756,1.1526,1.07359,0.87316,0.53105564,0.0,423737.0,0.02729,0.53106,0.72082,0.93022,1.09961,1.04862,0.85766,0.52002207,0.0,423737.0,0.0268,0.52002,0.81054,0.93667,0.77079,0.87794,,1.0013,0.9987,1.0004,0.9996,1.0033,0.9967,1.002,0.998,1.001,0.999,1.0007,0.9993,0.9988,1.0012,1.001,0.999,0.9996,1.0004,1.0003,0.9997
4,25.00012,58187.30457,16.16314,0.55188767,8e-05,423737.0,0.07987,0.55189,0.7392,0.91997,1.05451,1.0269,0.7844,0.46729564,0.0,423737.0,0.02451,0.4673,0.73058,0.94448,1.06116,1.03013,0.78676,0.48064137,0.0,423737.0,0.02459,0.48064,0.8087,0.94314,0.77828,0.8822,,1.0064,0.9936,1.0023,0.9977,1.0055,0.9945,1.0039,0.9961,1.0034,0.9966,1.0023,0.9977,1.0009,0.9991,1.0034,0.9966,1.0012,0.9988,1.0008,0.9992
5,23.05401,56126.73136,15.59076,0.51338179,0.0001,423737.0,0.07365,0.51338,0.75531,0.92999,0.98939,0.99468,0.77409,0.46210415,0.0,423737.0,0.02419,0.4621,0.73335,0.94887,1.05029,1.02483,0.78307,0.46988296,0.0,423737.0,0.02447,0.46988,0.81731,0.94765,0.74323,0.86211,,1.0109,0.9891,1.0048,0.9952,1.0093,0.9907,1.0054,0.9946,1.0047,0.9953,1.0041,0.9959,1.0027,0.9973,1.0046,0.9954,1.0021,0.9979,1.0013,0.9987
6,22.92392,54611.26794,15.1698,0.50628586,0.00012,423737.0,0.07324,0.50629,0.75794,0.93155,0.97874,0.98931,0.79643,0.48115382,0.0,423737.0,0.02489,0.48115,0.73124,0.93363,1.05858,1.02887,0.76684,0.4679759,0.0,423737.0,0.02396,0.46798,0.8245,0.93862,0.71399,0.84498,,1.0172,0.9828,1.0079,0.9921,1.0142,0.9858,1.0079,0.9921,1.0095,0.9905,1.0078,0.9922,1.0059,0.9941,1.0054,0.9946,1.0049,0.9951,1.0034,0.9966
7,27.59531,54632.11428,15.17559,0.48734447,0.00014,423737.0,0.08816,0.48734,0.76197,0.93625,0.96245,0.98105,1.08775,0.41327245,0.0,423737.0,0.03399,0.41327,0.75009,0.9576,0.98435,0.99214,0.93337,0.41506432,0.0,423737.0,0.02917,0.41506,0.84755,0.95736,0.62021,0.78753,,1.0221,0.9779,1.0122,0.9878,1.0182,0.9818,1.0115,0.9885,1.0135,0.9865,1.0119,0.9881,1.01,0.99,1.0107,0.9893,1.0066,0.9934,1.0051,0.9949
8,23.7758,53797.236,14.94368,0.47606046,0.00016,423737.0,0.07596,0.47606,0.77804,0.94069,0.89748,0.94735,0.80298,0.49131964,0.0,423737.0,0.02509,0.49132,0.72574,0.95234,1.08024,1.03935,0.76696,0.44488013,0.0,423737.0,0.02397,0.44488,0.8573,0.96033,0.58054,0.76193,,1.0285,0.9715,1.0163,0.9837,1.0236,0.9764,1.0141,0.9859,1.0179,0.9821,1.017,0.983,1.0141,0.9859,1.014,0.986,1.0104,0.9896,1.0088,0.9912
9,26.17869,53602.7528,14.88965,0.45348794,0.00018,423737.0,0.08364,0.45349,0.78862,0.94711,0.85469,0.9245,0.83688,0.4272678,0.0,423737.0,0.02615,0.42727,0.76063,0.9541,0.94281,0.97098,0.86587,0.38613876,0.0,423737.0,0.02706,0.38614,0.88216,0.96101,0.47942,0.6924,,1.0358,0.9642,1.0213,0.9787,1.0288,0.9712,1.0193,0.9807,1.0228,0.9772,1.0229,0.9771,1.0189,0.9811,1.0171,0.9829,1.0143,0.9857,1.0137,0.9863
