Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2
72,72,7.86938,217.32068,0.06037,0.10468416,1.995e-05,149013,0.0305,0.96976,0.74233,0.29464,0.42185,0.87305,0.43647,0.07772133,0.0,149013,0.01323,0.98371,0.69444,0.30864,0.42735,0.78176,0.43112,0.11815603,0.0,149013,0.01306,0.97107,0.61224,0.23077,0.3352,0.75642,0.9918,1.0082,1.059,0.941
73,73,7.46771,209.06756,0.05807,0.10440097,1.864e-05,149013,0.02894,0.96951,0.74837,0.28003,0.40756,0.87704,0.43854,0.07798375,0.0,149013,0.01329,0.98347,0.68571,0.2963,0.41379,0.77906,0.43176,0.11828303,0.0,149013,0.01308,0.97131,0.625,0.23077,0.33708,0.75555,0.9915,1.0085,1.0592,0.9408
74,74,7.35592,200.79812,0.05578,0.10397461,1.737e-05,149013,0.02851,0.96982,0.75052,0.29058,0.41896,0.87878,0.42663,0.07885864,0.0,149013,0.01293,0.98322,0.65,0.32099,0.42975,0.78247,0.42324,0.11887284,0.0,149013,0.01283,0.97107,0.6,0.25385,0.35676,0.75657,0.9913,1.0087,1.0594,0.9406
75,75,7.3994,192.56645,0.05349,0.10543418,1.614e-05,149013,0.02868,0.96942,0.74353,0.28003,0.40684,0.87667,0.43083,0.08007078,0.0,149013,0.01306,0.98274,0.61905,0.32099,0.42276,0.78207,0.42813,0.12005541,0.0,149013,0.01297,0.97009,0.5614,0.24615,0.34225,0.75603,0.9912,1.0088,1.0593,0.9407
76,76,7.43384,184.36669,0.05121,0.10420929,1.494e-05,149013,0.02881,0.96967,0.74074,0.29221,0.41909,0.87667,0.43376,0.07723943,0.0,149013,0.01314,0.98322,0.66667,0.2963,0.41026,0.78541,0.42199,0.11767505,0.0,149013,0.01279,0.9718,0.65217,0.23077,0.34091,0.7567,0.991,1.009,1.0597,0.9403
77,77,7.17993,176.11495,0.04892,0.10490092,1.378e-05,149013,0.02783,0.96924,0.72822,0.2849,0.40957,0.87256,0.42218,0.07964016,0.0,149013,0.01279,0.98322,0.65,0.32099,0.42975,0.78088,0.41551,0.11951377,0.0,149013,0.01259,0.97009,0.5614,0.24615,0.34225,0.75369,0.9906,1.0094,1.0599,0.9401
78,78,7.41423,167.95262,0.04665,0.10479096,1.266e-05,149013,0.02874,0.96933,0.72525,0.2914,0.41575,0.87606,0.52757,0.07823579,0.0,149013,0.01599,0.98298,0.64103,0.30864,0.41667,0.78601,0.52878,0.11882958,0.0,149013,0.01602,0.97082,0.59259,0.24615,0.34783,0.75427,0.9901,1.0099,1.0599,0.9401
79,79,7.81318,159.90874,0.04442,0.10387036,1.158e-05,149013,0.03028,0.97018,0.77462,0.28734,0.41918,0.8744,0.51526,0.07649405,0.0,149013,0.01561,0.98322,0.67647,0.28395,0.4,0.78331,0.5067,0.11788123,0.0,149013,0.01535,0.97107,0.60377,0.24615,0.34973,0.75418,0.9899,1.0101,1.06,0.94
80,80,8.09731,151.9372,0.0422,0.10341223,1.054e-05,149013,0.03138,0.96976,0.74333,0.29383,0.42118,0.87727,0.51369,0.07913319,0.0,149013,0.01557,0.98274,0.61905,0.32099,0.42276,0.78647,0.52137,0.1191779,0.0,149013,0.0158,0.97058,0.57895,0.25385,0.35294,0.75512,0.9898,1.0102,1.0601,0.9399
81,81,7.7866,143.89439,0.03997,0.10384492,9.55e-06,149013,0.03018,0.97021,0.77391,0.28896,0.4208,0.87244,0.44869,0.07774303,0.0,149013,0.0136,0.98274,0.63889,0.28395,0.39316,0.78354,0.44276,0.11862278,0.0,149013,0.01342,0.97082,0.59615,0.23846,0.34066,0.75361,0.9897,1.0103,1.0602,0.9398
82,82,7.01464,135.69964,0.03769,0.103854,8.6e-06,149013,0.02719,0.96942,0.7384,0.28409,0.41032,0.87826,0.42939,0.07792054,0.0,149013,0.01301,0.98298,0.64865,0.2963,0.40678,0.78405,0.42674,0.11891093,0.0,149013,0.01293,0.97107,0.60377,0.24615,0.34973,0.75333,0.9896,1.0104,1.0602,0.9398
83,83,6.96347,127.52324,0.03542,0.10507971,7.7e-06,149013,0.02699,0.96961,0.74167,0.28896,0.41589,0.87335,0.43273,0.07784921,0.0,149013,0.01311,0.98298,0.64865,0.2963,0.40678,0.78412,0.41958,0.11788932,0.0,149013,0.01271,0.97131,0.61538,0.24615,0.35165,0.75526,0.9895,1.0105,1.0603,0.9397
84,84,6.95182,119.37332,0.03316,0.10386667,6.84e-06,149013,0.02695,0.96942,0.73061,0.29058,0.4158,0.8752,0.42244,0.07783488,0.0,149013,0.0128,0.98322,0.66667,0.2963,0.41026,0.78514,0.41741,0.11837247,0.0,149013,0.01265,0.97009,0.5614,0.24615,0.34225,0.75531,0.9893,1.0107,1.0603,0.9397
85,85,7.01946,111.26228,0.03091,0.10272894,6.03e-06,149013,0.02721,0.96997,0.75311,0.29464,0.42357,0.88165,0.43223,0.07795117,0.0,149013,0.0131,0.98347,0.66667,0.32099,0.43333,0.78605,0.42516,0.11839486,0.0,149013,0.01288,0.97082,0.58929,0.25385,0.35484,0.7565,0.9891,1.0108,1.0603,0.9397
86,86,7.33318,103.2232,0.02867,0.1034271,5.26e-06,149013,0.02842,0.97024,0.7525,0.30601,0.43508,0.87564,0.4331,0.07813267,0.0,149013,0.01312,0.98274,0.625,0.30864,0.41322,0.78564,0.41949,0.11861855,0.0,149013,0.01271,0.97058,0.57895,0.25385,0.35294,0.75696,0.989,1.011,1.0604,0.9397
87,87,7.34088,95.20123,0.02644,0.10305655,4.55e-06,149013,0.02845,0.97,0.77283,0.28166,0.41285,0.8841,0.43726,0.07758101,0.0,149013,0.01325,0.98274,0.63158,0.2963,0.40336,0.78774,0.4191,0.11825694,0.0,149013,0.0127,0.97082,0.58929,0.25385,0.35484,0.75574,0.9889,1.0111,1.0604,0.9396
88,88,7.32096,87.19209,0.02422,0.10378816,3.89e-06,149013,0.02838,0.9704,0.76434,0.30276,0.43372,0.88173,0.42106,0.0770054,0.0,149013,0.01276,0.98322,0.66667,0.2963,0.41026,0.78607,0.41396,0.11823134,0.0,149013,0.01254,0.97107,0.6,0.25385,0.35676,0.75466,0.9889,1.0111,1.0604,0.9396
89,89,7.62525,79.23206,0.02201,0.10409013,3.27e-06,149013,0.02956,0.96964,0.7422,0.28977,0.41681,0.8762,0.4307,0.07840245,0.0,149013,0.01305,0.98322,0.66667,0.2963,0.41026,0.78281,0.41633,0.11936065,0.0,149013,0.01262,0.97131,0.61111,0.25385,0.3587,0.75197,0.9888,1.0112,1.0605,0.9395
90,90,7.40458,71.25756,0.01979,0.10289247,2.71e-06,149013,0.0287,0.96991,0.74694,0.29708,0.42509,0.88121,0.4427,0.07588612,0.0,149013,0.01342,0.98322,0.67647,0.28395,0.4,0.7832,0.43272,0.11743608,0.0,149013,0.01311,0.97131,0.63636,0.21538,0.32184,0.7564,0.9888,1.0112,1.0605,0.9395
91,91,7.41172,63.29607,0.01758,0.10202448,2.2e-06,149013,0.02873,0.96961,0.73673,0.29302,0.41928,0.88502,0.42658,0.07878933,0.0,149013,0.01293,0.98322,0.65,0.32099,0.42975,0.78583,0.43154,0.12007835,0.0,149013,0.01308,0.97058,0.58182,0.24615,0.34595,0.75362,0.9888,1.0112,1.0605,0.9395
92,92,7.37312,55.3435,0.01537,0.10241798,1.74e-06,149013,0.02858,0.97058,0.76613,0.30844,0.43981,0.88214,0.42132,0.0792779,0.0,149013,0.01277,0.98249,0.61538,0.2963,0.4,0.7818,0.41475,0.11995016,0.0,149013,0.01257,0.97009,0.5614,0.24615,0.34225,0.75041,0.9888,1.0112,1.0605,0.9395
93,93,7.05898,47.38321,0.01316,0.10285254,1.33e-06,149013,0.02736,0.96973,0.736,0.2987,0.42494,0.88029,0.43132,0.07872379,0.0,149013,0.01307,0.98298,0.63415,0.32099,0.42623,0.78807,0.42298,0.11886009,0.0,149013,0.01282,0.97058,0.57895,0.25385,0.35294,0.75703,0.9887,1.0113,1.0606,0.9395
94,94,6.99129,39.43833,0.01096,0.10366498,9.8e-07,149013,0.0271,0.96936,0.7383,0.28166,0.40776,0.88489,0.42615,0.08327301,0.0,149013,0.01291,0.98201,0.57447,0.33333,0.42188,0.78937,0.44521,0.12186708,0.0,149013,0.01349,0.96961,0.53968,0.26154,0.35233,0.75857,0.9887,1.0113,1.0605,0.9395
95,95,7.14949,31.5199,0.00876,0.103062,6.8e-07,149013,0.02771,0.97018,0.75983,0.29789,0.42799,0.88091,0.44003,0.07771702,0.0,149013,0.01333,0.98274,0.63889,0.28395,0.39316,0.78453,0.43036,0.11931922,0.0,149013,0.01304,0.97058,0.58824,0.23077,0.33149,0.75242,0.9887,1.0113,1.0605,0.9395
96,96,7.63282,23.63228,0.00656,0.10362948,4.4e-07,149013,0.02958,0.96976,0.74739,0.29058,0.41847,0.8773,0.51205,0.07873126,0.0,149013,0.01552,0.98322,0.65,0.32099,0.42975,0.78662,0.50837,0.11960311,0.0,149013,0.01541,0.96961,0.54098,0.25385,0.34555,0.75534,0.9887,1.0113,1.0605,0.9395
97,97,7.82897,15.75387,0.00438,0.10354143,2.5e-07,149013,0.03034,0.96982,0.73948,0.29951,0.42634,0.87948,0.52078,0.08195455,0.0,149013,0.01578,0.98274,0.61905,0.32099,0.42276,0.78563,0.50973,0.12044649,0.0,149013,0.01545,0.96961,0.53968,0.26154,0.35233,0.76151,0.9887,1.0113,1.0605,0.9395
98,98,8.12303,7.87942,0.00219,0.1039336,1.1e-07,149013,0.03148,0.96988,0.74845,0.29464,0.42283,0.87769,0.51653,0.07903457,0.0,149013,0.01565,0.98274,0.625,0.30864,0.41322,0.78736,0.50949,0.11912538,0.0,149013,0.01544,0.97058,0.57895,0.25385,0.35294,0.75683,0.9887,1.0113,1.0606,0.9395
99,99,7.89312,0.0,0.0,0.10185318,3e-08,149013,0.03059,0.97064,0.77479,0.30438,0.43706,0.88372,0.44176,0.07571187,0.0,149013,0.01339,0.98322,0.6875,0.2716,0.38938,0.78412,0.43005,0.11824074,0.0,149013,0.01303,0.97155,0.65116,0.21538,0.3237,0.75226,0.9887,1.0113,1.0606,0.9395
