Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
10,10,67.15516,6338.68794,1.76075,0.1165292,9.932e-05,559965,0.06526,0.96745,0.66462,0.2638,0.37769,0.82751,3.12441,0.08225623,0.0,559965,0.02422,0.97593,0.36765,0.30864,0.33557,0.82164,3.36927,0.1310424,0.0,559965,0.02612,0.96596,0.41379,0.18462,0.25532,0.73873,1.0241,0.9759,1.042,0.958,1.0282,0.9719,1.0061,0.9939,1.0262,0.9738,0.9909,1.0091,1.0096,0.9904,1.009,0.991,1.0072,0.9928,1.0026,0.9974
11,11,66.42416,6232.2883,1.73119,0.11496641,9.902e-05,559965,0.06455,0.96799,0.68607,0.26786,0.38529,0.83128,3.27785,0.06996589,0.0,559965,0.02541,0.98201,0.64,0.19753,0.30189,0.82247,3.23897,0.11490842,0.0,559965,0.02511,0.97228,0.71053,0.20769,0.32143,0.75143,1.0271,0.9729,1.0461,0.9539,1.0321,0.9679,1.0108,0.9892,1.0322,0.9678,0.9922,1.0078,1.0142,0.9858,1.0102,0.9898,1.0096,0.9904,1.0057,0.9943
12,12,66.57595,6133.05456,1.70363,0.11294879,9.867e-05,559965,0.0647,0.96769,0.65974,0.28328,0.39637,0.8416,3.26695,0.07700473,0.0,559965,0.02533,0.98104,0.53061,0.32099,0.4,0.81337,3.31044,0.11676695,0.0,559965,0.02566,0.96985,0.53846,0.32308,0.40385,0.75975,1.0312,0.9688,1.0503,0.9498,1.0388,0.9612,1.0155,0.9845,1.0369,0.9631,0.9922,1.0078,1.0157,0.9843,1.0116,0.9884,1.0086,0.9914,1.0076,0.9924
13,13,73.55324,6081.34676,1.68926,0.11177789,9.826e-05,559965,0.07148,0.96803,0.66854,0.28977,0.4043,0.84711,3.99617,0.07118594,0.0,559965,0.03098,0.98249,0.63636,0.25926,0.36842,0.82604,4.02065,0.121865,0.0,559965,0.03117,0.9718,0.79167,0.14615,0.24675,0.7367,1.0357,0.9643,1.0549,0.9451,1.0451,0.9549,1.0196,0.9804,1.0416,0.9584,0.9944,1.0056,1.0194,0.9806,1.013,0.987,1.0123,0.9877,1.0117,0.9883
14,14,68.46773,5997.90835,1.66609,0.11015518,9.78e-05,559965,0.06654,0.96869,0.68773,0.30032,0.41808,0.85508,3.08317,0.07100845,0.0,559965,0.0239,0.98298,0.64865,0.2963,0.40678,0.82263,3.08797,0.11694128,0.0,559965,0.02394,0.96985,0.56,0.21538,0.31111,0.76531,1.0416,0.9584,1.0561,0.9439,1.0477,0.9523,1.0256,0.9744,1.0475,0.9525,0.9958,1.0042,1.0212,0.9788,1.0141,0.9859,1.0165,0.9835,1.0136,0.9864
15,15,63.48444,5890.17897,1.63616,0.10871421,9.729e-05,559965,0.0617,0.96921,0.69381,0.31818,0.43628,0.85338,3.07928,0.07565924,0.0,559965,0.02387,0.97958,0.47368,0.33333,0.3913,0.80633,3.06517,0.11701822,0.0,559965,0.02376,0.96961,0.53333,0.30769,0.39024,0.76595,1.0454,0.9546,1.0608,0.9392,1.0499,0.9501,1.0287,0.9713,1.0547,0.9453,0.9967,1.0033,1.0256,0.9744,1.0158,0.9842,1.0195,0.9805,1.0159,0.9841
16,16,63.47662,5787.61672,1.60767,0.10745939,9.673e-05,559965,0.06169,0.96942,0.69755,0.32386,0.44235,0.86013,3.08131,0.07754364,0.0,559965,0.02389,0.98079,0.52,0.32099,0.39695,0.79522,3.06647,0.11715641,0.0,559965,0.02377,0.96864,0.50909,0.21538,0.3027,0.7593,1.0482,0.9518,1.0635,0.9365,1.0565,0.9435,1.0303,0.9697,1.0573,0.9427,0.9976,1.0024,1.0271,0.973,1.0164,0.9836,1.0205,0.9795,1.0208,0.9792
17,17,63.52366,5689.61161,1.58045,0.10558863,9.611e-05,559965,0.06173,0.96961,0.69269,0.33847,0.45474,0.86224,3.08262,0.07508461,0.0,559965,0.0239,0.98128,0.54348,0.30864,0.3937,0.81287,3.06303,0.11782444,0.0,559965,0.02374,0.96961,0.55814,0.18462,0.27746,0.77061,1.0524,0.9476,1.0636,0.9364,1.0615,0.9385,1.0326,0.9674,1.061,0.939,1.0011,0.9989,1.0304,0.9697,1.0165,0.9835,1.0223,0.9777,1.025,0.975
18,18,63.45097,5594.92624,1.55415,0.1056111,9.545e-05,559965,0.06166,0.96961,0.69595,0.33442,0.45175,0.86961,3.07959,0.07288798,0.0,559965,0.02387,0.98274,0.61905,0.32099,0.42276,0.81049,3.06166,0.11173016,0.0,559965,0.02373,0.97082,0.58621,0.26154,0.3617,0.77293,1.0517,0.9483,1.0687,0.9313,1.0657,0.9344,1.0344,0.9656,1.0653,0.9347,1.0017,0.9983,1.0318,0.9682,1.0194,0.9806,1.0274,0.9727,1.0291,0.9709
19,19,63.32535,5502.8618,1.52857,0.10348885,9.474e-05,559965,0.06154,0.97088,0.72757,0.35552,0.47764,0.87363,3.08665,0.07343872,0.0,559965,0.02393,0.98201,0.65217,0.18519,0.28846,0.81358,3.06702,0.11912936,0.0,559965,0.02378,0.96961,0.63158,0.09231,0.16107,0.76905,1.057,0.943,1.0734,0.9266,1.0679,0.9321,1.0378,0.9622,1.0708,0.9292,1.0035,0.9965,1.036,0.964,1.0195,0.9805,1.0274,0.9726,1.0317,0.9683
