,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
16,16,261.7158,22101.12898,6.1392,0.03356719,0.00048364,9745818,0.38207,0.98605,0.90581,0.3078,13.30955,0.04459849,0.0,9745818,0.15476,0.98021,0.88122,0.25682,14.0856,0.04674356,0.0,9745818,0.16379,0.97916,0.877,0.25446,1.2212,0.7788,1.514,0.486,1.616,0.384,1.6837,0.3163,1.6005,0.3995
17,17,262.08966,21815.76709,6.05994,0.0331545,0.00048057,9745818,0.38261,0.9863,0.90975,0.31504,13.31136,0.04427173,0.0,9745818,0.15478,0.98077,0.88253,0.26513,14.02671,0.04650008,0.0,9745818,0.1631,0.97938,0.87746,0.26253,1.2378,0.7623,1.5556,0.4444,1.6569,0.343,1.6842,0.3158,1.6097,0.3903
18,18,260.85085,21527.57365,5.97988,0.03263451,0.00047725,9745818,0.3808,0.98644,0.91266,0.33205,13.51646,0.04481547,0.0,9745818,0.15717,0.98056,0.88277,0.26868,14.17853,0.04684094,0.0,9745818,0.16487,0.97956,0.87801,0.26713,1.2569,0.7431,1.59,0.41,1.6811,0.3189,1.7018,0.2982,1.6163,0.3837
19,19,261.61223,21245.15999,5.90143,0.03226792,0.00047368,9745818,0.38192,0.98655,0.91514,0.34173,13.40935,0.04398418,0.0,9745818,0.15592,0.98123,0.88415,0.27059,16.06705,0.04630886,0.0,9745818,0.18683,0.98014,0.87832,0.26557,1.279,0.721,1.6177,0.3823,1.7021,0.2979,1.7087,0.2913,1.6167,0.3833
20,20,260.87398,20961.95021,5.82276,0.0319097,0.00046987,9745818,0.38084,0.98673,0.91726,0.35017,13.38803,0.04388731,0.0,9745818,0.15567,0.98128,0.88574,0.27575,14.12552,0.04611574,0.0,9745818,0.16425,0.98011,0.88019,0.26989,1.2955,0.7045,1.647,0.353,1.7214,0.2786,1.7143,0.2857,1.6254,0.3746
21,21,261.7944,20684.03425,5.74557,0.03149774,0.00046581,9745818,0.38218,0.9869,0.92068,0.36075,13.33576,0.04433843,0.0,9745818,0.15507,0.9811,0.88407,0.27363,14.11002,0.04653345,0.0,9745818,0.16407,0.97969,0.87999,0.27139,1.3059,0.6941,1.6527,0.3473,1.7349,0.2651,1.7116,0.2884,1.628,0.372
22,22,260.72065,20403.92543,5.66776,0.03115583,0.00046152,9745818,0.38061,0.9871,0.92312,0.36968,13.38252,0.04384651,0.0,9745818,0.15561,0.98119,0.88557,0.27874,14.03918,0.04609372,0.0,9745818,0.16325,0.97983,0.87744,0.27219,1.3255,0.6745,1.6699,0.3302,1.7412,0.2588,1.7111,0.2889,1.6316,0.3684
23,23,261.37573,20127.50673,5.59097,0.0308419,0.000457,9745818,0.38157,0.98718,0.92555,0.37836,13.3995,0.04368922,0.0,9745818,0.15581,0.98147,0.88335,0.28199,14.06834,0.04597656,0.0,9745818,0.16359,0.98012,0.88068,0.27502,1.3423,0.6578,1.6879,0.3121,1.7466,0.2534,1.7103,0.2897,1.6308,0.3692
24,24,261.51831,19852.71918,5.51464,0.03052724,0.00045225,9745818,0.38178,0.98727,0.92738,0.38644,13.35165,0.04430083,0.0,9745818,0.15525,0.98057,0.88501,0.28323,14.1241,0.04653413,0.0,9745818,0.16423,0.97931,0.88089,0.27757,1.3509,0.6491,1.6943,0.3057,1.7494,0.2506,1.7112,0.2888,1.6334,0.3666
25,25,262.73315,19582.40997,5.43956,0.03021216,0.00044729,9745818,0.38355,0.9874,0.92964,0.3948,13.36877,0.04361544,0.0,9745818,0.15545,0.9812,0.88469,0.28219,14.04113,0.04592861,0.0,9745818,0.16327,0.98013,0.87935,0.28112,1.3652,0.6348,1.7088,0.2912,1.7582,0.2418,1.7117,0.2883,1.6351,0.3649
