Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
10,10,68.01151,6149.45871,1.70818,0.11436218,9.932e-05,558693,0.06609,0.96714,0.65253,0.26218,0.37406,0.84053,3.17203,0.07901117,0.0,558693,0.02459,0.98249,0.66667,0.22222,0.33333,0.77386,3.17061,0.12497049,0.0,558693,0.02458,0.96864,0.51064,0.18462,0.27119,0.72298,1.0284,0.9716,1.0333,0.9667,1.0307,0.9693,1.0305,0.9695,1.0198,0.9802,0.9941,1.0059,1.0274,0.9726,1.0058,0.9942,0.9978,1.0022,0.987,1.013
11,11,68.5977,6076.71648,1.68798,0.11203804,9.902e-05,558693,0.06666,0.96775,0.65863,0.28815,0.4009,0.84801,3.16432,0.07718559,0.0,558693,0.02453,0.98079,0.52778,0.23457,0.32479,0.79851,3.12786,0.11957699,0.0,558693,0.02425,0.96937,0.53846,0.21538,0.30769,0.7619,1.0312,0.9688,1.0362,0.9638,1.0353,0.9647,1.0329,0.9671,1.0243,0.9757,0.9942,1.0058,1.0301,0.9699,1.0079,0.9921,1.0,1.0,0.9896,1.0104
12,12,69.50002,6010.65045,1.66963,0.11091748,9.867e-05,558693,0.06754,0.96793,0.65946,0.29708,0.40963,0.84958,3.20816,0.07484504,0.0,558693,0.02487,0.98104,0.55556,0.18519,0.27778,0.8159,3.17811,0.11437725,0.0,558693,0.02464,0.97009,0.57143,0.21538,0.31285,0.78635,1.0341,0.9659,1.0405,0.9595,1.0399,0.9601,1.036,0.964,1.0255,0.9745,0.9951,1.0049,1.0365,0.9635,1.0093,0.9907,1.0008,0.9992,0.9909,1.0091
13,13,69.63931,5944.9495,1.65137,0.10692595,9.826e-05,558693,0.06768,0.96891,0.68301,0.31656,0.43261,0.86503,3.1747,0.07255128,0.0,558693,0.02461,0.98104,0.57895,0.1358,0.22,0.78845,3.20756,0.12149211,0.0,558693,0.02486,0.96912,0.63636,0.05385,0.09929,0.76332,1.0381,0.9619,1.044,0.956,1.0447,0.9553,1.04,0.96,1.0326,0.9674,0.9959,1.0041,1.0401,0.9599,1.0126,0.9874,1.0024,0.9976,0.9921,1.0079
14,14,68.10109,5870.00688,1.63056,0.10660259,9.78e-05,558693,0.06618,0.96933,0.69324,0.32468,0.44223,0.86202,3.15415,0.0792799,0.0,558693,0.02445,0.98201,0.6,0.25926,0.36207,0.75953,3.1373,0.1205286,0.0,558693,0.02432,0.96815,0.4902,0.19231,0.27624,0.76279,1.0388,0.9612,1.0487,0.9513,1.0473,0.9527,1.0432,0.9568,1.0331,0.9669,0.9971,1.0029,1.0438,0.9562,1.0133,0.9867,1.0026,0.9974,0.9907,1.0093
15,15,67.37722,5792.11913,1.60892,0.10624917,9.729e-05,558693,0.06548,0.96875,0.6723,0.32305,0.4364,0.86887,3.17532,0.07657066,0.0,558693,0.02461,0.98225,0.625,0.24691,0.35398,0.78902,3.13996,0.11818579,0.0,558693,0.02434,0.97107,0.61224,0.23077,0.3352,0.76626,1.0402,0.9598,1.0504,0.9496,1.0505,0.9495,1.0454,0.9546,1.0353,0.9647,0.9967,1.0033,1.0468,0.9531,1.0172,0.9828,1.0066,0.9934,0.9938,1.0061
16,16,67.13432,5714.28199,1.5873,0.10298371,9.673e-05,558693,0.06524,0.97027,0.7082,0.35065,0.46906,0.87761,3.14724,0.07733883,0.0,558693,0.0244,0.98201,0.59459,0.2716,0.37288,0.77705,3.1048,0.11819517,0.0,558693,0.02407,0.96912,0.51765,0.33846,0.4093,0.76436,1.0457,0.9543,1.0533,0.9467,1.0521,0.9479,1.0476,0.9524,1.0399,0.9601,1.0003,0.9997,1.0504,0.9496,1.0191,0.9809,1.0076,0.9924,0.9955,1.0045
17,17,67.07189,5637.34965,1.56593,0.10079483,9.611e-05,558693,0.06518,0.97103,0.72108,0.36932,0.48846,0.88281,3.12497,0.07419092,0.0,558693,0.02422,0.98225,0.66667,0.19753,0.30476,0.80742,3.11952,0.12685186,0.0,558693,0.02418,0.96985,0.57895,0.16923,0.2619,0.76271,1.0428,0.9572,1.0545,0.9455,1.0537,0.9463,1.0476,0.9524,1.044,0.956,1.0012,0.9988,1.054,0.946,1.0214,0.9786,1.01,0.99,0.9981,1.0018
18,18,72.84306,5586.05866,1.55168,0.10024991,9.545e-05,558693,0.07079,0.97103,0.72683,0.36282,0.48403,0.88806,3.13119,0.07704742,0.0,558693,0.02427,0.98201,0.6129,0.23457,0.33929,0.78311,3.14871,0.11750656,0.0,558693,0.02441,0.96912,0.53191,0.19231,0.28249,0.7757,1.0471,0.9529,1.0577,0.9423,1.0551,0.9449,1.0518,0.9482,1.0462,0.9538,1.0042,0.9958,1.0581,0.9419,1.0217,0.9783,1.0124,0.9876,1.0012,0.9988
19,19,71.78276,5528.37127,1.53566,0.09806411,9.474e-05,558693,0.06976,0.97167,0.74116,0.37419,0.4973,0.89038,3.15354,0.07867264,0.0,558693,0.02445,0.97933,0.45238,0.23457,0.30894,0.77934,3.12898,0.12583065,0.0,558693,0.02426,0.96839,0.5,0.26923,0.35,0.77054,1.0454,0.9546,1.0585,0.9415,1.0583,0.9417,1.0555,0.9445,1.052,0.948,1.0059,0.9941,1.0591,0.9409,1.0231,0.9769,1.0129,0.9871,1.0018,0.9982
20,20,76.57647,5487.37495,1.52427,0.09754612,9.397e-05,558693,0.07442,0.97185,0.73042,0.39367,0.5116,0.89416,3.14285,0.07772704,0.0,558693,0.02436,0.98152,0.57576,0.23457,0.33333,0.78431,3.12356,0.12028956,0.0,558693,0.02421,0.96791,0.48333,0.22308,0.30526,0.78445,1.0479,0.9522,1.0591,0.9409,1.0602,0.9398,1.0587,0.9413,1.0521,0.9479,1.0058,0.9942,1.0617,0.9383,1.0244,0.9756,1.0125,0.9875,1.0003,0.9997
21,21,76.31311,5442.21032,1.51173,0.09585618,9.316e-05,558693,0.07416,0.97152,0.72048,0.39123,0.5071,0.90147,3.14911,0.07575243,0.0,558693,0.02441,0.98249,0.62162,0.28395,0.38983,0.79694,3.16549,0.12221222,0.0,558693,0.02454,0.96961,0.53425,0.3,0.38424,0.77351,1.0478,0.9522,1.0622,0.9378,1.0622,0.9378,1.0599,0.9401,1.0536,0.9464,1.0073,0.9927,1.0657,0.9343,1.0289,0.9711,1.0131,0.9869,1.0034,0.9966
22,22,76.18661,5393.91363,1.49831,0.09404287,9.23e-05,558693,0.07404,0.97143,0.71662,0.39205,0.50682,0.90913,3.12213,0.07713918,0.0,558693,0.0242,0.98347,0.68571,0.2963,0.41379,0.7881,3.0999,0.12992382,0.0,558693,0.02403,0.96937,0.54167,0.2,0.29213,0.75575,1.0468,0.9532,1.0641,0.9359,1.0647,0.9353,1.0613,0.9387,1.0589,0.941,1.0085,0.9915,1.0672,0.9328,1.0309,0.9691,1.0146,0.9854,1.0078,0.9922
23,23,73.14066,5333.64726,1.48157,0.09202133,9.14e-05,558693,0.07108,0.97322,0.75847,0.41802,0.53898,0.91102,3.15154,0.08365404,0.0,558693,0.02443,0.98031,0.5,0.25926,0.34146,0.76412,3.12148,0.12746538,0.0,558693,0.0242,0.96864,0.50649,0.3,0.37681,0.76078,1.0479,0.9521,1.0665,0.9335,1.0671,0.9329,1.0642,0.9358,1.0617,0.9383,1.0116,0.9884,1.0702,0.9297,1.0324,0.9676,1.016,0.984,1.0076,0.9924
24,24,77.65053,5285.88056,1.4683,0.09126123,9.045e-05,558693,0.07546,0.97271,0.74344,0.41396,0.5318,0.91595,3.22599,0.08954632,0.0,558693,0.02501,0.97885,0.42105,0.19753,0.26891,0.74727,3.1821,0.13327161,0.0,558693,0.02467,0.9662,0.33333,0.06923,0.11465,0.77042,1.0482,0.9518,1.0705,0.9295,1.0695,0.9305,1.0649,0.9351,1.062,0.938,1.0139,0.9861,1.072,0.928,1.0375,0.9625,1.0195,0.9805,1.01,0.99
25,25,69.26529,5211.94943,1.44776,0.0889242,8.946e-05,558693,0.06731,0.97298,0.75483,0.41234,0.53333,0.92082,3.1339,0.07945222,0.0,558693,0.02429,0.98128,0.55263,0.25926,0.35294,0.79191,3.1421,0.12751653,0.0,558693,0.02436,0.96839,0.5,0.24615,0.3299,0.779,1.0457,0.9543,1.0704,0.9296,1.0699,0.9301,1.0673,0.9327,1.065,0.9349,1.0145,0.9855,1.0728,0.9272,1.0407,0.9593,1.0199,0.9801,1.0103,0.9897
26,26,67.44822,5133.45111,1.42596,0.08975455,8.842e-05,558693,0.06555,0.97298,0.74676,0.42127,0.53866,0.92297,3.13155,0.07829588,0.0,558693,0.02428,0.98201,0.6,0.25926,0.36207,0.77893,3.10867,0.12784878,0.0,558693,0.0241,0.96937,0.52778,0.29231,0.37624,0.77258,1.0448,0.9552,1.0722,0.9278,1.0739,0.9261,1.0683,0.9317,1.0699,0.9301,1.0171,0.9829,1.0753,0.9247,1.0404,0.9596,1.0195,0.9804,1.0126,0.9874
27,27,71.72263,5066.73342,1.40743,0.08776027,8.734e-05,558693,0.0697,0.97359,0.7713,0.41883,0.54287,0.9259,3.16798,0.08336311,0.0,558693,0.02456,0.98079,0.52273,0.28395,0.368,0.7793,3.16315,0.13062898,0.0,558693,0.02452,0.96742,0.47436,0.28462,0.35577,0.77386,1.043,0.957,1.0728,0.9272,1.0735,0.9265,1.0705,0.9295,1.072,0.928,1.0177,0.9823,1.0785,0.9215,1.0424,0.9576,1.0222,0.9778,1.0143,0.9857
28,28,68.0374,4990.6481,1.38629,0.08605476,8.622e-05,558693,0.06612,0.97395,0.76824,0.43588,0.55619,0.93055,3.14475,0.08254686,0.0,558693,0.02438,0.98225,0.66667,0.19753,0.30476,0.77393,3.10525,0.13707509,0.0,558693,0.02407,0.96766,0.45946,0.13077,0.20359,0.76549,1.0422,0.9578,1.0738,0.9262,1.0757,0.9243,1.0723,0.9277,1.0756,0.9244,1.019,0.981,1.0823,0.9177,1.0457,0.9543,1.0234,0.9766,1.0144,0.9856
29,29,67.64003,4914.1721,1.36505,0.0840261,8.506e-05,558693,0.06573,0.97429,0.75802,0.46023,0.57273,0.93488,3.12131,0.08406248,0.0,558693,0.0242,0.98128,0.55882,0.23457,0.33043,0.76527,3.12813,0.13805745,0.0,558693,0.02425,0.96742,0.45238,0.14615,0.22093,0.7642,1.041,0.959,1.077,0.923,1.0777,0.9223,1.0728,0.9272,1.0778,0.9222,1.0205,0.9795,1.0833,0.9167,1.0445,0.9555,1.0237,0.9763,1.0167,0.9832
30,30,67.38281,4837.69366,1.3438,0.08257442,8.386e-05,558693,0.06548,0.97492,0.77315,0.46753,0.5827,0.93692,3.08419,0.07977309,0.0,558693,0.02391,0.98225,0.59091,0.32099,0.416,0.78564,3.06231,0.13125091,0.0,558693,0.02374,0.96864,0.50667,0.29231,0.37073,0.78055,1.0401,0.9599,1.0783,0.9217,1.0775,0.9225,1.0767,0.9232,1.0793,0.9207,1.0224,0.9776,1.0875,0.9125,1.0503,0.9497,1.0268,0.9732,1.0214,0.9786
31,31,69.87853,4767.08709,1.32419,0.08228709,8.263e-05,558693,0.06791,0.97416,0.76602,0.44643,0.5641,0.94084,3.14602,0.08437949,0.0,558693,0.02439,0.98128,0.54762,0.28395,0.37398,0.77704,3.10605,0.14299556,0.0,558693,0.02408,0.96645,0.42593,0.17692,0.25,0.76018,1.0412,0.9588,1.0786,0.9214,1.0779,0.9221,1.0783,0.9217,1.0824,0.9176,1.0238,0.9762,1.0881,0.9119,1.0508,0.9492,1.0283,0.9717,1.0239,0.9761
32,32,67.04759,4690.77698,1.30299,0.08026058,8.136e-05,558693,0.06516,0.9759,0.79783,0.47727,0.59726,0.94543,3.08815,0.0795608,0.0,558693,0.02394,0.98201,0.57778,0.32099,0.4127,0.78736,3.09701,0.14005679,0.0,558693,0.02401,0.96766,0.47826,0.25385,0.33166,0.75804,1.0398,0.9602,1.0788,0.9212,1.0768,0.9232,1.0799,0.9201,1.0833,0.9167,1.0253,0.9747,1.0921,0.9079,1.0538,0.9461,1.0283,0.9717,1.0248,0.9752
33,33,66.94827,4614.81892,1.28189,0.0807736,8.005e-05,558693,0.06506,0.9741,0.76171,0.44886,0.56486,0.94607,3.13653,0.08407148,0.0,558693,0.02431,0.98079,0.52174,0.2963,0.37795,0.78315,3.10898,0.13804773,0.0,558693,0.0241,0.96742,0.47297,0.26923,0.34314,0.77251,1.0398,0.9602,1.0789,0.9211,1.0791,0.9209,1.083,0.917,1.0861,0.9139,1.0271,0.9729,1.0959,0.9041,1.0558,0.9441,1.0299,0.9701,1.0277,0.9723
34,34,66.84818,4539.18982,1.26089,0.07800296,7.872e-05,558693,0.06496,0.97596,0.80247,0.47484,0.59663,0.94829,3.07305,0.08357744,0.0,558693,0.02382,0.98055,0.51064,0.2963,0.375,0.78978,3.05786,0.14371899,0.0,558693,0.0237,0.96596,0.44048,0.28462,0.34579,0.77767,1.0401,0.9599,1.077,0.923,1.0819,0.9181,1.0837,0.9162,1.0906,0.9094,1.0292,0.9708,1.0989,0.9011,1.0584,0.9416,1.0314,0.9686,1.0286,0.9714
